Date,CODATA.Death,CODATA.DeathIncrease
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,1,1
2020-3-14,1,0
2020-3-15,1,0
2020-3-16,1,0
2020-3-17,2,1
2020-3-18,2,0
2020-3-19,2,0
2020-3-20,4,2
2020-3-21,5,1
2020-3-22,6,1
2020-3-23,7,1
2020-3-24,11,4
2020-3-25,19,8
2020-3-26,24,5
2020-3-27,31,7
2020-3-28,44,13
2020-3-29,47,3
2020-3-30,51,4
2020-3-31,69,18
2020-4-1,80,11
2020-4-2,97,17
2020-4-3,111,14
2020-4-4,126,15
2020-4-5,140,14
2020-4-6,150,10
2020-4-7,179,29
2020-4-8,193,14
2020-4-9,226,33
2020-4-10,250,24
2020-4-11,274,24
2020-4-12,290,16
2020-4-13,308,18
2020-4-14,329,21
2020-4-15,357,28
2020-4-16,374,17
2020-4-17,391,17
2020-4-18,411,20
2020-4-19,422,11
2020-4-20,449,27
2020-4-21,486,37
2020-4-22,508,22
2020-4-23,552,44
2020-4-24,674,122
2020-4-25,672,0
2020-4-26,680,8
2020-4-27,706,26
2020-4-28,736,30
2020-4-29,766,30
2020-4-30,777,11
2020-5-1,820,43
2020-5-2,832,12
2020-5-3,842,10
2020-5-4,851,9
2020-5-5,903,52
2020-5-6,921,18
2020-5-7,944,23
2020-5-8,960,16
2020-5-9,967,7
2020-5-10,971,4
2020-5-11,987,16
2020-5-12,1009,22
2020-5-13,1062,53
2020-5-14,1091,29
2020-5-15,1150,59
2020-5-16,1192,42
2020-5-17,1215,23
2020-5-18,1224,9
2020-5-19,1257,33
2020-5-20,1299,42
2020-5-21,1310,11
2020-5-22,1324,14
2020-5-23,1327,3
2020-5-24,1332,5
2020-5-25,1333,1
2020-5-26,1352,19
2020-5-27,1392,40
2020-5-28,1421,29
2020-5-29,1436,15
2020-5-30,1443,7
