Date,CTDATA.Death,CTDATA.DeathIncrease
2020-2-29,0,0
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,1,1
2020-3-20,3,2
2020-3-21,4,1
2020-3-22,5,1
2020-3-23,10,5
2020-3-24,12,2
2020-3-25,19,7
2020-3-26,21,2
2020-3-27,27,6
2020-3-28,33,6
2020-3-29,34,1
2020-3-30,36,2
2020-3-31,69,33
2020-4-1,85,16
2020-4-2,112,27
2020-4-3,131,19
2020-4-4,165,34
2020-4-5,189,24
2020-4-6,206,17
2020-4-7,277,71
2020-4-8,277,0
2020-4-9,380,103
2020-4-10,448,68
2020-4-11,494,46
2020-4-12,554,60
2020-4-13,602,48
2020-4-14,671,69
2020-4-15,868,197
2020-4-16,971,103
2020-4-17,1036,65
2020-4-18,1036,0
2020-4-19,1086,50
2020-4-20,1331,245
2020-4-21,1423,92
2020-4-22,1544,121
2020-4-23,1639,95
2020-4-24,1764,125
2020-4-25,1862,98
2020-4-26,1924,62
2020-4-27,1998,74
2020-4-28,2089,91
2020-4-29,2168,79
2020-4-30,2257,89
2020-5-1,2339,82
2020-5-2,2339,0
2020-5-3,2436,97
2020-5-4,2495,59
2020-5-5,2633,138
2020-5-6,2718,85
2020-5-7,2797,79
2020-5-8,2874,77
2020-5-9,2932,58
2020-5-10,2967,35
2020-5-11,3008,41
2020-5-12,3041,33
2020-5-13,3125,84
2020-5-14,3219,94
2020-5-15,3285,66
2020-5-16,3339,54
2020-5-17,3408,69
2020-5-18,3449,41
2020-5-19,3472,23
2020-5-20,3529,57
2020-5-21,3582,53
2020-5-22,3637,55
2020-5-23,3675,38
2020-5-24,3693,18
2020-5-25,3742,49
2020-5-26,3769,27
2020-5-27,3803,34
2020-5-28,3826,23
2020-5-29,3868,42
2020-5-30,3912,44
2020-5-31,3944,32
2020-6-1,3964,20
2020-6-2,3972,8
2020-6-3,3989,17
2020-6-4,4007,18
2020-6-5,4038,31
2020-6-6,4055,17
2020-6-7,4071,16
2020-6-8,4084,13
2020-6-9,4097,13
2020-6-10,4120,23
2020-6-11,4146,26
2020-6-12,4159,13
2020-6-13,4186,27
2020-6-14,4201,15
2020-6-15,4204,3
2020-6-16,4210,6
2020-6-17,4219,9
2020-6-18,4226,7
2020-6-19,4238,12
2020-6-20,4251,13
2020-6-21,4260,9
2020-6-22,4263,3
2020-6-23,4277,14
2020-6-24,4287,10
2020-6-25,4298,11
2020-6-26,4307,9
2020-6-27,4311,4
2020-6-28,4316,5
2020-6-29,4320,4
2020-6-30,4322,2
2020-7-1,4324,2
2020-7-2,4326,2
2020-7-3,4335,9
2020-7-4,4335,0
2020-7-5,4335,0
2020-7-6,4338,3
2020-7-7,4338,0
