Date,DEDATA.Death,DEDATA.DeathIncrease
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,1,1
2020-3-25,2,1
2020-3-26,3,1
2020-3-27,5,2
2020-3-28,9,4
2020-3-29,10,1
2020-3-30,11,1
2020-3-31,12,1
2020-4-1,13,1
2020-4-2,16,3
2020-4-3,17,1
2020-4-4,17,0
2020-4-5,19,2
2020-4-6,24,5
2020-4-7,28,4
2020-4-8,32,4
2020-4-9,34,2
2020-4-10,36,2
2020-4-11,43,7
2020-4-12,48,5
2020-4-13,53,5
2020-4-14,60,7
2020-4-15,67,7
2020-4-16,70,3
2020-4-17,76,6
2020-4-18,86,10
2020-4-19,90,4
2020-4-20,99,9
2020-4-21,104,5
2020-4-22,117,13
2020-4-23,131,14
2020-4-24,147,16
2020-4-25,155,8
2020-4-26,168,13
2020-4-27,181,13
2020-4-28,192,11
2020-4-29,204,12
2020-4-30,210,6
2020-5-1,222,12
2020-5-2,235,13
2020-5-3,246,11
2020-5-4,255,9
2020-5-5,266,11
2020-5-6,269,3
2020-5-7,285,16
2020-5-8,297,12
2020-5-9,301,4
2020-5-10,312,11
2020-5-11,324,12
2020-5-12,334,10
2020-5-13,351,17
2020-5-14,362,11
2020-5-15,373,11
2020-5-16,383,10
2020-5-17,392,9
2020-5-18,399,7
2020-5-19,408,9
2020-5-20,414,6
2020-5-21,417,3
2020-5-22,420,3
2020-5-23,425,5
2020-5-24,431,6
2020-5-25,436,5
2020-5-26,444,8
2020-5-27,453,9
2020-5-28,459,6
2020-5-29,463,4
2020-5-30,466,3
2020-5-31,468,2
2020-6-1,471,3
2020-6-2,471,0
2020-6-3,475,4
2020-6-4,483,8
2020-6-5,485,2
2020-6-6,485,0
2020-6-7,488,3
2020-6-8,490,2
2020-6-9,492,2
2020-6-10,493,1
