Date,IADATA.Death,IADATA.DeathIncrease
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,1,1
2020-3-26,1,0
2020-3-27,3,2
2020-3-28,3,0
2020-3-29,4,1
2020-3-30,6,2
2020-3-31,7,1
2020-4-1,9,2
2020-4-2,11,2
2020-4-3,11,0
2020-4-4,14,3
2020-4-5,22,8
2020-4-6,25,3
2020-4-7,26,1
2020-4-8,27,1
2020-4-9,29,2
2020-4-10,31,2
2020-4-11,34,3
2020-4-12,41,7
2020-4-13,43,2
2020-4-14,49,6
2020-4-15,53,4
2020-4-16,60,7
2020-4-17,64,4
2020-4-18,74,10
2020-4-19,75,1
2020-4-20,79,4
2020-4-21,83,4
2020-4-22,90,7
2020-4-23,96,6
2020-4-24,107,11
2020-4-25,112,5
2020-4-26,118,6
2020-4-27,127,9
2020-4-28,136,9
2020-4-29,148,12
2020-4-30,162,14
2020-5-1,170,8
2020-5-2,175,5
2020-5-3,184,9
2020-5-4,188,4
2020-5-5,207,19
2020-5-6,219,12
2020-5-7,231,12
2020-5-8,243,12
2020-5-9,252,9
2020-5-10,265,13
2020-5-11,271,6
2020-5-12,289,18
2020-5-13,306,17
2020-5-14,318,12
2020-5-15,336,18
2020-5-16,346,10
2020-5-17,351,5
2020-5-18,355,4
2020-5-19,372,17
2020-5-20,388,16
2020-5-21,406,18
2020-5-22,425,19
2020-5-23,444,19
2020-5-24,454,10
2020-5-25,459,5
2020-5-26,478,19
2020-5-27,491,13
2020-5-28,504,13
2020-5-29,522,18
2020-5-30,531,9
2020-5-31,534,3
2020-6-1,551,17
2020-6-2,561,10
2020-6-3,574,13
2020-6-4,580,6
2020-6-5,592,12
2020-6-6,598,6
2020-6-7,604,6
2020-6-8,612,8
2020-6-9,624,12
2020-6-10,630,6
