Date,IDDATA.Death,IDDATA.DeathIncrease
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,3,3
2020-3-28,4,1
2020-3-29,5,1
2020-3-30,6,1
2020-3-31,7,1
2020-4-1,9,2
2020-4-2,9,0
2020-4-3,9,0
2020-4-4,10,1
2020-4-5,10,0
2020-4-6,10,0
2020-4-7,13,3
2020-4-8,15,2
2020-4-9,18,3
2020-4-10,24,6
2020-4-11,25,1
2020-4-12,27,2
2020-4-13,27,0
2020-4-14,33,6
2020-4-15,39,6
2020-4-16,41,2
2020-4-17,41,0
2020-4-18,43,2
2020-4-19,44,1
2020-4-20,45,1
2020-4-21,48,3
2020-4-22,51,3
2020-4-23,54,3
2020-4-24,54,0
2020-4-25,54,0
2020-4-26,56,2
2020-4-27,56,0
2020-4-28,58,2
2020-4-29,60,2
2020-4-30,60,0
2020-5-1,63,3
2020-5-2,63,0
2020-5-3,63,0
2020-5-4,64,1
2020-5-5,64,0
2020-5-6,65,1
2020-5-7,66,1
2020-5-8,67,1
2020-5-9,67,0
2020-5-10,67,0
2020-5-11,67,0
2020-5-12,70,3
2020-5-13,69,0
2020-5-14,69,0
2020-5-15,72,3
2020-5-16,73,1
2020-5-17,73,0
2020-5-18,73,0
2020-5-19,74,1
2020-5-20,77,3
2020-5-21,77,0
2020-5-22,77,0
2020-5-23,79,2
2020-5-24,79,0
2020-5-25,79,0
2020-5-26,79,0
2020-5-27,81,2
2020-5-28,82,1
2020-5-29,82,0
2020-5-30,82,0
2020-5-31,82,0
2020-6-1,82,0
2020-6-2,83,1
2020-6-3,83,0
2020-6-4,83,0
2020-6-5,83,0
2020-6-6,83,0
2020-6-7,83,0
2020-6-8,83,0
2020-6-9,83,0
2020-6-10,85,2
2020-6-11,85,0
2020-6-12,86,1
2020-6-13,87,1
2020-6-14,87,0
2020-6-15,87,0
2020-6-16,88,1
2020-6-17,88,0
2020-6-18,88,0
2020-6-19,89,1
2020-6-20,89,0
2020-6-21,89,0
2020-6-22,89,0
2020-6-23,89,0
2020-6-24,89,0
2020-6-25,90,1
2020-6-26,90,0
2020-6-27,90,0
2020-6-28,91,1
2020-6-29,91,0
2020-6-30,91,0
2020-7-1,92,1
2020-7-2,92,0
2020-7-3,92,0
2020-7-4,93,1
2020-7-5,93,0
2020-7-6,93,0
2020-7-7,94,1
2020-7-8,94,0
2020-7-9,98,4
2020-7-10,100,2
2020-7-11,101,1
2020-7-12,102,1
2020-7-13,102,0
2020-7-14,102,0
2020-7-15,103,1
2020-7-16,110,7
2020-7-17,114,4
2020-7-18,118,4
2020-7-19,119,1
2020-7-20,119,0
2020-7-21,122,3
2020-7-22,126,4
2020-7-23,135,9
2020-7-24,138,3
2020-7-25,144,6
2020-7-26,146,2
2020-7-27,146,0
2020-7-28,152,6
2020-7-29,160,8
2020-7-30,173,13
2020-7-31,177,4
2020-8-1,189,12
2020-8-2,197,8
2020-8-3,197,0
2020-8-4,200,3
2020-8-5,210,10
2020-8-6,217,7
2020-8-7,223,6
2020-8-8,229,6
2020-8-9,235,6
2020-8-10,237,2
2020-8-11,239,2
2020-8-12,246,7
2020-8-13,246,0
2020-8-14,251,5
2020-8-15,265,14
2020-8-16,269,4
2020-8-17,269,0
2020-8-18,273,4
2020-8-19,282,9
2020-8-20,291,9
2020-8-21,298,7
2020-8-22,304,6
2020-8-23,306,2
2020-8-24,307,1
2020-8-25,314,7
2020-8-26,326,12
2020-8-27,337,11
2020-8-28,343,6
2020-8-29,353,10
2020-8-30,358,5
2020-8-31,359,1
2020-9-1,361,2
2020-9-2,368,7
2020-9-3,372,4
2020-9-4,372,0
2020-9-5,382,10
2020-9-6,384,2
2020-9-7,385,1
2020-9-8,385,0
2020-9-9,389,4
2020-9-10,406,17
2020-9-11,407,1
2020-9-12,412,5
2020-9-13,415,3
2020-9-14,415,0
2020-9-15,419,4
2020-9-16,423,4
2020-9-17,429,6
2020-9-18,434,5
2020-9-19,438,4
2020-9-20,441,3
2020-9-21,443,2
2020-9-22,447,4
2020-9-23,451,4
2020-9-24,454,3
2020-9-25,457,3
2020-9-26,458,1
2020-9-27,460,2
2020-9-28,460,0
2020-9-29,460,0
2020-9-30,464,4
2020-10-1,469,5
2020-10-2,472,3
2020-10-3,474,2
2020-10-4,480,6
2020-10-5,482,2
2020-10-6,487,5
2020-10-7,492,5
2020-10-8,500,8
2020-10-9,503,3
2020-10-10,506,3
2020-10-11,507,1
2020-10-12,507,0
2020-10-13,510,3
2020-10-14,512,2
2020-10-15,516,4
2020-10-16,517,1
2020-10-17,523,6
2020-10-18,529,6
2020-10-19,528,0
2020-10-20,531,3
2020-10-21,535,4
2020-10-22,546,11
2020-10-23,553,7
2020-10-24,562,9
2020-10-25,572,10
2020-10-26,573,1
2020-10-27,580,7
2020-10-28,585,5
2020-10-29,599,14
2020-10-30,615,16
2020-10-31,626,11
2020-11-1,629,3
2020-11-2,630,1
2020-11-3,632,2
2020-11-4,647,15
2020-11-5,664,17
2020-11-6,671,7
2020-11-7,679,8
2020-11-8,683,4
2020-11-9,686,3
2020-11-10,698,12
2020-11-11,714,16
2020-11-12,733,19
2020-11-13,749,16
2020-11-14,752,3
2020-11-15,759,7
2020-11-16,759,0
2020-11-17,763,4
2020-11-18,798,35
2020-11-19,812,14
2020-11-20,835,23
2020-11-21,845,10
2020-11-22,847,2
2020-11-23,849,2
2020-11-24,866,17
2020-11-25,874,8
2020-11-26,895,21
2020-11-27,895,0
2020-11-28,909,14
2020-11-29,913,4
2020-11-30,920,7
2020-12-1,929,9
2020-12-2,960,31
2020-12-3,991,31
2020-12-4,1014,23
2020-12-5,1032,18
2020-12-6,1032,0
2020-12-7,1035,3
2020-12-8,1055,20
2020-12-9,1074,19
2020-12-10,1103,29
2020-12-11,1136,33
2020-12-12,1151,15
2020-12-13,1169,18
2020-12-14,1175,6
2020-12-15,1194,19
2020-12-16,1214,20
2020-12-17,1231,17
2020-12-18,1259,28
2020-12-19,1275,16
2020-12-20,1275,0
2020-12-21,1280,5
2020-12-22,1301,21
2020-12-23,1313,12
2020-12-24,1324,11
2020-12-25,1349,25
2020-12-26,1349,0
2020-12-27,1354,5
2020-12-28,1354,0
2020-12-29,1377,23
2020-12-30,1393,16
2020-12-31,1403,10
2021-1-1,1436,33
2021-1-2,1436,0
2021-1-3,1448,12
2021-1-4,1448,0
2021-1-5,1459,11
2021-1-6,1471,12
2021-1-7,1488,17
2021-1-8,1517,29
2021-1-9,1523,6
2021-1-10,1528,5
2021-1-11,1534,6
2021-1-12,1544,10
2021-1-13,1556,12
2021-1-14,1564,8
2021-1-15,1591,27
2021-1-16,1603,12
2021-1-17,1605,2
2021-1-18,1607,2
2021-1-19,1607,0
2021-1-20,1637,30
2021-1-21,1635,0
2021-1-22,1654,19
2021-1-23,1667,13
2021-1-24,1668,1
2021-1-25,1669,1
2021-1-26,1681,12
2021-1-27,1688,7
2021-1-28,1714,26
2021-1-29,1721,7
2021-1-30,1725,4
2021-1-31,1725,0
2021-2-1,1725,0
2021-2-2,1735,10
2021-2-3,1741,6
2021-2-4,1748,7
2021-2-5,1747,0
2021-2-6,1758,11
2021-2-7,1767,9
2021-2-8,1767,0
2021-2-9,1776,9
2021-2-10,1780,4
2021-2-11,1791,11
2021-2-12,1791,0
2021-2-13,1796,5
2021-2-14,1803,7
2021-2-15,1803,0
2021-2-16,1803,0
2021-2-17,1806,3
2021-2-18,1817,11
2021-2-19,1826,9
2021-2-20,1826,0
2021-2-21,1826,0
2021-2-22,1826,0
2021-2-23,1826,0
2021-2-24,1840,14
2021-2-25,1840,0
2021-2-26,1850,10
2021-2-27,1859,9
2021-2-28,1860,1
2021-3-1,1860,0
2021-3-2,1867,7
