Date,ILDATA.Death,ILDATA.DeathIncrease
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,1,1
2020-3-18,1,0
2020-3-19,4,3
2020-3-20,5,1
2020-3-21,6,1
2020-3-22,9,3
2020-3-23,12,3
2020-3-24,16,4
2020-3-25,19,3
2020-3-26,26,7
2020-3-27,34,8
2020-3-28,47,13
2020-3-29,65,18
2020-3-30,73,8
2020-3-31,99,26
2020-4-1,141,42
2020-4-2,157,16
2020-4-3,210,53
2020-4-4,243,33
2020-4-5,274,31
2020-4-6,307,33
2020-4-7,380,73
2020-4-8,462,82
2020-4-9,528,66
2020-4-10,596,68
2020-4-11,677,81
2020-4-12,720,43
2020-4-13,794,74
2020-4-14,868,74
2020-4-15,948,80
2020-4-16,1072,124
2020-4-17,1134,62
2020-4-18,1259,125
2020-4-19,1290,31
2020-4-20,1349,59
2020-4-21,1468,119
2020-4-22,1565,97
2020-4-23,1688,123
2020-4-24,1795,107
2020-4-25,1874,79
2020-4-26,1933,59
2020-4-27,1983,50
2020-4-28,2125,142
2020-4-29,2215,90
2020-4-30,2355,140
2020-5-1,2457,102
2020-5-2,2559,102
2020-5-3,2618,59
2020-5-4,2662,44
2020-5-5,2838,176
2020-5-6,2974,136
2020-5-7,3111,137
2020-5-8,3241,130
2020-5-9,3349,108
2020-5-10,3406,57
2020-5-11,3459,53
2020-5-12,3601,142
2020-5-13,3792,191
2020-5-14,3928,136
2020-5-15,4058,130
2020-5-16,4129,71
2020-5-17,4177,48
2020-5-18,4234,57
2020-5-19,4379,145
2020-5-20,4525,146
2020-5-21,4607,82
2020-5-22,4715,108
2020-5-23,4790,75
2020-5-24,4856,66
2020-5-25,4884,28
2020-5-26,4923,39
2020-5-27,5083,160
2020-5-28,5186,103
