Date,INDATA.Death,INDATA.DeathIncrease
2020-2-27,0,0
2020-2-28,0,0
2020-2-29,0,0
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,1,1
2020-3-17,2,1
2020-3-18,2,0
2020-3-19,2,0
2020-3-20,2,0
2020-3-21,4,2
2020-3-22,6,2
2020-3-23,7,1
2020-3-24,12,5
2020-3-25,14,2
2020-3-26,17,3
2020-3-27,24,7
2020-3-28,31,7
2020-3-29,32,1
2020-3-30,35,3
2020-3-31,49,14
2020-4-1,65,16
2020-4-2,78,13
2020-4-3,102,24
2020-4-4,116,14
2020-4-5,127,11
2020-4-6,139,12
2020-4-7,173,34
2020-4-8,203,30
2020-4-9,245,42
2020-4-10,300,55
2020-4-11,330,30
2020-4-12,343,13
2020-4-13,350,7
2020-4-14,388,38
2020-4-15,436,48
2020-4-16,477,41
2020-4-17,519,42
2020-4-18,545,26
2020-4-19,562,17
2020-4-20,569,7
2020-4-21,630,61
2020-4-22,661,31
2020-4-23,706,45
2020-4-24,741,35
2020-4-25,785,44
2020-4-26,813,28
2020-4-27,844,31
2020-4-28,901,57
2020-4-29,1065,164
2020-4-30,1114,49
2020-5-1,1175,61
2020-5-2,1229,54
2020-5-3,1246,17
2020-5-4,1264,18
2020-5-5,1326,62
2020-5-6,1377,51
2020-5-7,1414,37
2020-5-8,1447,33
2020-5-9,1490,43
2020-5-10,1508,18
2020-5-11,1540,32
2020-5-12,1578,38
2020-5-13,1619,41
2020-5-14,1646,27
2020-5-15,1691,45
2020-5-16,1741,50
2020-5-17,1751,10
2020-5-18,1765,14
2020-5-19,1824,59
2020-5-20,1864,40
2020-5-21,1913,49
2020-5-22,1941,28
2020-5-23,1943,2
2020-5-24,1976,33
2020-5-25,1976,0
2020-5-26,2004,28
2020-5-27,2030,26
2020-5-28,2068,38
2020-5-29,2110,42
2020-5-30,2125,15
2020-5-31,2134,9
2020-6-1,2142,8
2020-6-2,2197,55
2020-6-3,2207,10
2020-6-4,2231,24
2020-6-5,2258,27
2020-6-6,2292,34
2020-6-7,2303,11
2020-6-8,2316,13
2020-6-9,2339,23
2020-6-10,2355,16
2020-6-11,2380,25
2020-6-12,2396,16
2020-6-13,2413,17
2020-6-14,2422,9
2020-6-15,2433,11
2020-6-16,2447,14
2020-6-17,2475,28
2020-6-18,2491,16
2020-6-19,2516,25
2020-6-20,2536,20
2020-6-21,2540,4
2020-6-22,2553,13
2020-6-23,2569,16
2020-6-24,2578,9
2020-6-25,2586,8
2020-6-26,2595,9
2020-6-27,2616,21
2020-6-28,2619,3
2020-6-29,2624,5
2020-6-30,2640,16
2020-7-1,2650,10
2020-7-2,2662,12
2020-7-3,2681,19
2020-7-4,2687,6
2020-7-5,2693,6
2020-7-6,2698,5
2020-7-7,2717,19
2020-7-8,2732,15
2020-7-9,2739,7
2020-7-10,2748,9
2020-7-11,2756,8
2020-7-12,2760,4
2020-7-13,2762,2
2020-7-14,2775,13
2020-7-15,2785,10
2020-7-16,2795,10
2020-7-17,2803,8
2020-7-18,2820,17
2020-7-19,2822,2
2020-7-20,2825,3
2020-7-21,2846,21
2020-7-22,2863,17
2020-7-23,2880,17
2020-7-24,2884,4
2020-7-25,2895,11
2020-7-26,2903,8
2020-7-27,2906,3
2020-7-28,2924,18
2020-7-29,2932,8
2020-7-30,2946,14
2020-7-31,2965,19
2020-8-1,2971,6
2020-8-2,2975,4
2020-8-3,2980,5
2020-8-4,2996,16
2020-8-5,3007,11
2020-8-6,3013,6
2020-8-7,3023,10
2020-8-8,3036,13
2020-8-9,3041,5
2020-8-10,3044,3
2020-8-11,3069,25
2020-8-12,3086,17
2020-8-13,3105,19
2020-8-14,3113,8
2020-8-15,3128,15
2020-8-16,3133,5
2020-8-17,3135,2
2020-8-18,3165,30
2020-8-19,3180,15
2020-8-20,3191,11
2020-8-21,3208,17
2020-8-22,3218,10
2020-8-23,3220,2
2020-8-24,3225,5
2020-8-25,3241,16
2020-8-26,3259,18
2020-8-27,3266,7
2020-8-28,3277,11
2020-8-29,3285,8
2020-8-30,3291,6
2020-8-31,3296,5
2020-9-1,3312,16
2020-9-2,3325,13
2020-9-3,3332,7
2020-9-4,3350,18
2020-9-5,3362,12
2020-9-6,3364,2
2020-9-7,3368,4
2020-9-8,3380,12
2020-9-9,3397,17
2020-9-10,3410,13
2020-9-11,3420,10
2020-9-12,3437,17
2020-9-13,3438,1
2020-9-14,3439,1
2020-9-15,3460,21
