Date,KYDATA.Death,KYDATA.DeathIncrease
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,1,1
2020-3-15,1,0
2020-3-16,1,0
2020-3-17,1,0
2020-3-18,1,0
2020-3-19,1,0
2020-3-20,1,0
2020-3-21,2,1
2020-3-22,3,1
2020-3-23,3,0
2020-3-24,4,1
2020-3-25,4,0
2020-3-26,4,0
2020-3-27,6,2
2020-3-28,8,2
2020-3-29,9,1
2020-3-30,9,0
2020-3-31,11,2
2020-4-1,17,6
2020-4-2,20,3
2020-4-3,31,11
2020-4-4,37,6
2020-4-5,40,3
2020-4-6,45,5
2020-4-7,59,14
2020-4-8,65,6
2020-4-9,73,8
2020-4-10,90,17
2020-4-11,90,0
2020-4-12,94,4
2020-4-13,97,3
2020-4-14,104,7
2020-4-15,115,11
2020-4-16,122,7
2020-4-17,129,7
2020-4-18,137,8
2020-4-19,144,7
2020-4-20,148,4
2020-4-21,154,6
2020-4-22,171,17
2020-4-23,185,14
2020-4-24,191,6
2020-4-25,200,9
2020-4-26,205,5
2020-4-27,208,3
2020-4-28,213,5
2020-4-29,225,12
2020-4-30,235,10
2020-5-1,240,5
2020-5-2,248,8
2020-5-3,248,0
2020-5-4,253,5
2020-5-5,261,8
2020-5-6,275,14
2020-5-7,283,8
2020-5-8,294,11
2020-5-9,298,4
2020-5-10,304,6
2020-5-11,304,0
2020-5-12,311,7
2020-5-13,321,10
2020-5-14,326,5
2020-5-15,328,2
2020-5-16,332,4
2020-5-17,334,2
2020-5-18,334,0
2020-5-19,366,32
2020-5-20,366,0
2020-5-21,376,10
2020-5-22,386,10
2020-5-23,391,5
2020-5-24,391,0
2020-5-25,391,0
2020-5-26,391,0
2020-5-27,400,9
2020-5-28,400,0
2020-5-29,409,9
2020-5-30,418,9
2020-5-31,431,13
2020-6-1,439,8
2020-6-2,442,3
2020-6-3,450,8
2020-6-4,458,8
2020-6-5,466,8
2020-6-6,470,4
2020-6-7,470,0
2020-6-8,472,2
2020-6-9,477,5
2020-6-10,484,7
