Date,MNDATA.Death,MNDATA.DeathIncrease
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,1,1
2020-3-22,1,0
2020-3-23,1,0
2020-3-24,1,0
2020-3-25,1,0
2020-3-26,2,1
2020-3-27,4,2
2020-3-28,5,1
2020-3-29,9,4
2020-3-30,10,1
2020-3-31,12,2
2020-4-1,17,5
2020-4-2,18,1
2020-4-3,22,4
2020-4-4,24,2
2020-4-5,29,5
2020-4-6,30,1
2020-4-7,34,4
2020-4-8,39,5
2020-4-9,50,11
2020-4-10,57,7
2020-4-11,64,7
2020-4-12,70,6
2020-4-13,70,0
2020-4-14,79,9
2020-4-15,87,8
2020-4-16,94,7
2020-4-17,111,17
2020-4-18,121,10
2020-4-19,134,13
2020-4-20,143,9
2020-4-21,160,17
2020-4-22,179,19
2020-4-23,200,21
2020-4-24,221,21
2020-4-25,244,23
2020-4-26,272,28
2020-4-27,286,14
2020-4-28,301,15
2020-4-29,319,18
2020-4-30,343,24
2020-5-1,371,28
2020-5-2,395,24
2020-5-3,419,24
2020-5-4,428,9
2020-5-5,455,27
2020-5-6,485,30
2020-5-7,508,23
2020-5-8,534,26
2020-5-9,558,24
2020-5-10,578,20
2020-5-11,591,13
2020-5-12,614,23
2020-5-13,638,24
2020-5-14,663,25
2020-5-15,692,29
2020-5-16,709,17
2020-5-17,731,22
2020-5-18,740,9
2020-5-19,757,17
2020-5-20,786,29
2020-5-21,818,32
2020-5-22,851,33
2020-5-23,861,10
2020-5-24,878,17
2020-5-25,890,12
2020-5-26,908,18
2020-5-27,942,34
2020-5-28,977,35
2020-5-29,1006,29
2020-5-30,1036,30
2020-5-31,1050,14
2020-6-1,1060,10
2020-6-2,1082,22
2020-6-3,1097,15
2020-6-4,1126,29
2020-6-5,1159,33
2020-6-6,1181,22
2020-6-7,1197,16
2020-6-8,1208,11
2020-6-9,1228,20
