Date,MTDATA.Death,MTDATA.DeathIncrease
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,1,1
2020-3-29,1,0
2020-3-30,4,3
2020-3-31,4,0
2020-4-1,5,1
2020-4-2,5,0
2020-4-3,5,0
2020-4-4,5,0
2020-4-5,6,1
2020-4-6,6,0
2020-4-7,6,0
2020-4-8,6,0
2020-4-9,6,0
2020-4-10,6,0
2020-4-11,6,0
2020-4-12,6,0
2020-4-13,7,1
2020-4-14,7,0
2020-4-15,7,0
2020-4-16,7,0
2020-4-17,8,1
2020-4-18,10,2
2020-4-19,10,0
2020-4-20,10,0
2020-4-21,12,2
2020-4-22,14,2
2020-4-23,14,0
2020-4-24,14,0
2020-4-25,14,0
2020-4-26,14,0
2020-4-27,14,0
2020-4-28,15,1
2020-4-29,16,1
2020-4-30,16,0
2020-5-1,16,0
2020-5-2,16,0
2020-5-3,16,0
2020-5-4,16,0
2020-5-5,16,0
2020-5-6,16,0
2020-5-7,16,0
2020-5-8,16,0
2020-5-9,16,0
2020-5-10,16,0
2020-5-11,16,0
2020-5-12,16,0
2020-5-13,16,0
2020-5-14,16,0
2020-5-15,16,0
2020-5-16,16,0
2020-5-17,16,0
2020-5-18,16,0
2020-5-19,16,0
2020-5-20,16,0
2020-5-21,16,0
2020-5-22,16,0
2020-5-23,16,0
2020-5-24,16,0
2020-5-25,16,0
2020-5-26,17,1
2020-5-27,17,0
2020-5-28,17,0
2020-5-29,17,0
2020-5-30,17,0
2020-5-31,17,0
2020-6-1,17,0
2020-6-2,17,0
2020-6-3,17,0
2020-6-4,17,0
2020-6-5,18,1
2020-6-6,18,0
2020-6-7,18,0
2020-6-8,18,0
2020-6-9,18,0
2020-6-10,18,0
2020-6-11,18,0
2020-6-12,18,0
2020-6-13,18,0
2020-6-14,19,1
2020-6-15,19,0
2020-6-16,19,0
2020-6-17,20,1
2020-6-18,20,0
2020-6-19,20,0
2020-6-20,20,0
2020-6-21,20,0
2020-6-22,21,1
2020-6-23,21,0
2020-6-24,21,0
2020-6-25,21,0
2020-6-26,22,1
2020-6-27,22,0
2020-6-28,22,0
2020-6-29,22,0
2020-6-30,22,0
2020-7-1,22,0
2020-7-2,22,0
2020-7-3,23,1
2020-7-4,23,0
2020-7-5,23,0
2020-7-6,23,0
2020-7-7,23,0
2020-7-8,23,0
2020-7-9,25,2
2020-7-10,28,3
2020-7-11,29,1
2020-7-12,29,0
2020-7-13,32,3
2020-7-14,34,2
2020-7-15,34,0
2020-7-16,35,1
2020-7-17,37,2
2020-7-18,37,0
2020-7-19,37,0
2020-7-20,39,2
2020-7-21,40,1
2020-7-22,42,2
2020-7-23,43,1
2020-7-24,46,3
2020-7-25,46,0
2020-7-26,46,0
2020-7-27,47,1
2020-7-28,51,4
2020-7-29,54,3
2020-7-30,55,1
2020-7-31,60,5
2020-8-1,61,1
2020-8-2,61,0
2020-8-3,64,3
2020-8-4,64,0
2020-8-5,65,1
2020-8-6,65,0
2020-8-7,70,5
2020-8-8,75,5
2020-8-9,75,0
2020-8-10,75,0
2020-8-11,77,2
2020-8-12,80,3
2020-8-13,81,1
2020-8-14,81,0
2020-8-15,82,1
2020-8-16,82,0
2020-8-17,82,0
2020-8-18,84,2
2020-8-19,84,0
2020-8-20,89,5
2020-8-21,89,0
2020-8-22,90,1
2020-8-23,90,0
2020-8-24,91,1
2020-8-25,97,6
2020-8-26,98,1
2020-8-27,98,0
2020-8-28,100,2
2020-8-29,104,4
2020-8-30,104,0
2020-8-31,104,0
2020-9-1,105,1
2020-9-2,109,4
2020-9-3,111,2
2020-9-4,114,3
2020-9-5,116,2
2020-9-6,117,1
2020-9-7,118,1
2020-9-8,119,1
2020-9-9,122,3
2020-9-10,123,1
2020-9-11,131,8
2020-9-12,133,2
2020-9-13,135,2
2020-9-14,138,3
2020-9-15,140,2
2020-9-16,141,1
2020-9-17,143,2
2020-9-18,146,3
2020-9-19,156,10
2020-9-20,157,1
2020-9-21,160,3
2020-9-22,163,3
2020-9-23,165,2
2020-9-24,165,0
2020-9-25,170,5
2020-9-26,171,1
2020-9-27,173,2
2020-9-28,174,1
2020-9-29,177,3
2020-9-30,180,3
2020-10-1,181,1
2020-10-2,186,5
2020-10-3,186,0
2020-10-4,187,1
2020-10-5,190,3
2020-10-6,192,2
2020-10-7,193,1
2020-10-8,197,4
2020-10-9,206,9
2020-10-10,209,3
2020-10-11,210,1
2020-10-12,212,2
2020-10-13,217,5
2020-10-14,225,8
2020-10-15,230,5
2020-10-16,235,5
2020-10-17,240,5
2020-10-18,241,1
2020-10-19,241,0
2020-10-20,252,11
2020-10-21,275,23
2020-10-22,278,3
2020-10-23,282,4
2020-10-24,294,12
2020-10-25,297,3
2020-10-26,303,6
2020-10-27,305,2
2020-10-28,325,20
2020-10-29,337,12
2020-10-30,364,27
2020-10-31,375,11
2020-11-1,376,1
2020-11-2,386,10
2020-11-3,399,13
2020-11-4,404,5
2020-11-5,407,3
2020-11-6,419,12
2020-11-7,445,26
2020-11-8,456,11
2020-11-9,457,1
2020-11-10,462,5
2020-11-11,472,10
2020-11-12,472,0
2020-11-13,477,5
2020-11-14,514,37
2020-11-15,520,6
2020-11-16,522,2
2020-11-17,543,21
2020-11-18,561,18
2020-11-19,561,0
2020-11-20,567,6
2020-11-21,600,33
2020-11-22,603,3
2020-11-23,614,11
2020-11-24,630,16
2020-11-25,652,22
2020-11-26,658,6
2020-11-27,657,0
2020-11-28,669,12
2020-11-29,671,2
2020-11-30,681,10
2020-12-1,698,17
2020-12-2,713,15
2020-12-3,722,9
2020-12-4,727,5
2020-12-5,734,7
2020-12-6,736,2
2020-12-7,742,6
2020-12-8,763,21
2020-12-9,771,8
2020-12-10,781,10
2020-12-11,805,24
2020-12-12,816,11
2020-12-13,818,2
2020-12-14,818,0
2020-12-15,826,8
2020-12-16,836,10
2020-12-17,849,13
2020-12-18,854,5
2020-12-19,864,10
2020-12-20,865,1
2020-12-21,881,16
2020-12-22,895,14
2020-12-23,914,19
2020-12-24,916,2
2020-12-25,916,0
2020-12-26,919,3
2020-12-27,924,5
2020-12-28,927,3
2020-12-29,939,12
2020-12-30,950,11
2020-12-31,961,11
2021-1-1,961,0
2021-1-2,971,10
2021-1-3,972,1
2021-1-4,975,3
2021-1-5,1005,30
2021-1-6,1015,10
2021-1-7,1038,23
2021-1-8,1049,11
2021-1-9,1054,5
2021-1-10,1056,2
2021-1-11,1057,1
2021-1-12,1067,10
2021-1-13,1069,2
2021-1-14,1077,8
2021-1-15,1086,9
2021-1-16,1088,2
2021-1-17,1092,4
2021-1-18,1093,1
2021-1-19,1093,0
2021-1-20,1094,1
2021-1-21,1100,6
2021-1-22,1104,4
2021-1-23,1141,37
2021-1-24,1151,10
2021-1-25,1151,0
2021-1-26,1185,34
2021-1-27,1201,16
2021-1-28,1210,9
2021-1-29,1227,17
2021-1-30,1232,5
2021-1-31,1233,1
2021-2-1,1234,1
2021-2-2,1249,15
2021-2-3,1303,54
2021-2-4,1308,5
2021-2-5,1307,0
2021-2-6,1312,5
2021-2-7,1314,2
2021-2-8,1314,0
2021-2-9,1315,1
2021-2-10,1320,5
2021-2-11,1320,0
2021-2-12,1324,4
2021-2-13,1327,3
2021-2-14,1327,0
2021-2-15,1328,1
2021-2-16,1331,3
2021-2-17,1334,3
2021-2-18,1337,3
2021-2-19,1339,2
2021-2-20,1341,2
2021-2-21,1342,1
2021-2-22,1341,0
2021-2-23,1346,5
2021-2-24,1348,2
2021-2-25,1350,2
2021-2-26,1354,4
2021-2-27,1356,2
2021-2-28,1357,1
2021-3-1,1357,0
2021-3-2,1372,15
2021-3-3,1373,1
2021-3-4,1375,2
