Date,NJDATA.Death,NJDATA.DeathIncrease
2020-2-10,0,0
2020-2-11,0,0
2020-2-12,0,0
2020-2-13,0,0
2020-2-14,0,0
2020-2-15,0,0
2020-2-16,0,0
2020-2-17,0,0
2020-2-18,0,0
2020-2-19,0,0
2020-2-20,0,0
2020-2-21,0,0
2020-2-22,0,0
2020-2-23,0,0
2020-2-24,0,0
2020-2-25,0,0
2020-2-26,0,0
2020-2-27,0,0
2020-2-28,0,0
2020-2-29,0,0
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,1,1
2020-3-12,1,0
2020-3-13,1,0
2020-3-14,1,0
2020-3-15,2,1
2020-3-16,2,0
2020-3-17,4,2
2020-3-18,7,3
2020-3-19,13,6
2020-3-20,16,3
2020-3-21,22,6
2020-3-22,29,7
2020-3-23,40,11
2020-3-24,60,20
2020-3-25,81,21
2020-3-26,108,27
2020-3-27,140,32
2020-3-28,191,51
2020-3-29,217,26
2020-3-30,266,49
2020-3-31,364,98
2020-4-1,475,111
2020-4-2,680,205
2020-4-3,816,136
2020-4-4,1058,242
2020-4-5,1184,126
2020-4-6,1334,150
2020-4-7,1631,297
2020-4-8,1969,338
2020-4-9,2236,267
2020-4-10,2521,285
2020-4-11,2844,323
2020-4-12,3084,240
2020-4-13,3248,164
2020-4-14,3659,411
2020-4-15,4068,409
2020-4-16,4489,421
2020-4-17,4853,364
2020-4-18,5139,286
2020-4-19,5310,171
2020-4-20,5518,208
2020-4-21,5932,414
2020-4-22,6275,343
2020-4-23,6607,332
2020-4-24,6886,279
2020-4-25,7166,280
2020-4-26,7268,102
2020-4-27,7407,139
2020-4-28,7835,428
2020-4-29,8184,349
2020-4-30,8664,480
2020-5-1,9000,336
2020-5-2,9225,225
2020-5-3,9380,155
2020-5-4,9442,62
2020-5-5,9783,341
2020-5-6,10104,321
2020-5-7,10368,264
2020-5-8,10538,170
2020-5-9,10715,177
2020-5-10,10866,151
2020-5-11,10926,60
2020-5-12,11138,212
2020-5-13,11340,202
2020-5-14,11592,252
2020-5-15,11789,197
2020-5-16,11903,114
2020-5-17,12013,110
2020-5-18,12096,83
2020-5-19,12248,152
2020-5-20,12416,168
2020-5-21,12518,102
2020-5-22,12666,148
2020-5-23,12765,99
2020-5-24,12819,54
2020-5-25,12834,15
2020-5-26,12886,52
2020-5-27,13037,151
2020-5-28,13104,67
2020-5-29,13239,135
2020-5-30,13345,106
2020-5-31,13412,67
2020-6-1,13438,26
2020-6-2,13490,52
2020-6-3,13602,112
2020-6-4,13697,95
2020-6-5,13779,82
2020-6-6,13837,58
2020-6-7,13908,71
2020-6-8,13947,39
2020-6-9,14040,93
2020-6-10,14116,76
2020-6-11,14183,67
2020-6-12,14232,49
2020-6-13,14335,103
2020-6-14,14372,37
2020-6-15,14424,52
2020-6-16,14476,52
2020-6-17,14518,42
2020-6-18,14550,32
2020-6-19,14585,35
2020-6-20,14608,23
2020-6-21,14623,15
2020-6-22,14651,28
2020-6-23,14707,56
2020-6-24,14753,46
2020-6-25,14776,23
2020-6-26,14819,43
2020-6-27,14855,36
2020-6-28,14882,27
2020-6-29,14901,19
2020-6-30,14944,43
2020-7-1,14987,43
2020-7-2,15014,27
2020-7-3,15072,58
2020-7-4,15097,25
2020-7-5,15119,22
2020-7-6,15138,19
2020-7-7,15191,53
2020-7-8,15243,52
2020-7-9,15268,25
2020-7-10,15299,31
2020-7-11,15345,46
2020-7-12,15361,16
2020-7-13,15380,19
2020-7-14,15402,22
2020-7-15,15427,25
2020-7-16,15458,31
2020-7-17,15477,19
2020-7-18,15492,15
2020-7-19,15500,8
2020-7-20,15510,10
2020-7-21,15533,23
2020-7-22,15557,24
2020-7-23,15581,24
2020-7-24,15616,35
2020-7-25,15627,11
2020-7-26,15639,12
2020-7-27,15657,18
2020-7-28,15679,22
2020-7-29,15697,18
2020-7-30,15708,11
2020-7-31,15719,11
2020-8-1,15731,12
2020-8-2,15737,6
2020-8-3,15747,10
2020-8-4,15758,11
2020-8-5,15765,7
2020-8-6,15772,7
2020-8-7,15783,11
2020-8-8,15792,9
2020-8-9,15797,5
2020-8-10,15801,4
2020-8-11,15813,12
