Date,NVDATA.Death,NVDATA.DeathIncrease
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,1,1
2020-3-16,1,0
2020-3-17,1,0
2020-3-18,2,1
2020-3-19,3,1
2020-3-20,3,0
2020-3-21,5,2
2020-3-22,7,2
2020-3-23,8,1
2020-3-24,13,5
2020-3-25,13,0
2020-3-26,17,4
2020-3-27,21,4
2020-3-28,25,4
2020-3-29,28,3
2020-3-30,32,4
2020-3-31,37,5
2020-4-1,45,8
2020-4-2,51,6
2020-4-3,59,8
2020-4-4,70,11
2020-4-5,76,6
2020-4-6,79,3
2020-4-7,91,12
2020-4-8,101,10
2020-4-9,110,9
2020-4-10,120,10
2020-4-11,125,5
2020-4-12,128,3
2020-4-13,133,5
2020-4-14,141,8
2020-4-15,150,9
2020-4-16,158,8
2020-4-17,162,4
2020-4-18,168,6
2020-4-19,172,4
2020-4-20,180,8
2020-4-21,193,13
2020-4-22,201,8
2020-4-23,210,9
2020-4-24,216,6
2020-4-25,229,13
2020-4-26,235,6
2020-4-27,245,10
2020-4-28,251,6
2020-4-29,257,6
2020-4-30,269,12
2020-5-1,277,8
2020-5-2,281,4
2020-5-3,287,6
2020-5-4,292,5
2020-5-5,297,5
2020-5-6,311,14
2020-5-7,320,9
2020-5-8,328,8
2020-5-9,334,6
2020-5-10,339,5
2020-5-11,344,5
2020-5-12,350,6
2020-5-13,355,5
2020-5-14,358,3
2020-5-15,368,10
2020-5-16,369,1
2020-5-17,375,6
2020-5-18,383,8
2020-5-19,390,7
2020-5-20,393,3
2020-5-21,397,4
2020-5-22,400,3
2020-5-23,404,4
2020-5-24,408,4
2020-5-25,410,2
2020-5-26,412,2
2020-5-27,416,4
2020-5-28,425,9
2020-5-29,435,10
2020-5-30,439,4
2020-5-31,444,5
2020-6-1,445,1
2020-6-2,452,7
2020-6-3,455,3
2020-6-4,460,5
2020-6-5,460,0
2020-6-6,463,3
2020-6-7,465,2
2020-6-8,469,4
2020-6-9,472,3
2020-6-10,474,2
2020-6-11,475,1
2020-6-12,475,0
2020-6-13,478,3
2020-6-14,479,1
2020-6-15,483,4
2020-6-16,485,2
2020-6-17,486,1
2020-6-18,489,3
2020-6-19,491,2
2020-6-20,491,0
2020-6-21,492,1
2020-6-22,492,0
2020-6-23,492,0
2020-6-24,494,2
2020-6-25,495,1
2020-6-26,498,3
2020-6-27,500,2
2020-6-28,500,0
2020-6-29,504,4
2020-6-30,507,3
2020-7-1,511,4
2020-7-2,525,14
2020-7-3,528,3
2020-7-4,530,2
2020-7-5,534,4
2020-7-6,537,3
2020-7-7,548,11
2020-7-8,553,5
2020-7-9,571,18
2020-7-10,579,8
2020-7-11,592,13
2020-7-12,593,1
2020-7-13,593,0
2020-7-14,612,19
2020-7-15,618,6
2020-7-16,626,8
2020-7-17,637,11
2020-7-18,646,9
2020-7-19,647,1
2020-7-20,648,1
2020-7-21,676,28
2020-7-22,704,28
2020-7-23,709,5
2020-7-24,722,13
2020-7-25,732,10
2020-7-26,734,2
2020-7-27,739,5
2020-7-28,759,20
2020-7-29,780,21
2020-7-30,801,21
2020-7-31,830,29
2020-8-1,832,2
2020-8-2,832,0
2020-8-3,847,15
2020-8-4,862,15
2020-8-5,890,28
2020-8-6,900,10
2020-8-7,920,20
2020-8-8,949,29
2020-8-9,957,8
2020-8-10,963,6
2020-8-11,981,18
2020-8-12,996,15
2020-8-13,1030,34
2020-8-14,1045,15
2020-8-15,1069,24
2020-8-16,1072,3
2020-8-17,1077,5
2020-8-18,1102,25
2020-8-19,1134,32
2020-8-20,1172,38
2020-8-21,1185,13
2020-8-22,1197,12
2020-8-23,1197,0
2020-8-24,1200,3
2020-8-25,1230,30
2020-8-26,1250,20
2020-8-27,1271,21
2020-8-28,1287,16
2020-8-29,1302,15
2020-8-30,1302,0
2020-8-31,1305,3
2020-9-1,1313,8
2020-9-2,1336,23
2020-9-3,1363,27
2020-9-4,1375,12
2020-9-5,1388,13
2020-9-6,1389,1
2020-9-7,1393,4
2020-9-8,1393,0
2020-9-9,1412,19
2020-9-10,1429,17
2020-9-11,1439,10
2020-9-12,1449,10
2020-9-13,1452,3
2020-9-14,1456,4
2020-9-15,1482,26
2020-9-16,1494,12
2020-9-17,1506,12
2020-9-18,1524,18
2020-9-19,1528,4
2020-9-20,1531,3
2020-9-21,1531,0
2020-9-22,1546,15
2020-9-23,1556,10
2020-9-24,1564,8
2020-9-25,1573,9
2020-9-26,1582,9
2020-9-27,1585,3
2020-9-28,1585,0
2020-9-29,1593,8
2020-9-30,1600,7
2020-10-1,1603,3
2020-10-2,1609,6
2020-10-3,1620,11
2020-10-4,1623,3
2020-10-5,1623,0
2020-10-6,1629,6
2020-10-7,1636,7
2020-10-8,1649,13
2020-10-9,1657,8
2020-10-10,1659,2
2020-10-11,1661,2
2020-10-12,1664,3
2020-10-13,1674,10
2020-10-14,1691,17
2020-10-15,1698,7
2020-10-16,1707,9
2020-10-17,1707,0
2020-10-18,1710,3
2020-10-19,1712,2
2020-10-20,1727,15
2020-10-21,1732,5
2020-10-22,1736,4
2020-10-23,1738,2
2020-10-24,1743,5
2020-10-25,1748,5
2020-10-26,1749,1
2020-10-27,1756,7
2020-10-28,1766,10
2020-10-29,1769,3
2020-10-30,1777,8
2020-10-31,1777,0
2020-11-1,1781,4
2020-11-2,1784,3
2020-11-3,1807,23
2020-11-4,1814,7
2020-11-5,1824,10
2020-11-6,1845,21
2020-11-7,1850,5
2020-11-8,1851,1
2020-11-9,1852,1
2020-11-10,1859,7
2020-11-11,1877,18
2020-11-12,1880,3
2020-11-13,1893,13
2020-11-14,1908,15
2020-11-15,1909,1
2020-11-16,1917,8
2020-11-17,1944,27
2020-11-18,1947,3
2020-11-19,1953,6
2020-11-20,1982,29
2020-11-21,2011,29
2020-11-22,2017,6
2020-11-23,2023,6
2020-11-24,2047,24
2020-11-25,2071,24
2020-11-26,2093,22
2020-11-27,2095,2
2020-11-28,2119,24
2020-11-29,2136,17
2020-11-30,2144,8
2020-12-1,2166,22
2020-12-2,2201,35
2020-12-3,2249,48
2020-12-4,2272,23
2020-12-5,2301,29
2020-12-6,2315,14
2020-12-7,2319,4
2020-12-8,2359,40
2020-12-9,2384,25
2020-12-10,2434,50
2020-12-11,2479,45
2020-12-12,2520,41
2020-12-13,2539,19
2020-12-14,2548,9
2020-12-15,2596,48
2020-12-16,2653,57
2020-12-17,2673,20
2020-12-18,2708,35
2020-12-19,2751,43
2020-12-20,2781,30
2020-12-21,2787,6
