Date,OHDATA.Death,OHDATA.DeathIncrease
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,1,1
2020-3-21,3,2
2020-3-22,3,0
2020-3-23,6,3
2020-3-24,8,2
2020-3-25,10,2
2020-3-26,15,5
2020-3-27,19,4
2020-3-28,25,6
2020-3-29,29,4
2020-3-30,39,10
2020-3-31,55,16
2020-4-1,65,10
2020-4-2,81,16
2020-4-3,91,10
2020-4-4,102,11
2020-4-5,119,17
2020-4-6,142,23
2020-4-7,167,25
2020-4-8,193,26
2020-4-9,213,20
2020-4-10,231,18
2020-4-11,247,16
2020-4-12,253,6
2020-4-13,274,21
2020-4-14,324,50
2020-4-15,361,37
2020-4-16,389,28
2020-4-17,418,29
2020-4-18,451,33
2020-4-19,471,20
2020-4-20,509,38
2020-4-21,557,48
2020-4-22,610,53
2020-4-23,656,46
2020-4-24,690,34
2020-4-25,711,21
2020-4-26,728,17
2020-4-27,753,25
2020-4-28,799,46
2020-4-29,937,138
2020-4-30,975,38
2020-5-1,1002,27
2020-5-2,1021,19
2020-5-3,1038,17
2020-5-4,1056,18
2020-5-5,1135,79
2020-5-6,1225,90
2020-5-7,1271,46
2020-5-8,1306,35
2020-5-9,1331,25
2020-5-10,1341,10
2020-5-11,1357,16
2020-5-12,1436,79
2020-5-13,1483,47
2020-5-14,1534,51
2020-5-15,1581,47
2020-5-16,1610,29
2020-5-17,1625,15
2020-5-18,1657,32
2020-5-19,1720,63
2020-5-20,1781,61
2020-5-21,1836,55
2020-5-22,1872,36
2020-5-23,1956,84
2020-5-24,1969,13
2020-5-25,1987,18
2020-5-26,2002,15
2020-5-27,2044,42
2020-5-28,2098,54
2020-5-29,2131,33
2020-5-30,2149,18
2020-5-31,2155,6
2020-6-1,2206,51
2020-6-2,2258,52
2020-6-3,2299,41
2020-6-4,2339,40
2020-6-5,2355,16
2020-6-6,2370,15
2020-6-7,2377,7
2020-6-8,2404,27
2020-6-9,2421,17
2020-6-10,2457,36
2020-6-11,2490,33
2020-6-12,2508,18
2020-6-13,2554,46
2020-6-14,2557,3
2020-6-15,2573,16
2020-6-16,2597,24
2020-6-17,2611,14
2020-6-18,2633,22
2020-6-19,2667,34
2020-6-20,2697,30
2020-6-21,2700,3
2020-6-22,2704,4
2020-6-23,2735,31
2020-6-24,2755,20
2020-6-25,2772,17
2020-6-26,2788,16
2020-6-27,2804,16
2020-6-28,2807,3
2020-6-29,2818,11
2020-6-30,2863,45
2020-7-1,2876,13
2020-7-2,2903,27
2020-7-3,2903,0
2020-7-4,2907,4
2020-7-5,2911,4
2020-7-6,2927,16
2020-7-7,2970,43
2020-7-8,2991,21
2020-7-9,3006,15
2020-7-10,3032,26
2020-7-11,3036,4
2020-7-12,3058,22
2020-7-13,3064,6
2020-7-14,3069,5
2020-7-15,3075,6
2020-7-16,3103,28
2020-7-17,3112,9
2020-7-18,3132,20
2020-7-19,3174,42
2020-7-20,3189,15
2020-7-21,3219,30
2020-7-22,3235,16
2020-7-23,3256,21
2020-7-24,3297,41
2020-7-25,3297,0
2020-7-26,3307,10
2020-7-27,3344,37
2020-7-28,3382,38
2020-7-29,3422,40
2020-7-30,3442,20
2020-7-31,3489,47
2020-8-1,3515,26
2020-8-2,3529,14
2020-8-3,3539,10
2020-8-4,3570,31
2020-8-5,3596,26
2020-8-6,3618,22
2020-8-7,3652,34
2020-8-8,3668,16
2020-8-9,3669,1
2020-8-10,3673,4
2020-8-11,3708,35
2020-8-12,3734,26
2020-8-13,3755,21
2020-8-14,3784,29
2020-8-15,3824,40
2020-8-16,3826,2
2020-8-17,3832,6
2020-8-18,3871,39
2020-8-19,3907,36
2020-8-20,3929,22
2020-8-21,3955,26
2020-8-22,3975,20
2020-8-23,3978,3
2020-8-24,3986,8
2020-8-25,3996,10
2020-8-26,4044,48
2020-8-27,4076,32
2020-8-28,4105,29
2020-8-29,4126,21
2020-8-30,4128,2
2020-8-31,4138,10
2020-9-1,4165,27
2020-9-2,4176,11
2020-9-3,4226,50
2020-9-4,4248,22
2020-9-5,4256,8
2020-9-6,4259,3
2020-9-7,4276,17
2020-9-8,4298,22
2020-9-9,4324,26
2020-9-10,4354,30
2020-9-11,4403,49
2020-9-12,4411,8
2020-9-13,4415,4
2020-9-14,4419,4
2020-9-15,4506,87
2020-9-16,4555,49
2020-9-17,4580,25
2020-9-18,4608,28
2020-9-19,4612,4
2020-9-20,4615,3
2020-9-21,4623,8
2020-9-22,4635,12
2020-9-23,4687,52
2020-9-24,4715,28
2020-9-25,4734,19
2020-9-26,4740,6
2020-9-27,4741,1
2020-9-28,4746,5
2020-9-29,4783,37
2020-9-30,4804,21
2020-10-1,4817,13
2020-10-2,4905,88
2020-10-3,4925,20
2020-10-4,4925,0
2020-10-5,4931,6
2020-10-6,4947,16
2020-10-7,4970,23
2020-10-8,4983,13
2020-10-9,4994,11
2020-10-10,4997,3
2020-10-11,4999,2
2020-10-12,5005,6
2020-10-13,5017,12
2020-10-14,5033,16
2020-10-15,5038,5
2020-10-16,5054,16
2020-10-17,5067,13
2020-10-18,5067,0
2020-10-19,5075,8
2020-10-20,5083,8
2020-10-21,5149,66
2020-10-22,5161,12
2020-10-23,5184,23
2020-10-24,5206,22
2020-10-25,5206,0
2020-10-26,5217,11
2020-10-27,5239,22
2020-10-28,5256,17
2020-10-29,5275,19
2020-10-30,5291,16
2020-10-31,5301,10
2020-11-1,5303,2
2020-11-2,5340,37
2020-11-3,5373,33
2020-11-4,5428,55
2020-11-5,5461,33
2020-11-6,5494,33
2020-11-7,5506,12
2020-11-8,5517,11
2020-11-9,5524,7
2020-11-10,5547,23
2020-11-11,5623,76
2020-11-12,5658,35
2020-11-13,5700,42
2020-11-14,5714,14
2020-11-15,5722,8
2020-11-16,5742,20
2020-11-17,5772,30
2020-11-18,5827,55
2020-11-19,5890,63
2020-11-20,5955,65
2020-11-21,5984,29
2020-11-22,5996,12
2020-11-23,6020,24
2020-11-24,6118,98
2020-11-25,6274,156
2020-11-26,6274,0
2020-11-27,6346,72
2020-11-28,6378,32
2020-11-29,6399,21
2020-11-30,6429,30
2020-12-1,6548,119
2020-12-2,6671,123
2020-12-3,6753,82
2020-12-4,6882,129
2020-12-5,6946,64
2020-12-6,6959,13
2020-12-7,7022,63
2020-12-8,7103,81
2020-12-9,7187,84
2020-12-10,7298,111
2020-12-11,7426,128
2020-12-12,7477,51
