Date,OKDATA.Death,OKDATA.DeathIncrease
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,1,1
2020-3-20,1,0
2020-3-21,1,0
2020-3-22,2,1
2020-3-23,2,0
2020-3-24,3,1
2020-3-25,5,2
2020-3-26,7,2
2020-3-27,8,1
2020-3-28,15,7
2020-3-29,16,1
2020-3-30,17,1
2020-3-31,23,6
2020-4-1,30,7
2020-4-2,34,4
2020-4-3,38,4
2020-4-4,42,4
2020-4-5,46,4
2020-4-6,51,5
2020-4-7,67,16
2020-4-8,79,12
2020-4-9,80,1
2020-4-10,88,8
2020-4-11,94,6
2020-4-12,96,2
2020-4-13,99,3
2020-4-14,108,9
2020-4-15,123,15
2020-4-16,131,8
2020-4-17,136,5
2020-4-18,139,3
2020-4-19,140,1
2020-4-20,143,3
2020-4-21,164,21
2020-4-22,170,6
2020-4-23,179,9
2020-4-24,188,9
2020-4-25,194,6
2020-4-26,195,1
2020-4-27,197,2
2020-4-28,207,10
2020-4-29,214,7
2020-4-30,222,8
2020-5-1,230,8
2020-5-2,238,8
2020-5-3,238,0
2020-5-4,238,0
2020-5-5,247,9
2020-5-6,253,6
2020-5-7,260,7
2020-5-8,266,6
2020-5-9,270,4
2020-5-10,272,2
2020-5-11,274,2
2020-5-12,278,4
2020-5-13,278,0
2020-5-14,284,6
2020-5-15,285,1
2020-5-16,288,3
2020-5-17,288,0
2020-5-18,288,0
2020-5-19,294,6
2020-5-20,299,5
2020-5-21,304,5
2020-5-22,307,3
2020-5-23,311,4
2020-5-24,311,0
2020-5-25,313,2
2020-5-26,318,5
2020-5-27,322,4
2020-5-28,326,4
2020-5-29,329,3
2020-5-30,334,5
2020-5-31,334,0
2020-6-1,334,0
2020-6-2,339,5
2020-6-3,341,2
2020-6-4,344,3
2020-6-5,344,0
2020-6-6,345,1
2020-6-7,348,3
2020-6-8,348,0
2020-6-9,353,5
2020-6-10,355,2
2020-6-11,357,2
2020-6-12,359,2
2020-6-13,359,0
2020-6-14,359,0
2020-6-15,359,0
2020-6-16,363,4
2020-6-17,364,1
2020-6-18,366,2
2020-6-19,367,1
2020-6-20,368,1
2020-6-21,369,1
2020-6-22,369,0
2020-6-23,371,2
2020-6-24,372,1
2020-6-25,375,3
2020-6-26,377,2
2020-6-27,384,7
2020-6-28,385,1
2020-6-29,385,0
2020-6-30,387,2
2020-7-1,389,2
2020-7-2,395,6
2020-7-3,398,3
2020-7-4,398,0
2020-7-5,398,0
2020-7-6,399,1
2020-7-7,404,5
2020-7-8,407,3
2020-7-9,410,3
2020-7-10,416,6
2020-7-11,421,5
2020-7-12,422,1
2020-7-13,424,2
2020-7-14,428,4
2020-7-15,432,4
2020-7-16,438,6
2020-7-17,445,7
2020-7-18,451,6
2020-7-19,451,0
2020-7-20,452,1
2020-7-21,461,9
2020-7-22,474,13
2020-7-23,477,3
2020-7-24,484,7
2020-7-25,496,12
2020-7-26,496,0
2020-7-27,496,0
2020-7-28,509,13
2020-7-29,523,14
2020-7-30,536,13
2020-7-31,541,5
2020-8-1,549,8
2020-8-2,550,1
2020-8-3,551,1
2020-8-4,566,15
2020-8-5,583,17
2020-8-6,593,10
2020-8-7,600,7
2020-8-8,603,3
2020-8-9,603,0
2020-8-10,605,2
2020-8-11,618,13
2020-8-12,627,9
2020-8-13,638,11
2020-8-14,644,6
2020-8-15,657,13
2020-8-16,661,4
2020-8-17,665,4
2020-8-18,682,17
2020-8-19,699,17
2020-8-20,709,10
2020-8-21,715,6
2020-8-22,725,10
2020-8-23,726,1
2020-8-24,730,4
2020-8-25,744,14
2020-8-26,763,19
2020-8-27,778,15
2020-8-28,786,8
2020-8-29,797,11
2020-8-30,799,2
2020-8-31,800,1
2020-9-1,809,9
2020-9-2,821,12
2020-9-3,835,14
2020-9-4,846,11
2020-9-5,850,4
2020-9-6,853,3
2020-9-7,853,0
2020-9-8,854,1
2020-9-9,863,9
2020-9-10,876,13
2020-9-11,888,12
2020-9-12,899,11
2020-9-13,905,6
2020-9-14,905,0
2020-9-15,912,7
2020-9-16,924,12
2020-9-17,930,6
2020-9-18,939,9
2020-9-19,943,4
2020-9-20,946,3
2020-9-21,948,2
2020-9-22,962,14
2020-9-23,970,8
2020-9-24,981,11
2020-9-25,993,12
2020-9-26,1004,11
2020-9-27,1004,0
2020-9-28,1007,3
2020-9-29,1018,11
2020-9-30,1031,13
2020-10-1,1035,4
2020-10-2,1044,9
2020-10-3,1051,7
2020-10-4,1052,1
2020-10-5,1055,3
2020-10-6,1066,11
2020-10-7,1075,9
2020-10-8,1085,10
2020-10-9,1091,6
2020-10-10,1095,4
2020-10-11,1098,3
2020-10-12,1104,6
2020-10-13,1119,15
2020-10-14,1132,13
2020-10-15,1143,11
2020-10-16,1154,11
2020-10-17,1168,14
2020-10-18,1171,3
2020-10-19,1173,2
2020-10-20,1191,18
2020-10-21,1210,19
2020-10-22,1221,11
2020-10-23,1234,13
2020-10-24,1245,11
2020-10-25,1249,4
2020-10-26,1251,2
2020-10-27,1273,22
2020-10-28,1286,13
2020-10-29,1306,20
2020-10-30,1326,20
2020-10-31,1337,11
2020-11-1,1345,8
2020-11-2,1354,9
2020-11-3,1375,21
2020-11-4,1392,17
2020-11-5,1413,21
2020-11-6,1429,16
2020-11-7,1429,0
2020-11-8,1438,9
2020-11-9,1444,6
2020-11-10,1451,7
2020-11-11,1470,19
2020-11-12,1481,11
2020-11-13,1493,12
2020-11-14,1516,23
2020-11-15,1528,12
2020-11-16,1538,10
2020-11-17,1544,6
2020-11-18,1570,26
2020-11-19,1588,18
2020-11-20,1603,15
2020-11-21,1624,21
2020-11-22,1634,10
2020-11-23,1649,15
2020-11-24,1664,15
2020-11-25,1680,16
2020-11-26,1680,0
2020-11-27,1704,24
2020-11-28,1717,13
2020-11-29,1736,19
2020-11-30,1743,7
2020-12-1,1758,15
2020-12-2,1812,54
2020-12-3,1836,24
2020-12-4,1860,24
2020-12-5,1874,14
2020-12-6,1896,22
2020-12-7,1911,15
2020-12-8,1922,11
2020-12-9,1945,23
2020-12-10,1980,35
2020-12-11,2007,27
2020-12-12,2042,35
2020-12-13,2064,22
2020-12-14,2072,8
2020-12-15,2086,14
2020-12-16,2128,42
2020-12-17,2144,16
2020-12-18,2161,17
2020-12-19,2189,28
2020-12-20,2212,23
2020-12-21,2218,6
2020-12-22,2240,22
2020-12-23,2283,43
2020-12-24,2328,45
2020-12-25,2328,0
2020-12-26,2357,29
2020-12-27,2370,13
2020-12-28,2383,13
2020-12-29,2405,22
2020-12-30,2453,48
2020-12-31,2489,36
2021-1-1,2489,0
2021-1-2,2527,38
2021-1-3,2547,20
2021-1-4,2552,5
2021-1-5,2571,19
2021-1-6,2633,62
2021-1-7,2672,39
2021-1-8,2703,31
2021-1-9,2738,35
2021-1-10,2761,23
2021-1-11,2775,14
2021-1-12,2804,29
2021-1-13,2848,44
2021-1-14,2882,34
2021-1-15,2925,43
2021-1-16,2952,27
2021-1-17,2987,35
2021-1-18,2994,7
2021-1-19,3037,43
2021-1-20,3085,48
2021-1-21,3140,55
2021-1-22,3187,47
2021-1-23,3231,44
2021-1-24,3279,48
2021-1-25,3293,14
2021-1-26,3323,30
2021-1-27,3388,65
2021-1-28,3423,35
2021-1-29,3471,48
2021-1-30,3504,33
2021-1-31,3547,43
2021-2-1,3564,17
2021-2-2,3602,38
2021-2-3,3654,52
2021-2-4,3681,27
2021-2-5,3710,29
2021-2-6,3761,51
2021-2-7,3813,52
2021-2-8,3817,4
2021-2-9,3870,53
2021-2-10,3900,30
2021-2-11,3948,48
2021-2-12,3959,11
2021-2-13,3994,35
2021-2-14,4024,30
2021-2-15,4041,17
2021-2-16,4061,20
2021-2-17,4089,28
2021-2-18,4112,23
2021-2-19,4132,20
2021-2-20,4155,23
2021-2-21,4181,26
2021-2-22,4203,22
2021-2-23,4227,24
2021-2-24,4264,37
