Date,ORDATA.Death,ORDATA.DeathIncrease
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,3,3
2020-3-20,3,0
2020-3-21,3,0
2020-3-22,3,0
2020-3-23,4,1
2020-3-24,5,1
2020-3-25,8,3
2020-3-26,8,0
2020-3-27,11,3
2020-3-28,12,1
2020-3-29,13,1
2020-3-30,13,0
2020-3-31,16,3
2020-4-1,18,2
2020-4-2,18,0
2020-4-3,21,3
2020-4-4,22,1
2020-4-5,26,4
2020-4-6,27,1
2020-4-7,27,0
2020-4-8,33,6
2020-4-9,33,0
2020-4-10,44,11
2020-4-11,48,4
2020-4-12,51,3
2020-4-13,52,1
2020-4-14,53,1
2020-4-15,55,2
2020-4-16,58,3
2020-4-17,64,6
2020-4-18,70,6
2020-4-19,72,2
2020-4-20,74,2
2020-4-21,75,1
2020-4-22,78,3
2020-4-23,78,0
2020-4-24,83,5
2020-4-25,86,3
2020-4-26,87,1
2020-4-27,91,4
2020-4-28,92,1
2020-4-29,99,7
2020-4-30,101,2
2020-5-1,103,2
2020-5-2,104,1
2020-5-3,109,5
2020-5-4,109,0
2020-5-5,109,0
2020-5-6,113,4
2020-5-7,115,2
2020-5-8,121,6
2020-5-9,124,3
2020-5-10,127,3
2020-5-11,127,0
2020-5-12,130,3
2020-5-13,130,0
2020-5-14,134,4
2020-5-15,137,3
2020-5-16,137,0
2020-5-17,137,0
2020-5-18,137,0
2020-5-19,138,1
2020-5-20,140,2
2020-5-21,144,4
2020-5-22,145,1
2020-5-23,147,2
2020-5-24,147,0
2020-5-25,148,1
2020-5-26,148,0
2020-5-27,148,0
2020-5-28,148,0
2020-5-29,151,3
2020-5-30,151,0
2020-5-31,153,2
2020-6-1,153,0
