Date,PADATA.Death,PADATA.DeathIncrease
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,1,1
2020-3-19,1,0
2020-3-20,1,0
2020-3-21,2,1
2020-3-22,2,0
2020-3-23,6,4
2020-3-24,7,1
2020-3-25,11,4
2020-3-26,16,5
2020-3-27,22,6
2020-3-28,34,12
2020-3-29,38,4
2020-3-30,49,11
2020-3-31,63,14
2020-4-1,74,11
2020-4-2,90,16
2020-4-3,102,12
2020-4-4,136,34
2020-4-5,150,14
2020-4-6,162,12
2020-4-7,240,78
2020-4-8,309,69
2020-4-9,338,29
2020-4-10,416,78
2020-4-11,494,78
2020-4-12,507,13
2020-4-13,524,17
2020-4-14,584,60
2020-4-15,647,63
2020-4-16,707,60
2020-4-17,756,49
2020-4-18,836,80
2020-4-19,1112,276
2020-4-20,1204,92
2020-4-21,1564,360
2020-4-22,1622,58
2020-4-23,1421,0
2020-4-24,1492,71
2020-4-25,1537,45
2020-4-26,1550,13
2020-4-27,1597,47
2020-4-28,1716,119
2020-4-29,2195,479
2020-4-30,2292,97
2020-5-1,2354,62
2020-5-2,2418,64
2020-5-3,2444,26
2020-5-4,2458,14
2020-5-5,3012,554
2020-5-6,3106,94
2020-5-7,3416,310
2020-5-8,3616,200
2020-5-9,3688,72
2020-5-10,3707,19
2020-5-11,3731,24
2020-5-12,3806,75
2020-5-13,3943,137
2020-5-14,4218,275
2020-5-15,4342,124
2020-5-16,4403,61
2020-5-17,4418,15
2020-5-18,4505,87
2020-5-19,4624,119
2020-5-20,4624,0
2020-5-21,4869,245
2020-5-22,4984,115
2020-5-23,5096,112
2020-5-24,5124,28
2020-5-25,5139,15
2020-5-26,5152,13
2020-5-27,5265,113
2020-5-28,5373,108
2020-5-29,5464,91
2020-5-30,5537,73
2020-5-31,5555,18
2020-6-1,5567,12
2020-6-2,5667,100
2020-6-3,5741,74
2020-6-4,5817,76
2020-6-5,5886,69
2020-6-6,5931,45
2020-6-7,5943,12
2020-6-8,5953,10
2020-6-9,6014,61
2020-6-10,6062,48
2020-6-11,6113,51
2020-6-12,6162,49
2020-6-13,6211,49
2020-6-14,6215,4
2020-6-15,6243,28
2020-6-16,6276,33
2020-6-17,6319,43
2020-6-18,6361,42
2020-6-19,6399,38
2020-6-20,6419,20
2020-6-21,6423,4
2020-6-22,6426,3
2020-6-23,6464,38
2020-6-24,6518,54
2020-6-25,6557,39
2020-6-26,6579,22
2020-6-27,6579,0
2020-6-28,6579,0
2020-6-29,6614,35
2020-6-30,6649,35
2020-7-1,6649,0
2020-7-2,6712,63
2020-7-3,6746,34
2020-7-4,6749,3
2020-7-5,6753,4
2020-7-6,6754,1
2020-7-7,6787,33
2020-7-8,6812,25
2020-7-9,6848,36
2020-7-10,6880,32
2020-7-11,6897,17
2020-7-12,6904,7
2020-7-13,6911,7
2020-7-14,6931,20
2020-7-15,6957,26
2020-7-16,6973,16
2020-7-17,6992,19
2020-7-18,7007,15
2020-7-19,7015,8
2020-7-20,7018,3
2020-7-21,7038,20
2020-7-22,7063,25
2020-7-23,7079,16
2020-7-24,7101,22
2020-7-25,7114,13
2020-7-26,7118,4
2020-7-27,7122,4
2020-7-28,7146,24
2020-7-29,7162,16
2020-7-30,7176,14
2020-7-31,7189,13
2020-8-1,7204,15
2020-8-2,7209,5
2020-8-3,7209,0
2020-8-4,7232,23
2020-8-5,7244,12
2020-8-6,7282,38
2020-8-7,7297,15
2020-8-8,7313,16
2020-8-9,7314,1
2020-8-10,7317,3
2020-8-11,7352,35
2020-8-12,7385,33
2020-8-13,7409,24
2020-8-14,7445,36
2020-8-15,7465,20
2020-8-16,7468,3
2020-8-17,7468,0
2020-8-18,7499,31
2020-8-19,7523,24
2020-8-20,7538,15
2020-8-21,7558,20
2020-8-22,7576,18
2020-8-23,7578,2
2020-8-24,7579,1
2020-8-25,7605,26
2020-8-26,7624,19
2020-8-27,7635,11
2020-8-28,7655,20
2020-8-29,7671,16
2020-8-30,7673,2
2020-8-31,7673,0
2020-9-1,7691,18
2020-9-2,7712,21
2020-9-3,7732,20
2020-9-4,7742,10
2020-9-5,7760,18
2020-9-6,7760,0
2020-9-7,7780,20
2020-9-8,7791,11
2020-9-9,7805,14
2020-9-10,7820,15
2020-9-11,7837,17
2020-9-12,7837,0
2020-9-13,7837,0
2020-9-14,7869,32
2020-9-15,7875,6
2020-9-16,7903,28
2020-9-17,7913,10
2020-9-18,7934,21
2020-9-19,7956,22
2020-9-20,7981,25
2020-9-21,8004,23
2020-9-22,8023,19
2020-9-23,8062,39
2020-9-24,8079,17
2020-9-25,8081,2
2020-9-26,8103,22
2020-9-27,8106,3
2020-9-28,8107,1
2020-9-29,8123,16
2020-9-30,8142,19
2020-10-1,8160,18
2020-10-2,8179,19
2020-10-3,8199,20
2020-10-4,8216,17
2020-10-5,8227,11
2020-10-6,8244,17
2020-10-7,8272,28
2020-10-8,8299,27
2020-10-9,8308,9
2020-10-10,8344,36
2020-10-11,8350,6
2020-10-12,8368,18
2020-10-13,8384,16
2020-10-14,8411,27
2020-10-15,8432,21
2020-10-16,8457,25
2020-10-17,8466,9
2020-10-18,8492,26
2020-10-19,8500,8
2020-10-20,8533,33
2020-10-21,8562,29
2020-10-22,8592,30
2020-10-23,8625,33
2020-10-24,8654,29
2020-10-25,8666,12
2020-10-26,8673,7
2020-10-27,8696,23
2020-10-28,8718,22
2020-10-29,8762,44
2020-10-30,8784,22
2020-10-31,8812,28
2020-11-1,8817,5
2020-11-2,8823,6
2020-11-3,8855,32
2020-11-4,8890,35
2020-11-5,8937,47
2020-11-6,8975,38
2020-11-7,9015,40
2020-11-8,9020,5
2020-11-9,9024,4
2020-11-10,9086,62
2020-11-11,9145,59
2020-11-12,9194,49
2020-11-13,9224,30
2020-11-14,9274,50
2020-11-15,9312,38
2020-11-16,9325,13
2020-11-17,9355,30
2020-11-18,9465,110
2020-11-19,9581,116
2020-11-20,9689,108
2020-11-21,9801,112
2020-11-22,9842,41
2020-11-23,9870,28
2020-11-24,9951,81
2020-11-25,10095,144
2020-11-26,10213,118
2020-11-27,10234,21
2020-11-28,10275,41
2020-11-29,10351,76
2020-11-30,10383,32
2020-12-1,10563,180
2020-12-2,10757,194
2020-12-3,10944,187
2020-12-4,11113,169
2020-12-5,11262,149
2020-12-6,11331,69
2020-12-7,11373,42
2020-12-8,11542,169
2020-12-9,11762,220
2020-12-10,12010,248
2020-12-11,12235,225
2020-12-12,12436,201
2020-12-13,12565,129
2020-12-14,12620,55
2020-12-15,12890,270
2020-12-16,13168,278
2020-12-17,13392,224
2020-12-18,13608,216
2020-12-19,13825,217
2020-12-20,13924,99
2020-12-21,13981,57
2020-12-22,14212,231
2020-12-23,14442,230
2020-12-24,14718,276
2020-12-25,14857,139
2020-12-26,14883,26
2020-12-27,15010,127
2020-12-28,15086,76
2020-12-29,15353,267
2020-12-30,15672,319
2020-12-31,15978,306
2021-1-1,16214,236
2021-1-2,16239,25
2021-1-3,16295,56
2021-1-4,16361,66
2021-1-5,16546,185
2021-1-6,16914,368
2021-1-7,17179,265
2021-1-8,17394,215
2021-1-9,17667,273
2021-1-10,17770,103
2021-1-11,17853,83
2021-1-12,18080,227
2021-1-13,18429,349
2021-1-14,18742,313
2021-1-15,18957,215
2021-1-16,19188,231
2021-1-17,19310,122
2021-1-18,19390,80
2021-1-19,19467,77
2021-1-20,19868,401
2021-1-21,20128,260
2021-1-22,20321,193
2021-1-23,20526,205
2021-1-24,20609,83
2021-1-25,20664,55
2021-1-26,20883,219
2021-1-27,21105,222
2021-1-28,21303,198
2021-1-29,21462,159
2021-1-30,21602,140
2021-1-31,21661,59
2021-2-1,21687,26
2021-2-2,21812,125
2021-2-3,21955,143
2021-2-4,22101,146
2021-2-5,22239,138
2021-2-6,22396,157
2021-2-7,22467,71
2021-2-8,22471,4
2021-2-9,22620,149
2021-2-10,22745,125
2021-2-11,22860,115
2021-2-12,22959,99
2021-2-13,23072,113
2021-2-14,23096,24
2021-2-15,23119,23
2021-2-16,23126,7
2021-2-17,23319,193
2021-2-18,23413,94
2021-2-19,23480,67
2021-2-20,23570,90
2021-2-21,23597,27
2021-2-22,23614,17
2021-2-23,23711,97
2021-2-24,23787,76
2021-2-25,23868,81
2021-2-26,23937,69
