Date,RIDATA.Death,RIDATA.DeathIncrease
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,3,3
2020-3-30,4,1
2020-3-31,8,4
2020-4-1,10,2
2020-4-2,12,2
2020-4-3,14,2
2020-4-4,17,3
2020-4-5,25,8
2020-4-6,27,2
2020-4-7,30,3
2020-4-8,35,5
2020-4-9,43,8
2020-4-10,49,6
2020-4-11,56,7
2020-4-12,63,7
2020-4-13,73,10
2020-4-14,80,7
2020-4-15,87,7
2020-4-16,105,18
2020-4-17,118,13
2020-4-18,150,32
2020-4-19,164,14
2020-4-20,175,11
2020-4-21,186,11
2020-4-22,201,15
2020-4-23,213,12
2020-4-24,202,0
2020-4-25,215,13
2020-4-26,226,11
2020-4-27,233,7
2020-4-28,239,6
2020-4-29,251,12
2020-4-30,266,15
2020-5-1,279,13
2020-5-2,296,17
2020-5-3,320,24
2020-5-4,341,21
2020-5-5,355,14
2020-5-6,370,15
2020-5-7,388,18
2020-5-8,399,11
2020-5-9,418,19
2020-5-10,422,4
2020-5-11,430,8
2020-5-12,444,14
2020-5-13,462,18
2020-5-14,468,6
2020-5-15,479,11
2020-5-16,489,10
2020-5-17,499,10
2020-5-18,506,7
2020-5-19,532,26
2020-5-20,538,6
2020-5-21,556,18
2020-5-22,579,23
2020-5-23,597,18
2020-5-24,608,11
2020-5-25,608,0
2020-5-26,634,26
2020-5-27,655,21
2020-5-28,677,22
2020-5-29,693,16
2020-5-30,711,18
2020-5-31,718,7
2020-6-1,720,2
2020-6-2,732,12
2020-6-3,742,10
2020-6-4,756,14
2020-6-5,772,16
2020-6-6,772,0
2020-6-7,772,0
2020-6-8,799,27
2020-6-9,808,9
2020-6-10,812,4
2020-6-11,823,11
2020-6-12,833,10
2020-6-13,833,0
2020-6-14,833,0
2020-6-15,851,18
2020-6-16,865,14
2020-6-17,876,11
2020-6-18,885,9
2020-6-19,894,9
2020-6-20,894,0
2020-6-21,894,0
2020-6-22,903,9
2020-6-23,906,3
2020-6-24,912,6
2020-6-25,920,8
2020-6-26,927,7
2020-6-27,927,0
2020-6-28,927,0
2020-6-29,946,19
2020-6-30,950,4
2020-7-1,956,6
2020-7-2,959,3
2020-7-3,960,1
2020-7-4,960,0
2020-7-5,960,0
2020-7-6,960,0
2020-7-7,969,9
2020-7-8,971,2
2020-7-9,974,3
2020-7-10,976,2
2020-7-11,976,0
2020-7-12,976,0
2020-7-13,984,8
2020-7-14,985,1
2020-7-15,987,2
2020-7-16,988,1
2020-7-17,990,2
2020-7-18,990,0
2020-7-19,990,0
2020-7-20,995,5
2020-7-21,996,1
2020-7-22,997,1
2020-7-23,1001,4
2020-7-24,1002,1
2020-7-25,1002,0
2020-7-26,1002,0
2020-7-27,1004,2
2020-7-28,1005,1
2020-7-29,1007,2
2020-7-30,1007,0
2020-7-31,1007,0
2020-8-1,1007,0
2020-8-2,1007,0
2020-8-3,1010,3
2020-8-4,1011,1
2020-8-5,1012,1
2020-8-6,1014,2
2020-8-7,1014,0
2020-8-8,1015,1
2020-8-9,1015,0
2020-8-10,1015,0
2020-8-11,1016,1
2020-8-12,1018,2
2020-8-13,1019,1
2020-8-14,1021,2
2020-8-15,1022,1
2020-8-16,1022,0
2020-8-17,1023,1
2020-8-18,1024,1
2020-8-19,1027,3
2020-8-20,1028,1
2020-8-21,1030,2
2020-8-22,1035,5
2020-8-23,1035,0
2020-8-24,1035,0
2020-8-25,1039,4
2020-8-26,1041,2
2020-8-27,1044,3
2020-8-28,1046,2
2020-8-29,1047,1
2020-8-30,1047,0
2020-8-31,1048,1
2020-9-1,1050,2
2020-9-2,1051,1
2020-9-3,1055,4
2020-9-4,1055,0
2020-9-5,1058,3
2020-9-6,1058,0
2020-9-7,1059,1
2020-9-8,1059,0
2020-9-9,1062,3
