Date,SCDATA.Death,SCDATA.DeathIncrease
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,1,1
2020-3-17,1,0
2020-3-18,1,0
2020-3-19,1,0
2020-3-20,1,0
2020-3-21,1,0
2020-3-22,3,2
2020-3-23,5,2
2020-3-24,5,0
2020-3-25,7,2
2020-3-26,9,2
2020-3-27,9,0
2020-3-28,13,4
2020-3-29,16,3
2020-3-30,18,2
2020-3-31,22,4
2020-4-1,26,4
2020-4-2,31,5
2020-4-3,31,0
2020-4-4,40,9
2020-4-5,44,4
2020-4-6,44,0
2020-4-7,51,7
2020-4-8,63,12
2020-4-9,67,4
2020-4-10,72,5
2020-4-11,80,8
2020-4-12,82,2
2020-4-13,82,0
2020-4-14,97,15
2020-4-15,107,10
2020-4-16,107,0
2020-4-17,109,2
2020-4-18,119,10
2020-4-19,120,1
2020-4-20,120,0
2020-4-21,124,4
2020-4-22,140,16
2020-4-23,150,10
2020-4-24,150,0
2020-4-25,166,16
2020-4-26,174,8
2020-4-27,174,0
2020-4-28,177,3
2020-4-29,203,26
2020-4-30,244,41
2020-5-1,256,12
2020-5-2,267,11
2020-5-3,275,8
2020-5-4,275,0
2020-5-5,283,8
2020-5-6,305,22
2020-5-7,305,0
2020-5-8,316,11
2020-5-9,330,14
2020-5-10,331,1
2020-5-11,331,0
2020-5-12,355,24
2020-5-13,355,0
2020-5-14,371,16
2020-5-15,380,9
2020-5-16,380,0
2020-5-17,380,0
2020-5-18,391,11
2020-5-19,399,8
2020-5-20,399,0
2020-5-21,407,8
2020-5-22,419,12
2020-5-23,425,6
2020-5-24,435,10
2020-5-25,440,5
2020-5-26,446,6
2020-5-27,466,20
2020-5-28,470,4
2020-5-29,483,13
2020-5-30,487,4
2020-5-31,494,7
2020-6-1,500,6
