Date,TNDATA.Death,TNDATA.DeathIncrease
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,2,2
2020-3-24,2,0
2020-3-25,3,1
2020-3-26,3,0
2020-3-27,6,3
2020-3-28,6,0
2020-3-29,7,1
2020-3-30,13,6
2020-3-31,23,10
2020-4-1,24,1
2020-4-2,32,8
2020-4-3,37,5
2020-4-4,43,6
2020-4-5,44,1
2020-4-6,65,21
2020-4-7,72,7
2020-4-8,79,7
2020-4-9,94,15
2020-4-10,98,4
2020-4-11,101,3
2020-4-12,101,0
2020-4-13,109,8
2020-4-14,124,15
2020-4-15,135,11
2020-4-16,141,6
2020-4-17,142,1
2020-4-18,145,3
2020-4-19,148,3
2020-4-20,152,4
2020-4-21,157,5
2020-4-22,166,9
2020-4-23,170,4
2020-4-24,168,0
2020-4-25,178,10
2020-4-26,181,3
2020-4-27,184,3
2020-4-28,188,4
2020-4-29,195,7
2020-4-30,199,4
2020-5-1,204,5
2020-5-2,209,5
2020-5-3,210,1
2020-5-4,219,9
2020-5-5,226,7
2020-5-6,239,13
2020-5-7,237,0
2020-5-8,241,4
2020-5-9,242,1
2020-5-10,243,1
2020-5-11,251,8
2020-5-12,265,14
2020-5-13,273,8
2020-5-14,287,14
2020-5-15,290,3
2020-5-16,295,5
2020-5-17,298,3
2020-5-18,301,3
2020-5-19,305,4
2020-5-20,309,4
2020-5-21,313,4
2020-5-22,315,2
2020-5-23,329,14
2020-5-24,336,7
2020-5-25,338,2
2020-5-26,343,5
2020-5-27,353,10
2020-5-28,356,3
2020-5-29,360,4
2020-5-30,364,4
2020-5-31,364,0
2020-6-1,367,3
2020-6-2,381,14
2020-6-3,388,7
2020-6-4,401,13
2020-6-5,408,7
2020-6-6,417,9
2020-6-7,418,1
2020-6-8,421,3
2020-6-9,435,14
2020-6-10,436,1
2020-6-11,441,5
2020-6-12,468,27
2020-6-13,472,4
2020-6-14,475,3
2020-6-15,483,8
2020-6-16,493,10
2020-6-17,497,4
2020-6-18,509,12
2020-6-19,515,6
2020-6-20,524,9
2020-6-21,526,2
2020-6-22,531,5
2020-6-23,542,11
2020-6-24,556,14
2020-6-25,567,11
2020-6-26,577,10
2020-6-27,584,7
2020-6-28,584,0
2020-6-29,592,8
2020-6-30,604,12
2020-7-1,609,5
2020-7-2,620,11
2020-7-3,633,13
2020-7-4,637,4
2020-7-5,646,9
2020-7-6,653,7
2020-7-7,665,12
2020-7-8,685,20
2020-7-9,710,25
2020-7-10,723,13
2020-7-11,738,15
2020-7-12,741,3
2020-7-13,749,8
2020-7-14,767,18
2020-7-15,783,16
2020-7-16,796,13
2020-7-17,815,19
2020-7-18,838,23
2020-7-19,843,5
2020-7-20,847,4
2020-7-21,871,24
2020-7-22,888,17
2020-7-23,925,37
2020-7-24,938,13
2020-7-25,964,26
2020-7-26,967,3
2020-7-27,978,11
2020-7-28,978,0
2020-7-29,1020,42
2020-7-30,1033,13
2020-7-31,1060,27
2020-8-1,1067,7
2020-8-2,1073,6
2020-8-3,1092,19
2020-8-4,1117,25
2020-8-5,1144,27
2020-8-6,1186,42
2020-8-7,1206,20
2020-8-8,1215,9
2020-8-9,1223,8
2020-8-10,1233,10
2020-8-11,1271,38
2020-8-12,1289,18
2020-8-13,1313,24
2020-8-14,1326,13
2020-8-15,1345,19
2020-8-16,1366,21
2020-8-17,1387,21
2020-8-18,1426,39
2020-8-19,1452,26
2020-8-20,1488,36
2020-8-21,1549,61
2020-8-22,1563,14
2020-8-23,1567,4
2020-8-24,1588,21
2020-8-25,1628,40
2020-8-26,1648,20
2020-8-27,1673,25
2020-8-28,1701,28
2020-8-29,1725,24
2020-8-30,1747,22
2020-8-31,1754,7
2020-9-1,1781,27
2020-9-2,1797,16
2020-9-3,1815,18
2020-9-4,1837,22
2020-9-5,1862,25
2020-9-6,1865,3
2020-9-7,1869,4
2020-9-8,1896,27
2020-9-9,1931,35
2020-9-10,1988,57
2020-9-11,2025,37
2020-9-12,2064,39
2020-9-13,2078,14
2020-9-14,2097,19
2020-9-15,2127,30
2020-9-16,2151,24
2020-9-17,2164,13
2020-9-18,2196,32
2020-9-19,2216,20
2020-9-20,2218,2
2020-9-21,2233,15
2020-9-22,2261,28
2020-9-23,2275,14
2020-9-24,2310,35
2020-9-25,2352,42
2020-9-26,2374,22
2020-9-27,2377,3
2020-9-28,2389,12
2020-9-29,2420,31
2020-9-30,2454,34
2020-10-1,2501,47
2020-10-2,2515,14
2020-10-3,2560,45
2020-10-4,2577,17
2020-10-5,2597,20
2020-10-6,2621,24
2020-10-7,2642,21
2020-10-8,2705,63
2020-10-9,2732,27
2020-10-10,2758,26
2020-10-11,2767,9
2020-10-12,2774,7
2020-10-13,2797,23
2020-10-14,2828,31
2020-10-15,2864,36
2020-10-16,2871,7
2020-10-17,2903,32
2020-10-18,2909,6
2020-10-19,2922,13
2020-10-20,2952,30
2020-10-21,2970,18
2020-10-22,3011,41
2020-10-23,3076,65
2020-10-24,3100,24
2020-10-25,3131,31
2020-10-26,3163,32
2020-10-27,3207,44
2020-10-28,3241,34
2020-10-29,3263,22
2020-10-30,3341,78
2020-10-31,3353,12
2020-11-1,3353,0
2020-11-2,3379,26
2020-11-3,3454,75
2020-11-4,3478,24
2020-11-5,3509,31
2020-11-6,3541,32
2020-11-7,3590,49
2020-11-8,3595,5
2020-11-9,3610,15
2020-11-10,3672,62
2020-11-11,3761,89
2020-11-12,3788,27
2020-11-13,3852,64
2020-11-14,3877,25
2020-11-15,3893,16
2020-11-16,3923,30
2020-11-17,3995,72
2020-11-18,4048,53
2020-11-19,4128,80
2020-11-20,4202,74
2020-11-21,4211,9
2020-11-22,4266,55
2020-11-23,4301,35
2020-11-24,4374,73
2020-11-25,4466,92
2020-11-26,4519,53
2020-11-27,4526,7
2020-11-28,4541,15
2020-11-29,4554,13
2020-11-30,4602,48
2020-12-1,4638,36
2020-12-2,4688,50
2020-12-3,4781,93
2020-12-4,4876,95
2020-12-5,4905,29
2020-12-6,4943,38
2020-12-7,5009,66
2020-12-8,5109,100
2020-12-9,5171,62
2020-12-10,5240,69
2020-12-11,5327,87
2020-12-12,5400,73
2020-12-13,5462,62
2020-12-14,5541,79
2020-12-15,5615,74
2020-12-16,5668,53
2020-12-17,5845,177
2020-12-18,5960,115
2020-12-19,5960,0
