Date,UTDATA.Death,UTDATA.DeathIncrease
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,1,1
2020-3-23,1,0
2020-3-24,1,0
2020-3-25,1,0
2020-3-26,1,0
2020-3-27,2,1
2020-3-28,2,0
2020-3-29,2,0
2020-3-30,4,2
2020-3-31,5,1
2020-4-1,7,2
2020-4-2,7,0
2020-4-3,7,0
2020-4-4,8,1
2020-4-5,8,0
2020-4-6,13,5
2020-4-7,13,0
2020-4-8,13,0
2020-4-9,13,0
2020-4-10,17,4
2020-4-11,18,1
2020-4-12,18,0
2020-4-13,18,0
2020-4-14,19,1
2020-4-15,20,1
2020-4-16,21,1
2020-4-17,23,2
2020-4-18,25,2
2020-4-19,27,2
2020-4-20,28,1
2020-4-21,32,4
2020-4-22,34,2
2020-4-23,35,1
2020-4-24,39,4
2020-4-25,41,2
2020-4-26,41,0
2020-4-27,41,0
2020-4-28,45,4
2020-4-29,45,0
2020-4-30,46,1
2020-5-1,46,0
2020-5-2,49,3
2020-5-3,50,1
2020-5-4,50,0
2020-5-5,56,6
2020-5-6,58,2
2020-5-7,61,3
2020-5-8,61,0
2020-5-9,66,5
2020-5-10,67,1
2020-5-11,68,1
2020-5-12,73,5
2020-5-13,75,2
2020-5-14,75,0
2020-5-15,77,2
2020-5-16,78,1
2020-5-17,80,2
2020-5-18,80,0
2020-5-19,88,8
2020-5-20,90,2
2020-5-21,92,2
2020-5-22,93,1
2020-5-23,97,4
2020-5-24,97,0
2020-5-25,98,1
2020-5-26,101,3
2020-5-27,105,4
2020-5-28,106,1
2020-5-29,107,1
2020-5-30,112,5
2020-5-31,113,1
2020-6-1,113,0
2020-6-2,113,0
2020-6-3,117,4
2020-6-4,117,0
2020-6-5,120,3
2020-6-6,121,1
2020-6-7,121,0
2020-6-8,124,3
2020-6-9,127,3
2020-6-10,128,1
2020-6-11,131,3
2020-6-12,139,8
2020-6-13,139,0
2020-6-14,139,0
2020-6-15,143,4
2020-6-16,145,2
2020-6-17,149,4
2020-6-18,152,3
2020-6-19,155,3
2020-6-20,155,0
2020-6-21,158,3
2020-6-22,158,0
2020-6-23,163,5
2020-6-24,163,0
2020-6-25,164,1
2020-6-26,166,2
2020-6-27,167,1
2020-6-28,167,0
2020-6-29,168,1
2020-6-30,172,4
2020-7-1,173,1
2020-7-2,176,3
2020-7-3,181,5
2020-7-4,181,0
2020-7-5,184,3
2020-7-6,190,6
2020-7-7,194,4
2020-7-8,201,7
2020-7-9,205,4
2020-7-10,207,2
2020-7-11,212,5
2020-7-12,215,3
2020-7-13,216,1
2020-7-14,226,10
2020-7-15,233,7
2020-7-16,234,1
2020-7-17,235,1
2020-7-18,243,8
2020-7-19,243,0
2020-7-20,247,4
2020-7-21,251,4
2020-7-22,260,9
2020-7-23,267,7
2020-7-24,273,6
2020-7-25,274,1
2020-7-26,274,0
2020-7-27,281,7
2020-7-28,286,5
2020-7-29,292,6
2020-7-30,300,8
2020-7-31,304,4
2020-8-1,310,6
2020-8-2,311,1
2020-8-3,314,3
2020-8-4,321,7
2020-8-5,327,6
2020-8-6,330,3
2020-8-7,335,5
2020-8-8,335,0
2020-8-9,336,1
2020-8-10,345,9
2020-8-11,349,4
2020-8-12,351,2
2020-8-13,353,2
2020-8-14,360,7
2020-8-15,363,3
2020-8-16,363,0
2020-8-17,364,1
2020-8-18,369,5
2020-8-19,377,8
2020-8-20,381,4
2020-8-21,383,2
2020-8-22,385,2
2020-8-23,385,0
2020-8-24,390,5
2020-8-25,397,7
2020-8-26,401,4
2020-8-27,403,2
2020-8-28,407,4
2020-8-29,407,0
2020-8-30,407,0
2020-8-31,407,0
2020-9-1,409,2
2020-9-2,410,1
2020-9-3,414,4
2020-9-4,419,5
2020-9-5,420,1
2020-9-6,422,2
2020-9-7,423,1
2020-9-8,424,1
2020-9-9,427,3
2020-9-10,430,3
2020-9-11,431,1
2020-9-12,433,2
2020-9-13,433,0
2020-9-14,436,3
2020-9-15,436,0
2020-9-16,437,1
2020-9-17,437,0
2020-9-18,437,0
2020-9-19,440,3
2020-9-20,440,0
2020-9-21,441,1
2020-9-22,443,2
2020-9-23,444,1
2020-9-24,444,0
2020-9-25,448,4
2020-9-26,448,0
2020-9-27,453,5
2020-9-28,453,0
2020-9-29,457,4
2020-9-30,459,2
2020-10-1,459,0
2020-10-2,474,15
2020-10-3,476,2
2020-10-4,478,2
2020-10-5,482,4
2020-10-6,488,6
2020-10-7,496,8
2020-10-8,501,5
2020-10-9,505,4
2020-10-10,510,5
2020-10-11,517,7
2020-10-12,522,5
2020-10-13,522,0
2020-10-14,527,5
2020-10-15,529,2
2020-10-16,537,8
2020-10-17,540,3
2020-10-18,543,3
2020-10-19,546,3
2020-10-20,551,5
2020-10-21,557,6
2020-10-22,563,6
2020-10-23,567,4
2020-10-24,568,1
2020-10-25,572,4
2020-10-26,574,2
2020-10-27,578,4
2020-10-28,588,10
2020-10-29,598,10
2020-10-30,601,3
2020-10-31,604,3
2020-11-1,614,10
2020-11-2,614,0
2020-11-3,620,6
2020-11-4,625,5
2020-11-5,632,7
2020-11-6,649,17
2020-11-7,658,9
2020-11-8,659,1
2020-11-9,661,2
2020-11-10,672,11
2020-11-11,678,6
2020-11-12,687,9
2020-11-13,701,14
2020-11-14,710,9
2020-11-15,718,8
2020-11-16,723,5
2020-11-17,732,9
2020-11-18,740,8
2020-11-19,756,16
2020-11-20,773,17
2020-11-21,787,14
2020-11-22,793,6
2020-11-23,797,4
2020-11-24,808,11
2020-11-25,834,26
2020-11-26,834,0
2020-11-27,849,15
2020-11-28,863,14
2020-11-29,868,5
2020-11-30,871,3
2020-12-1,890,19
2020-12-2,906,16
2020-12-3,917,11
2020-12-4,925,8
2020-12-5,939,14
2020-12-6,939,0
2020-12-7,949,10
2020-12-8,972,23
2020-12-9,995,23
2020-12-10,1016,21
2020-12-11,1025,9
2020-12-12,1038,13
2020-12-13,1055,17
2020-12-14,1062,7
2020-12-15,1077,15
2020-12-16,1096,19
2020-12-17,1126,30
2020-12-18,1140,14
2020-12-19,1148,8
2020-12-20,1155,7
2020-12-21,1161,6
2020-12-22,1173,12
2020-12-23,1196,23
2020-12-24,1204,8
2020-12-25,1204,0
2020-12-26,1212,8
2020-12-27,1214,2
2020-12-28,1219,5
2020-12-29,1235,16
2020-12-30,1256,21
2020-12-31,1269,13
2021-1-1,1269,0
2021-1-2,1294,25
2021-1-3,1301,7
2021-1-4,1305,4
2021-1-5,1312,7
2021-1-6,1330,18
2021-1-7,1359,29
2021-1-8,1381,22
2021-1-9,1390,9
2021-1-10,1392,2
2021-1-11,1396,4
2021-1-12,1422,26
2021-1-13,1449,27
2021-1-14,1460,11
2021-1-15,1472,12
2021-1-16,1485,13
2021-1-17,1493,8
2021-1-18,1500,7
2021-1-19,1507,7
2021-1-20,1517,10
2021-1-21,1547,30
2021-1-22,1571,24
2021-1-23,1582,11
2021-1-24,1595,13
2021-1-25,1597,2
2021-1-26,1613,16
2021-1-27,1620,7
2021-1-28,1620,0
2021-1-29,1655,35
2021-1-30,1663,8
2021-1-31,1665,2
2021-2-1,1668,3
2021-2-2,1685,17
2021-2-3,1697,12
2021-2-4,1711,14
2021-2-5,1728,17
2021-2-6,1733,5
2021-2-7,1736,3
2021-2-8,1738,2
2021-2-9,1748,10
2021-2-10,1765,17
2021-2-11,1774,9
2021-2-12,1785,11
2021-2-13,1790,5
2021-2-14,1794,4
2021-2-15,1796,2
2021-2-16,1797,1
2021-2-17,1806,9
2021-2-18,1813,7
2021-2-19,1834,21
2021-2-20,1842,8
2021-2-21,1852,10
2021-2-22,1853,1
2021-2-23,1865,12
2021-2-24,1879,14
2021-2-25,1890,11
2021-2-26,1907,17
2021-2-27,1929,22
2021-2-28,1935,6
2021-3-1,1940,5
2021-3-2,1949,9
