Date,GADATA.Death,GADATA.DeathIncrease
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,1,1
2020-3-14,1,0
2020-3-15,1,0
2020-3-16,1,0
2020-3-17,1,0
2020-3-18,1,0
2020-3-19,10,9
2020-3-20,13,3
2020-3-21,14,1
2020-3-22,23,9
2020-3-23,25,2
2020-3-24,32,7
2020-3-25,40,8
2020-3-26,48,8
2020-3-27,64,16
2020-3-28,69,5
2020-3-29,80,11
2020-3-30,87,7
2020-3-31,111,24
2020-4-1,139,28
2020-4-2,163,24
2020-4-3,184,21
2020-4-4,201,17
2020-4-5,211,10
2020-4-6,229,18
2020-4-7,329,100
2020-4-8,362,33
2020-4-9,379,17
2020-4-10,416,37
2020-4-11,428,12
2020-4-12,433,5
2020-4-13,464,31
2020-4-14,501,37
2020-4-15,552,51
2020-4-16,587,35
2020-4-17,650,63
2020-4-18,673,23
2020-4-19,687,14
2020-4-20,733,46
2020-4-21,799,66
2020-4-22,836,37
2020-4-23,872,36
2020-4-24,892,20
2020-4-25,904,12
2020-4-26,912,8
2020-4-27,971,59
2020-4-28,1026,55
2020-4-29,1093,67
2020-4-30,1120,27
2020-5-1,1154,34
2020-5-2,1174,20
2020-5-3,1177,3
2020-5-4,1222,45
2020-5-5,1288,66
2020-5-6,1311,23
2020-5-7,1336,25
2020-5-8,1377,41
2020-5-9,1400,23
2020-5-10,1405,5
2020-5-11,1441,36
2020-5-12,1461,20
2020-5-13,1505,44
2020-5-14,1527,22
2020-5-15,1557,30
2020-5-16,1592,35
2020-5-17,1606,14
2020-5-18,1642,36
2020-5-19,1664,22
2020-5-20,1687,23
2020-5-21,1754,67
2020-5-22,1785,31
2020-5-23,1811,26
2020-5-24,1824,13
2020-5-25,1830,6
2020-5-26,1871,41
2020-5-27,1907,36
2020-5-28,1962,55
2020-5-29,1974,12
