Date,AKDATA.Hosp,AKDATA.HospCum
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,1,1
2020-3-10,1,1
2020-3-11,1,1
2020-3-12,1,1
2020-3-13,1,1
2020-3-14,1,1
2020-3-15,1,1
2020-3-16,1,1
2020-3-17,1,1
2020-3-18,1,1
2020-3-19,1,1
2020-3-20,1,1
2020-3-21,1,1
2020-3-22,1,1
2020-3-23,1,1
2020-3-24,2,2
2020-3-25,3,3
2020-3-26,4,4
2020-3-27,6,6
2020-3-28,10,10
2020-3-29,10,10
2020-3-30,10,10
2020-3-31,12,12
2020-4-1,15,15
2020-4-2,16,16
2020-4-3,17,17
2020-4-4,17,17
2020-4-5,21,21
2020-4-6,25,25
2020-4-7,26,26
2020-4-8,28,28
2020-4-9,30,30
2020-4-10,30,30
2020-4-11,32,32
2020-4-12,33,33
2020-4-13,33,33
2020-4-14,33,33
2020-4-15,33,33
2020-4-16,36,36
2020-4-17,37,37
2020-4-18,37,37
2020-4-19,37,37
2020-4-20,37,37
2020-4-21,37,37
2020-4-22,37,37
2020-4-23,37,37
2020-4-24,37,37
2020-4-25,37,37
2020-4-26,37,37
2020-4-27,37,37
2020-4-28,38,38
2020-4-29,38,38
2020-4-30,38,38
2020-5-1,39,39
2020-5-2,39,39
2020-5-3,39,39
2020-5-4,39,39
2020-5-5,40,40
2020-5-6,41,41
2020-5-7,41,41
2020-5-8,41,41
2020-5-9,41,41
2020-5-10,41,41
2020-5-11,41,41
2020-5-12,41,41
2020-5-13,41,41
2020-5-14,42,42
2020-5-15,43,43
2020-5-16,45,45
2020-5-17,46,46
2020-5-18,46,46
2020-5-19,46,46
2020-5-20,46,46
2020-5-21,47,47
2020-5-22,49,49
2020-5-23,49,49
2020-5-24,49,49
2020-5-25,49,49
2020-5-26,49,49
2020-5-27,49,49
2020-5-28,49,49
2020-5-29,50,50
2020-5-30,50,50
2020-5-31,50,50
2020-6-1,50,50
2020-6-2,51,51
2020-6-3,52,52
2020-6-4,52,52
2020-6-5,53,53
2020-6-6,53,53
2020-6-7,53,53
2020-6-8,53,53
2020-6-9,53,53
2020-6-10,53,53
