Date,ALDATA.Hosp,ALDATA.HospCum
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,212,212
2020-4-5,231,231
2020-4-6,240,240
2020-4-7,271,271
2020-4-8,314,314
2020-4-9,333,333
2020-4-10,368,368
2020-4-11,402,402
2020-4-12,437,437
2020-4-13,457,457
2020-4-14,493,493
2020-4-15,525,525
2020-4-16,553,553
2020-4-17,594,594
2020-4-18,620,620
2020-4-19,641,641
2020-4-20,641,641
2020-4-21,699,699
2020-4-22,730,730
2020-4-23,768,768
2020-4-24,768,768
2020-4-25,839,839
2020-4-26,845,845
2020-4-27,872,872
2020-4-28,911,911
2020-4-29,945,945
2020-4-30,978,978
2020-5-1,1008,1008
2020-5-2,1023,1023
2020-5-3,1035,1035
2020-5-4,1064,1064
2020-5-5,1107,1107
2020-5-6,1158,1158
2020-5-7,1178,1178
2020-5-8,1207,1207
2020-5-9,1228,1228
2020-5-10,1240,1240
2020-5-11,1256,1256
2020-5-12,1287,1287
2020-5-13,1317,1317
2020-5-14,1350,1350
2020-5-15,1377,1377
2020-5-16,1387,1387
2020-5-17,1392,1392
2020-5-18,1416,1416
2020-5-19,1453,1453
2020-5-20,1493,1493
2020-5-21,1528,1528
2020-5-22,1561,1561
2020-5-23,1589,1589
2020-5-24,1612,1612
2020-5-25,1629,1629
2020-5-26,1671,1671
2020-5-27,1719,1719
2020-5-28,1765,1765
2020-5-29,1800,1800
2020-5-30,1826,1826
2020-5-31,1844,1844
2020-6-1,1856,1856
2020-6-2,1879,1879
2020-6-3,1900,1900
2020-6-4,1929,1929
2020-6-5,1949,1949
2020-6-6,1993,1993
2020-6-7,2022,2022
2020-6-8,2054,2054
2020-6-9,2087,2087
2020-6-10,2129,2129
2020-6-11,2165,2165
2020-6-12,2202,2202
2020-6-13,2241,2241
2020-6-14,2255,2255
2020-6-15,2259,2259
2020-6-16,2315,2315
2020-6-17,2352,2352
2020-6-18,2373,2373
2020-6-19,2416,2416
2020-6-20,2443,2443
2020-6-21,2460,2460
2020-6-22,2471,2471
2020-6-23,2521,2521
2020-6-24,2567,2567
2020-6-25,2612,2612
2020-6-26,2653,2653
2020-6-27,2697,2697
2020-6-28,2703,2703
2020-6-29,2725,2725
2020-6-30,2769,2769
2020-7-1,2803,2803
2020-7-2,2835,2835
2020-7-3,2883,2883
2020-7-4,2906,2906
2020-7-5,2909,2909
2020-7-6,2914,2914
2020-7-7,2961,2961
2020-7-8,3006,3006
2020-7-9,3039,3039
2020-7-10,3089,3089
2020-7-11,6745,6745
2020-7-12,6745,6745
2020-7-13,6745,6745
2020-7-14,7123,7123
2020-7-15,7291,7291
2020-7-16,7584,7584
2020-7-17,7584,7584
2020-7-18,7782,7782
2020-7-19,7782,7782
2020-7-20,8368,8368
2020-7-21,8538,8538
2020-7-22,8538,8538
2020-7-23,8995,8995
2020-7-24,9157,9157
2020-7-25,9157,9157
2020-7-26,9157,9157
2020-7-27,9694,9694
2020-7-28,9893,9893
2020-7-29,9893,9893
2020-7-30,10070,10070
2020-7-31,10521,10521
2020-8-1,10521,10521
2020-8-2,10521,10521
2020-8-3,10865,10865
2020-8-4,11100,11100
2020-8-5,11100,11100
2020-8-6,11313,11313
2020-8-7,11537,11537
2020-8-8,11537,11537
2020-8-9,11537,11537
2020-8-10,12070,12070
2020-8-11,12070,12070
2020-8-12,12292,12292
2020-8-13,12456,12456
2020-8-14,12456,12456
2020-8-15,12607,12607
2020-8-16,12607,12607
2020-8-17,12958,12958
2020-8-18,12958,12958
2020-8-19,13080,13080
2020-8-20,13330,13330
2020-8-21,13330,13330
2020-8-22,13502,13502
2020-8-23,13502,13502
2020-8-24,13793,13793
2020-8-25,13793,13793
2020-8-26,14005,14005
2020-8-27,14005,14005
2020-8-28,14267,14267
2020-8-29,14267,14267
2020-8-30,14267,14267
2020-8-31,14267,14267
2020-9-1,14538,14538
2020-9-2,14753,14753
2020-9-3,14801,14801
2020-9-4,14801,14801
2020-9-5,14914,14914
2020-9-6,14914,14914
2020-9-7,14914,14914
2020-9-8,15137,15137
2020-9-9,15339,15339
2020-9-10,15339,15339
2020-9-11,15527,15527
2020-9-12,15527,15527
2020-9-13,15527,15527
2020-9-14,15756,15756
2020-9-15,15756,15756
2020-9-16,15942,15942
2020-9-17,16079,16079
2020-9-18,16227,16227
2020-9-19,16227,16227
2020-9-20,16227,16227
2020-9-21,16487,16487
2020-9-22,16604,16604
2020-9-23,16698,16698
2020-9-24,16778,16778
2020-9-25,16852,16852
2020-9-26,16852,16852
2020-9-27,16852,16852
2020-9-28,17091,17091
2020-9-29,17182,17182
2020-9-30,17257,17257
2020-10-1,17257,17257
2020-10-2,17420,17420
2020-10-3,17420,17420
2020-10-4,17420,17420
2020-10-5,17699,17699
2020-10-6,17699,17699
2020-10-7,17915,17915
2020-10-8,17989,17989
2020-10-9,17989,17989
2020-10-10,18179,18179
2020-10-11,18179,18179
2020-10-12,18179,18179
2020-10-13,18440,18440
2020-10-14,18635,18635
2020-10-15,18635,18635
2020-10-16,18855,18855
2020-10-17,18855,18855
2020-10-18,18855,18855
2020-10-19,19081,19081
2020-10-20,19081,19081
2020-10-21,19330,19330
2020-10-22,19448,19448
2020-10-23,19595,19595
2020-10-24,19595,19595
2020-10-25,19595,19595
2020-10-26,19974,19974
2020-10-27,19974,19974
2020-10-28,20116,20116
2020-10-29,20246,20246
2020-10-30,20450,20450
2020-10-31,20450,20450
2020-11-1,20450,20450
2020-11-2,20450,20450
2020-11-3,20901,20901
2020-11-4,21027,21027
2020-11-5,21027,21027
2020-11-6,21294,21294
2020-11-7,21294,21294
2020-11-8,21294,21294
2020-11-9,21294,21294
2020-11-10,21886,21886
2020-11-11,21886,21886
2020-11-12,22190,22190
2020-11-13,22275,22275
2020-11-14,22275,22275
2020-11-15,22275,22275
2020-11-16,22716,22716
2020-11-17,22716,22716
2020-11-18,23088,23088
2020-11-19,23295,23295
2020-11-20,23449,23449
2020-11-21,23449,23449
2020-11-22,23449,23449
2020-11-23,23942,23942
2020-11-24,24160,24160
2020-11-25,24376,24376
2020-11-26,24401,24401
2020-11-27,24451,24451
2020-11-28,24670,24670
2020-11-29,24670,24670
2020-11-30,25338,25338
2020-12-1,25610,25610
2020-12-2,25821,25821
2020-12-3,26062,26062
2020-12-4,26331,26331
2020-12-5,26331,26331
2020-12-6,26331,26331
2020-12-7,27044,27044
2020-12-8,27323,27323
2020-12-9,27618,27618
2020-12-10,27618,27618
2020-12-11,28146,28146
2020-12-12,28146,28146
2020-12-13,28146,28146
2020-12-14,28913,28913
2020-12-15,29259,29259
2020-12-16,29559,29559
2020-12-17,29559,29559
2020-12-18,30224,30224
2020-12-19,30224,30224
2020-12-20,30224,30224
2020-12-21,30994,30994
2020-12-22,31305,31305
2020-12-23,31651,31651
2020-12-24,31954,31954
2020-12-25,31954,31954
2020-12-26,32115,32115
2020-12-27,32115,32115
2020-12-28,32999,32999
2020-12-29,33452,33452
2020-12-30,33831,33831
2020-12-31,34184,34184
2021-1-1,34373,34373
2021-1-2,34373,34373
2021-1-3,34373,34373
2021-1-4,35430,35430
2021-1-5,35430,35430
2021-1-6,36059,36059
2021-1-7,36411,36411
2021-1-8,36754,36754
2021-1-9,36754,36754
2021-1-10,36754,36754
2021-1-11,37587,37587
2021-1-12,37587,37587
2021-1-13,38229,38229
2021-1-14,38450,38450
2021-1-15,38763,38763
2021-1-16,38763,38763
2021-1-17,38763,38763
2021-1-18,39504,39504
2021-1-19,39504,39504
2021-1-20,39928,39928
