Date,ARDATA.Hosp,ARDATA.HospCum
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,90,90
2020-4-2,100,100
2020-4-3,105,105
2020-4-4,106,106
2020-4-5,130,130
2020-4-6,137,137
2020-4-7,148,148
2020-4-8,130,130
2020-4-9,130,130
2020-4-10,130,130
2020-4-11,130,130
2020-4-12,130,130
2020-4-13,130,130
2020-4-14,130,130
2020-4-15,130,130
2020-4-16,130,130
2020-4-17,130,130
2020-4-18,291,291
2020-4-19,291,291
2020-4-20,291,291
2020-4-21,291,291
2020-4-22,291,291
2020-4-23,291,291
2020-4-24,291,291
2020-4-25,291,291
2020-4-26,291,291
2020-4-27,291,291
2020-4-28,291,291
2020-4-29,389,389
2020-4-30,402,402
2020-5-1,414,414
2020-5-2,414,414
2020-5-3,427,427
2020-5-4,438,438
2020-5-5,453,453
2020-5-6,453,453
2020-5-7,462,462
2020-5-8,466,466
2020-5-9,471,471
2020-5-10,471,471
2020-5-11,480,480
2020-5-12,485,485
2020-5-13,497,497
2020-5-14,509,509
2020-5-15,520,520
2020-5-16,520,520
2020-5-17,520,520
2020-5-18,530,530
2020-5-19,535,535
2020-5-20,535,535
2020-5-21,535,535
2020-5-22,584,584
2020-5-23,590,590
2020-5-24,598,598
2020-5-25,605,605
2020-5-26,617,617
2020-5-27,627,627
2020-5-28,640,640
2020-5-29,667,667
2020-5-30,702,702
2020-5-31,711,711
2020-6-1,711,711
2020-6-2,718,718
2020-6-3,731,731
2020-6-4,757,757
2020-6-5,792,792
2020-6-6,838,838
2020-6-7,844,844
2020-6-8,844,844
2020-6-9,865,865
2020-6-10,901,901
