Date,AZDATA.Hosp,AZDATA.HospCum
2020-3-4,4,4
2020-3-5,5,5
2020-3-6,6,6
2020-3-7,6,6
2020-3-8,6,6
2020-3-9,8,8
2020-3-10,8,8
2020-3-11,11,11
2020-3-12,16,16
2020-3-13,22,22
2020-3-14,26,26
2020-3-15,36,36
2020-3-16,42,42
2020-3-17,55,55
2020-3-18,67,67
2020-3-19,85,85
2020-3-20,108,108
2020-3-21,128,128
2020-3-22,145,145
2020-3-23,189,189
2020-3-24,219,219
2020-3-25,264,264
2020-3-26,303,303
2020-3-27,343,343
2020-3-28,386,386
2020-3-29,427,427
2020-3-30,478,478
2020-3-31,534,534
2020-4-1,582,582
2020-4-2,616,616
2020-4-3,667,667
2020-4-4,711,711
2020-4-5,760,760
2020-4-6,819,819
2020-4-7,853,853
2020-4-8,906,906
2020-4-9,950,950
2020-4-10,995,995
2020-4-11,1037,1037
2020-4-12,1074,1074
2020-4-13,1122,1122
2020-4-14,1171,1171
2020-4-15,1213,1213
2020-4-16,1258,1258
2020-4-17,1289,1289
2020-4-18,1341,1341
2020-4-19,1387,1387
2020-4-20,1454,1454
2020-4-21,1484,1484
2020-4-22,1528,1528
2020-4-23,1572,1572
2020-4-24,1626,1626
2020-4-25,1672,1672
2020-4-26,1716,1716
2020-4-27,1772,1772
2020-4-28,1824,1824
2020-4-29,1884,1884
2020-4-30,1937,1937
2020-5-1,1986,1986
2020-5-2,2033,2033
2020-5-3,2089,2089
2020-5-4,2135,2135
2020-5-5,2192,2192
2020-5-6,2244,2244
2020-5-7,2292,2292
2020-5-8,2350,2350
2020-5-9,2386,2386
2020-5-10,2421,2421
2020-5-11,2462,2462
2020-5-12,2504,2504
2020-5-13,2543,2543
2020-5-14,2595,2595
2020-5-15,2636,2636
2020-5-16,2673,2673
2020-5-17,2703,2703
2020-5-18,2757,2757
2020-5-19,2800,2800
2020-5-20,2836,2836
2020-5-21,2885,2885
2020-5-22,2943,2943
2020-5-23,2984,2984
2020-5-24,3026,3026
2020-5-25,3077,3077
2020-5-26,3122,3122
2020-5-27,3172,3172
2020-5-28,3223,3223
2020-5-29,3281,3281
2020-5-30,3334,3334
2020-5-31,3379,3379
2020-6-1,3445,3445
2020-6-2,3520,3520
2020-6-3,3589,3589
2020-6-4,3642,3642
2020-6-5,3712,3712
2020-6-6,3777,3777
2020-6-7,3847,3847
2020-6-8,3911,3911
2020-6-9,3959,3959
2020-6-10,4000,4000
2020-6-11,4041,4041
2020-6-12,4079,4079
2020-6-13,4115,4115
2020-6-14,4148,4148
2020-6-15,4182,4182
2020-6-16,4209,4209
2020-6-17,4224,4224
2020-6-18,4241,4241
2020-6-19,4246,4246
2020-6-20,4252,4252
2020-6-21,4255,4255
2020-6-22,4255,4255
2020-6-23,4255,4255
2020-6-24,4313,4313
2020-6-25,4406,4406
2020-6-26,4514,4514
2020-6-27,4595,4595
2020-6-28,4617,4617
2020-6-29,4634,4634
2020-6-30,4736,4736
2020-7-1,4837,4837
2020-7-2,4916,4916
2020-7-3,5018,5018
2020-7-4,5068,5068
2020-7-5,5161,5161
2020-7-6,5188,5188
2020-7-7,5272,5272
2020-7-8,5387,5387
2020-7-9,5526,5526
2020-7-10,5659,5659
2020-7-11,5750,5750
2020-7-12,5795,5795
2020-7-13,5839,5839
2020-7-14,5942,5942
2020-7-15,6103,6103
2020-7-16,6296,6296
2020-7-17,6402,6402
2020-7-18,6567,6567
2020-7-19,6632,6632
2020-7-20,6698,6698
2020-7-21,6894,6894
2020-7-22,7047,7047
2020-7-23,7236,7236
2020-7-24,7461,7461
2020-7-25,7627,7627
2020-7-26,7706,7706
2020-7-27,7751,7751
2020-7-28,9394,9394
2020-7-29,10060,10060
2020-7-30,11172,11172
2020-7-31,11260,11260
2020-8-1,11346,11346
2020-8-2,11371,11371
2020-8-3,11400,11400
2020-8-4,13294,13294
2020-8-5,13559,13559
2020-8-6,14068,14068
2020-8-7,19241,19241
2020-8-8,19244,19244
2020-8-9,19268,19268
2020-8-10,19277,19277
2020-8-11,19292,19292
2020-8-12,19821,19821
2020-8-13,20503,20503
2020-8-14,20515,20515
2020-8-15,20795,20795
2020-8-16,20755,20755
2020-8-17,20756,20756
2020-8-18,20878,20878
2020-8-19,21020,21020
2020-8-20,21143,21143
2020-8-21,21210,21210
2020-8-22,21271,21271
2020-8-23,21241,21241
2020-8-24,21219,21219
2020-8-25,21365,21365
2020-8-26,21376,21376
2020-8-27,21426,21426
2020-8-28,21428,21428
2020-8-29,21433,21433
2020-8-30,21421,21421
2020-8-31,21405,21405
2020-9-1,21405,21405
2020-9-2,21449,21449
2020-9-3,21474,21474
2020-9-4,21498,21498
2020-9-5,21520,21520
2020-9-6,21527,21527
2020-9-7,21525,21525
2020-9-8,21522,21522
2020-9-9,21593,21593
2020-9-10,21611,21611
2020-9-11,21747,21747
2020-9-12,21773,21773
2020-9-13,21773,21773
2020-9-14,21774,21774
2020-9-15,21800,21800
2020-9-16,21825,21825
2020-9-17,21821,21821
2020-9-18,21865,21865
2020-9-19,21882,21882
2020-9-20,21876,21876
2020-9-21,21878,21878
2020-9-22,21900,21900
2020-9-23,21925,21925
2020-9-24,21942,21942
2020-9-25,21972,21972
2020-9-26,22005,22005
2020-9-27,22015,22015
2020-9-28,22019,22019
2020-9-29,22047,22047
2020-9-30,22119,22119
2020-10-1,22226,22226
2020-10-2,22240,22240
2020-10-3,22280,22280
2020-10-4,22294,22294
2020-10-5,22303,22303
2020-10-6,19987,19987
2020-10-7,20050,20050
2020-10-8,20171,20171
2020-10-9,20199,20199
2020-10-10,20229,20229
2020-10-11,20253,20253
2020-10-12,20257,20257
2020-10-13,20312,20312
2020-10-14,20366,20366
2020-10-15,20462,20462
2020-10-16,20491,20491
2020-10-17,20618,20618
2020-10-18,20640,20640
2020-10-19,20648,20648
2020-10-20,20719,20719
2020-10-21,20820,20820
2020-10-22,20938,20938
2020-10-23,20967,20967
2020-10-24,21043,21043
2020-10-25,21086,21086
2020-10-26,21097,21097
2020-10-27,21172,21172
2020-10-28,21247,21247
2020-10-29,21260,21260
2020-10-30,21424,21424
2020-10-31,21492,21492
2020-11-1,21558,21558
2020-11-2,21573,21573
2020-11-3,21626,21626
2020-11-4,21786,21786
2020-11-5,21831,21831
2020-11-6,22018,22018
2020-11-7,22170,22170
2020-11-8,22202,22202
2020-11-9,22211,22211
2020-11-10,22428,22428
2020-11-11,22494,22494
2020-11-12,22576,22576
2020-11-13,22820,22820
2020-11-14,22937,22937
2020-11-15,23049,23049
2020-11-16,23122,23122
2020-11-17,23243,23243
2020-11-18,23473,23473
2020-11-19,23871,23871
2020-11-20,24052,24052
2020-11-21,24181,24181
2020-11-22,24412,24412
2020-11-23,24461,24461
2020-11-24,24666,24666
2020-11-25,24952,24952
2020-11-26,25163,25163
2020-11-27,25296,25296
2020-11-28,25348,25348
2020-11-29,25568,25568
2020-11-30,25786,25786
2020-12-1,26072,26072
2020-12-2,26312,26312
2020-12-3,27456,27456
2020-12-4,27738,27738
2020-12-5,28006,28006
2020-12-6,28248,28248
2020-12-7,28273,28273
2020-12-8,28525,28525
2020-12-9,28880,28880
2020-12-10,29335,29335
2020-12-11,30302,30302
2020-12-12,30687,30687
2020-12-13,30949,30949
2020-12-14,31142,31142
2020-12-15,31266,31266
2020-12-16,31468,31468
2020-12-17,31851,31851
2020-12-18,32293,32293
2020-12-19,32676,32676
2020-12-20,33037,33037
2020-12-21,33195,33195
2020-12-22,33619,33619
2020-12-23,34112,34112
2020-12-24,34520,34520
2020-12-25,34977,34977
2020-12-26,35337,35337
2020-12-27,35390,35390
2020-12-28,35630,35630
2020-12-29,36075,36075
2020-12-30,36784,36784
2020-12-31,37257,37257
2021-1-1,38846,38846
2021-1-2,39439,39439
2021-1-3,39728,39728
2021-1-4,39897,39897
2021-1-5,40303,40303
2021-1-6,41063,41063
2021-1-7,42112,42112
2021-1-8,42718,42718
2021-1-9,43095,43095
2021-1-10,43582,43582
2021-1-11,43636,43636
2021-1-12,44389,44389
2021-1-13,44863,44863
2021-1-14,45260,45260
2021-1-15,45665,45665
2021-1-16,46648,46648
2021-1-17,47081,47081
2021-1-18,47195,47195
2021-1-19,47721,47721
2021-1-20,48207,48207
2021-1-21,48604,48604
2021-1-22,49602,49602
2021-1-23,49963,49963
2021-1-24,50264,50264
2021-1-25,50483,50483
2021-1-26,50657,50657
2021-1-27,51037,51037
2021-1-28,51349,51349
2021-1-29,51571,51571
2021-1-30,52006,52006
2021-1-31,52764,52764
2021-2-1,52986,52986
2021-2-2,53149,53149
2021-2-3,53432,53432
2021-2-4,54091,54091
2021-2-5,54309,54309
2021-2-6,54507,54507
2021-2-7,54657,54657
2021-2-8,54713,54713
2021-2-9,54967,54967
2021-2-10,55088,55088
2021-2-11,55272,55272
2021-2-12,55413,55413
2021-2-13,55559,55559
2021-2-14,55667,55667
2021-2-15,55777,55777
2021-2-16,55865,55865
2021-2-17,55983,55983
2021-2-18,56090,56090
2021-2-19,56732,56732
2021-2-20,56872,56872
2021-2-21,56946,56946
2021-2-22,56994,56994
2021-2-23,57072,57072
2021-2-24,57156,57156
2021-2-25,57390,57390
2021-2-26,57460,57460
2021-2-27,57508,57508
2021-2-28,57599,57599
2021-3-1,57589,57589
2021-3-2,57591,57591
2021-3-3,57697,57697
2021-3-4,57747,57747
2021-3-5,57819,57819
2021-3-6,57863,57863
2021-3-7,57907,57907
