Date,CODATA.Hosp,CODATA.HospCum
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,20,20
2020-3-18,26,26
2020-3-19,42,42
2020-3-20,44,44
2020-3-21,49,49
2020-3-22,58,58
2020-3-23,72,72
2020-3-24,84,84
2020-3-25,148,148
2020-3-26,184,184
2020-3-27,239,239
2020-3-28,274,274
2020-3-29,326,326
2020-3-30,414,414
2020-3-31,509,509
2020-4-1,620,620
2020-4-2,710,710
2020-4-3,823,823
2020-4-4,875,875
2020-4-5,924,924
2020-4-6,994,994
2020-4-7,1079,1079
2020-4-8,1162,1162
2020-4-9,1221,1221
2020-4-10,1312,1312
2020-4-11,1376,1376
2020-4-12,1417,1417
2020-4-13,1493,1493
2020-4-14,1556,1556
2020-4-15,1636,1636
2020-4-16,1693,1693
2020-4-17,1755,1755
2020-4-18,1797,1797
2020-4-19,1813,1813
2020-4-20,1880,1880
2020-4-21,2003,2003
2020-4-22,2123,2123
2020-4-23,2237,2237
2020-4-24,2366,2366
2020-4-25,2410,2410
2020-4-26,2438,2438
2020-4-27,2485,2485
2020-4-28,2571,2571
2020-4-29,2621,2621
2020-4-30,2697,2697
2020-5-1,2747,2747
2020-5-2,2793,2793
2020-5-3,2799,2799
2020-5-4,2838,2838
2020-5-5,2919,2919
2020-5-6,2986,2986
2020-5-7,3557,3557
2020-5-8,3600,3600
2020-5-9,3623,3623
2020-5-10,3631,3631
2020-5-11,3663,3663
2020-5-12,3695,3695
2020-5-13,3735,3735
2020-5-14,3789,3789
2020-5-15,3842,3842
2020-5-16,3866,3866
2020-5-17,3872,3872
2020-5-18,3899,3899
2020-5-19,3955,3955
2020-5-20,3990,3990
2020-5-21,4037,4037
2020-5-22,4082,4082
2020-5-23,4105,4105
