Date,CTDATA.Hosp,CTDATA.HospCum
2020-2-29,0,0
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,0,0
2020-4-10,0,0
2020-4-11,0,0
2020-4-12,0,0
2020-4-13,0,0
2020-4-14,0,0
2020-4-15,0,0
2020-4-16,0,0
2020-4-17,0,0
2020-4-18,0,0
2020-4-19,0,0
2020-4-20,0,0
2020-4-21,0,0
2020-4-22,0,0
2020-4-23,0,0
2020-4-24,0,0
2020-4-25,0,0
2020-4-26,0,0
2020-4-27,0,0
2020-4-28,0,0
2020-4-29,0,0
2020-4-30,0,0
2020-5-1,7758,7758
2020-5-2,7758,7758
2020-5-3,7758,7758
2020-5-4,7758,7758
2020-5-5,7758,7758
2020-5-6,7758,7758
2020-5-7,9389,9389
2020-5-8,9389,9389
2020-5-9,9389,9389
2020-5-10,9389,9389
2020-5-11,9389,9389
2020-5-12,9389,9389
2020-5-13,9389,9389
2020-5-14,10946,10946
2020-5-15,10946,10946
2020-5-16,10946,10946
2020-5-17,10946,10946
2020-5-18,10946,10946
2020-5-19,10946,10946
2020-5-20,10946,10946
2020-5-21,10946,10946
2020-5-22,12538,12538
2020-5-23,12538,12538
2020-5-24,12538,12538
2020-5-25,12538,12538
2020-5-26,12538,12538
2020-5-27,12538,12538
2020-5-28,12538,12538
2020-5-29,12538,12538
2020-5-30,12538,12538
2020-5-31,12538,12538
2020-6-1,13793,13793
2020-6-2,13793,13793
2020-6-3,13793,13793
2020-6-4,9669,9669
2020-6-5,9669,9669
2020-6-6,9669,9669
2020-6-7,9669,9669
2020-6-8,9669,9669
2020-6-9,9669,9669
2020-6-10,9669,9669
2020-6-11,9912,9912
2020-6-12,9912,9912
2020-6-13,9912,9912
2020-6-14,9912,9912
2020-6-15,9912,9912
2020-6-16,9912,9912
2020-6-17,9912,9912
2020-6-18,10099,10099
2020-6-19,10099,10099
2020-6-20,10099,10099
2020-6-21,10099,10099
2020-6-22,10099,10099
2020-6-23,10099,10099
2020-6-24,10099,10099
2020-6-25,10268,10268
2020-6-26,10268,10268
2020-6-27,10268,10268
2020-6-28,10268,10268
2020-6-29,10268,10268
2020-6-30,10268,10268
2020-7-1,10268,10268
2020-7-2,10411,10411
2020-7-3,10411,10411
