Date,FLDATA.Hosp,FLDATA.HospCum
2020-1-29,0,0
2020-1-30,0,0
2020-1-31,0,0
2020-2-1,0,0
2020-2-2,0,0
2020-2-3,0,0
2020-2-4,0,0
2020-2-5,0,0
2020-2-6,0,0
2020-2-7,0,0
2020-2-8,0,0
2020-2-9,0,0
2020-2-10,0,0
2020-2-11,0,0
2020-2-12,0,0
2020-2-13,0,0
2020-2-14,0,0
2020-2-15,0,0
2020-2-16,0,0
2020-2-17,0,0
2020-2-18,0,0
2020-2-19,0,0
2020-2-20,0,0
2020-2-21,0,0
2020-2-22,0,0
2020-2-23,0,0
2020-2-24,0,0
2020-2-25,0,0
2020-2-26,0,0
2020-2-27,0,0
2020-2-28,0,0
2020-2-29,0,0
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,158,158
2020-3-22,185,185
2020-3-23,217,217
2020-3-24,259,259
2020-3-25,316,316
2020-3-26,406,406
2020-3-27,456,456
2020-3-28,526,526
2020-3-29,594,594
2020-3-30,652,652
2020-3-31,823,823
2020-4-1,949,949
2020-4-2,1123,1123
2020-4-3,1287,1287
2020-4-4,1462,1462
2020-4-5,1572,1572
2020-4-6,1682,1682
2020-4-7,1999,1999
2020-4-8,2062,2062
2020-4-9,2268,2268
2020-4-10,2487,2487
2020-4-11,2661,2661
2020-4-12,2772,2772
2020-4-13,2833,2833
2020-4-14,3060,3060
2020-4-15,3344,3344
2020-4-16,3460,3460
2020-4-17,3665,3665
2020-4-18,3842,3842
2020-4-19,3930,3930
2020-4-20,4010,4010
2020-4-21,4235,4235
2020-4-22,4469,4469
2020-4-23,4693,4693
2020-4-24,4888,4888
2020-4-25,5045,5045
2020-4-26,5155,5155
2020-4-27,5211,5211
2020-4-28,5266,5266
2020-4-29,5624,5624
2020-4-30,5795,5795
2020-5-1,5795,5795
2020-5-2,5945,5945
2020-5-3,6244,6244
2020-5-4,6329,6329
2020-5-5,6546,6546
2020-5-6,6776,6776
2020-5-7,6990,6990
2020-5-8,7157,7157
2020-5-9,7325,7325
2020-5-10,7404,7404
2020-5-11,7458,7458
2020-5-12,7654,7654
2020-5-13,7835,7835
2020-5-14,7993,7993
2020-5-15,7993,7993
2020-5-16,8393,8393
2020-5-17,8478,8478
2020-5-18,8553,8553
2020-5-19,8744,8744
2020-5-20,8934,8934
2020-5-21,9200,9200
2020-5-22,9372,9372
2020-5-23,9567,9567
2020-5-24,9638,9638
2020-5-25,9681,9681
2020-5-26,9740,9740
2020-5-27,9899,9899
2020-5-28,10056,10056
2020-5-29,10243,10243
2020-5-30,10375,10375
2020-5-31,10453,10453
2020-6-1,10494,10494
2020-6-2,10678,10678
2020-6-3,10796,10796
2020-6-4,10923,10923
2020-6-5,11066,11066
2020-6-6,11163,11163
2020-6-7,11215,11215
2020-6-8,11282,11282
2020-6-9,11460,11460
