Date,GADATA.Hosp,GADATA.HospCum
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,394,394
2020-3-26,473,473
2020-3-27,566,566
2020-3-28,617,617
2020-3-29,666,666
2020-3-30,707,707
2020-3-31,833,833
2020-4-1,952,952
2020-4-2,1056,1056
2020-4-3,1158,1158
2020-4-4,1239,1239
2020-4-5,1283,1283
2020-4-6,1332,1332
2020-4-7,1774,1774
2020-4-8,1993,1993
2020-4-9,2159,2159
2020-4-10,2351,2351
2020-4-11,2479,2479
2020-4-12,2505,2505
2020-4-13,2589,2589
2020-4-14,2769,2769
2020-4-15,2922,2922
2020-4-16,3108,3108
2020-4-17,3324,3324
2020-4-18,3420,3420
2020-4-19,3464,3464
2020-4-20,3550,3550
2020-4-21,3779,3779
2020-4-22,3959,3959
2020-4-23,4069,4069
2020-4-24,4221,4221
2020-4-25,4326,4326
2020-4-26,4359,4359
2020-4-27,4681,4681
2020-4-28,4814,4814
2020-4-29,5056,5056
2020-4-30,5156,5156
2020-5-1,5269,5269
2020-5-2,5387,5387
2020-5-3,5393,5393
2020-5-4,5526,5526
2020-5-5,5634,5634
2020-5-6,5765,5765
2020-5-7,5835,5835
2020-5-8,5935,5935
2020-5-9,5987,5987
2020-5-10,5997,5997
2020-5-11,6015,6015
2020-5-12,6130,6130
2020-5-13,6259,6259
2020-5-14,6345,6345
2020-5-15,6438,6438
2020-5-16,6735,6735
2020-5-17,6790,6790
2020-5-18,6916,6916
2020-5-19,7027,7027
2020-5-20,7107,7107
2020-5-21,7235,7235
2020-5-22,7313,7313
2020-5-23,7411,7411
