Date,HIDATA.Hosp,HIDATA.HospCum
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,4,4
2020-3-25,6,6
2020-3-26,5,5
2020-3-27,7,7
2020-3-28,8,8
2020-3-29,12,12
2020-3-30,12,12
2020-3-31,12,12
2020-4-1,13,13
2020-4-2,15,15
2020-4-3,15,15
2020-4-4,18,18
2020-4-5,19,19
2020-4-6,21,21
2020-4-7,26,26
2020-4-8,42,42
2020-4-9,42,42
2020-4-10,42,42
2020-4-11,43,43
2020-4-12,44,44
2020-4-13,44,44
2020-4-14,44,44
2020-4-15,45,45
2020-4-16,45,45
2020-4-17,45,45
2020-4-18,48,48
2020-4-19,51,51
2020-4-20,52,52
2020-4-21,55,55
2020-4-22,56,56
2020-4-23,63,63
2020-4-24,63,63
2020-4-25,67,67
2020-4-26,68,68
2020-4-27,68,68
2020-4-28,68,68
2020-4-29,69,69
2020-4-30,69,69
2020-5-1,70,70
2020-5-2,72,72
2020-5-3,72,72
2020-5-4,73,73
2020-5-5,73,73
2020-5-6,73,73
2020-5-7,74,74
2020-5-8,74,74
2020-5-9,81,81
2020-5-10,81,81
2020-5-11,81,81
2020-5-12,81,81
2020-5-13,81,81
2020-5-14,81,81
2020-5-15,81,81
2020-5-16,81,81
2020-5-17,82,82
2020-5-18,82,82
2020-5-19,82,82
2020-5-20,82,82
2020-5-21,82,82
2020-5-22,83,83
2020-5-23,84,84
2020-5-24,84,84
2020-5-25,84,84
2020-5-26,84,84
2020-5-27,83,83
2020-5-28,83,83
2020-5-29,83,83
2020-5-30,83,83
2020-5-31,83,83
2020-6-1,83,83
