Date,IDDATA.Hosp,IDDATA.HospCum
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,25,25
2020-3-29,36,36
2020-3-30,39,39
2020-3-31,45,45
2020-4-1,46,46
2020-4-2,49,49
2020-4-3,56,56
2020-4-4,62,62
2020-4-5,66,66
2020-4-6,77,77
2020-4-7,83,83
2020-4-8,93,93
2020-4-9,113,113
2020-4-10,127,127
2020-4-11,128,128
2020-4-12,131,131
2020-4-13,132,132
2020-4-14,135,135
2020-4-15,141,141
2020-4-16,143,143
2020-4-17,148,148
2020-4-18,151,151
2020-4-19,151,151
2020-4-20,151,151
2020-4-21,157,157
2020-4-22,158,158
2020-4-23,162,162
2020-4-24,166,166
2020-4-25,168,168
2020-4-26,169,169
2020-4-27,169,169
2020-4-28,172,172
2020-4-29,173,173
2020-4-30,175,175
2020-5-1,178,178
2020-5-2,178,178
2020-5-3,200,200
2020-5-4,200,200
2020-5-5,201,201
2020-5-6,203,203
2020-5-7,205,205
2020-5-8,206,206
2020-5-9,206,206
2020-5-10,207,207
2020-5-11,207,207
2020-5-12,210,210
2020-5-13,214,214
2020-5-14,212,212
2020-5-15,212,212
2020-5-16,213,213
2020-5-17,213,213
2020-5-18,213,213
2020-5-19,213,213
2020-5-20,215,215
2020-5-21,221,221
2020-5-22,223,223
2020-5-23,225,225
2020-5-24,225,225
2020-5-25,225,225
2020-5-26,225,225
2020-5-27,231,231
2020-5-28,234,234
2020-5-29,238,238
2020-5-30,240,240
2020-5-31,242,242
2020-6-1,242,242
2020-6-2,247,247
2020-6-3,251,251
2020-6-4,253,253
2020-6-5,255,255
2020-6-6,257,257
2020-6-7,260,260
2020-6-8,260,260
2020-6-9,260,260
2020-6-10,262,262
2020-6-11,262,262
2020-6-12,265,265
2020-6-13,265,265
2020-6-14,266,266
2020-6-15,266,266
2020-6-16,270,270
2020-6-17,275,275
2020-6-18,275,275
2020-6-19,278,278
2020-6-20,279,279
2020-6-21,283,283
2020-6-22,283,283
2020-6-23,293,293
2020-6-24,298,298
2020-6-25,300,300
2020-6-26,303,303
2020-6-27,309,309
2020-6-28,312,312
2020-6-29,312,312
2020-6-30,322,322
2020-7-1,330,330
2020-7-2,340,340
2020-7-3,350,350
2020-7-4,355,355
2020-7-5,359,359
2020-7-6,369,369
2020-7-7,387,387
2020-7-8,396,396
2020-7-9,411,411
2020-7-10,432,432
2020-7-11,449,449
2020-7-12,468,468
2020-7-13,477,477
2020-7-14,500,500
2020-7-15,510,510
2020-7-16,526,526
2020-7-17,554,554
2020-7-18,570,570
2020-7-19,583,583
2020-7-20,600,600
2020-7-21,621,621
2020-7-22,656,656
2020-7-23,674,674
2020-7-24,697,697
2020-7-25,709,709
2020-7-26,723,723
2020-7-27,741,741
2020-7-28,750,750
2020-7-29,783,783
2020-7-30,808,808
2020-7-31,835,835
2020-8-1,850,850
2020-8-2,856,856
2020-8-3,874,874
2020-8-4,886,886
2020-8-5,906,906
2020-8-6,931,931
2020-8-7,954,954
2020-8-8,968,968
2020-8-9,988,988
2020-8-10,999,999
2020-8-11,1006,1006
2020-8-12,1037,1037
2020-8-13,1051,1051
2020-8-14,1068,1068
2020-8-15,1091,1091
2020-8-16,1103,1103
2020-8-17,1110,1110
2020-8-18,1129,1129
2020-8-19,1170,1170
2020-8-20,1200,1200
2020-8-21,1226,1226
2020-8-22,1233,1233
2020-8-23,1246,1246
2020-8-24,1256,1256
2020-8-25,1269,1269
2020-8-26,1285,1285
2020-8-27,1304,1304
2020-8-28,1328,1328
2020-8-29,1349,1349
2020-8-30,1365,1365
2020-8-31,1369,1369
2020-9-1,1394,1394
2020-9-2,1394,1394
2020-9-3,1435,1435
2020-9-4,1442,1442
2020-9-5,1461,1461
2020-9-6,1466,1466
2020-9-7,1466,1466
2020-9-8,1468,1468
2020-9-9,1502,1502
2020-9-10,1536,1536
2020-9-11,1551,1551
2020-9-12,1569,1569
2020-9-13,1596,1596
2020-9-14,1604,1604
2020-9-15,1612,1612
2020-9-16,1631,1631
2020-9-17,1658,1658
2020-9-18,1682,1682
2020-9-19,1701,1701
2020-9-20,1711,1711
2020-9-21,1718,1718
2020-9-22,1726,1726
2020-9-23,1740,1740
2020-9-24,1754,1754
2020-9-25,1766,1766
2020-9-26,1795,1795
2020-9-27,1811,1811
2020-9-28,1814,1814
2020-9-29,1832,1832
2020-9-30,1847,1847
2020-10-1,1859,1859
2020-10-2,1873,1873
2020-10-3,1893,1893
2020-10-4,1900,1900
2020-10-5,1903,1903
2020-10-6,1911,1911
2020-10-7,1932,1932
2020-10-8,1972,1972
2020-10-9,1997,1997
2020-10-10,2013,2013
2020-10-11,2031,2031
2020-10-12,2041,2041
2020-10-13,2058,2058
2020-10-14,2086,2086
2020-10-15,2122,2122
2020-10-16,2137,2137
2020-10-17,2174,2174
2020-10-18,2193,2193
2020-10-19,2206,2206
2020-10-20,2231,2231
2020-10-21,2277,2277
2020-10-22,2327,2327
2020-10-23,2363,2363
2020-10-24,2387,2387
2020-10-25,2409,2409
2020-10-26,2431,2431
2020-10-27,2447,2447
2020-10-28,2483,2483
2020-10-29,2514,2514
2020-10-30,2549,2549
2020-10-31,2572,2572
2020-11-1,2594,2594
2020-11-2,2615,2615
2020-11-3,2643,2643
2020-11-4,2691,2691
2020-11-5,2730,2730
2020-11-6,2788,2788
2020-11-7,2825,2825
2020-11-8,2870,2870
2020-11-9,2889,2889
2020-11-10,2926,2926
2020-11-11,2962,2962
2020-11-12,3002,3002
2020-11-13,3061,3061
2020-11-14,3102,3102
2020-11-15,3148,3148
2020-11-16,3168,3168
2020-11-17,3202,3202
2020-11-18,3254,3254
2020-11-19,3312,3312
2020-11-20,3403,3403
2020-11-21,3492,3492
2020-11-22,3585,3585
2020-11-23,3610,3610
2020-11-24,3682,3682
2020-11-25,3762,3762
2020-11-26,3817,3817
2020-11-27,3817,3817
2020-11-28,3878,3878
2020-11-29,3948,3948
2020-11-30,3978,3978
2020-12-1,4049,4049
2020-12-2,4135,4135
2020-12-3,4200,4200
2020-12-4,4271,4271
2020-12-5,4342,4342
2020-12-6,4372,4372
2020-12-7,4388,4388
2020-12-8,4448,4448
2020-12-9,4539,4539
2020-12-10,4605,4605
2020-12-11,4671,4671
2020-12-12,4719,4719
2020-12-13,4746,4746
2020-12-14,4763,4763
2020-12-15,4827,4827
2020-12-16,4908,4908
2020-12-17,4965,4965
2020-12-18,5021,5021
2020-12-19,5086,5086
2020-12-20,5121,5121
2020-12-21,5155,5155
2020-12-22,5208,5208
2020-12-23,5267,5267
2020-12-24,5316,5316
2020-12-25,5357,5357
2020-12-26,5357,5357
2020-12-27,5392,5392
2020-12-28,5425,5425
2020-12-29,5476,5476
2020-12-30,5519,5519
2020-12-31,5567,5567
2021-1-1,5630,5630
2021-1-2,5630,5630
2021-1-3,5687,5687
2021-1-4,5706,5706
2021-1-5,5745,5745
2021-1-6,5824,5824
2021-1-7,5871,5871
2021-1-8,5938,5938
2021-1-9,5995,5995
2021-1-10,6015,6015
2021-1-11,6037,6037
2021-1-12,6079,6079
2021-1-13,6128,6128
2021-1-14,6178,6178
2021-1-15,6225,6225
2021-1-16,6269,6269
2021-1-17,6295,6295
2021-1-18,6307,6307
2021-1-19,6307,6307
2021-1-20,6370,6370
2021-1-21,6406,6406
2021-1-22,6440,6440
2021-1-23,6464,6464
2021-1-24,6481,6481
2021-1-25,6496,6496
2021-1-26,6525,6525
2021-1-27,6560,6560
2021-1-28,6604,6604
2021-1-29,6629,6629
2021-1-30,6659,6659
2021-1-31,6674,6674
2021-2-1,6674,6674
2021-2-2,6702,6702
2021-2-3,6732,6732
2021-2-4,6749,6749
2021-2-5,6771,6771
