Date,INDATA.Hosp,INDATA.HospCum
2020-2-27,0,0
2020-2-28,0,0
2020-2-29,0,0
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,0,0
2020-4-10,0,0
2020-4-11,0,0
2020-4-12,0,0
2020-4-13,0,0
2020-4-14,0,0
2020-4-15,0,0
2020-4-16,0,0
2020-4-17,0,0
2020-4-18,0,0
2020-4-19,0,0
2020-4-20,0,0
2020-4-21,0,0
2020-4-22,0,0
2020-4-23,0,0
2020-4-24,0,0
2020-4-25,0,0
2020-4-26,0,0
2020-4-27,0,0
2020-4-28,0,0
2020-4-29,0,0
2020-4-30,0,0
2020-5-1,0,0
2020-5-2,0,0
2020-5-3,0,0
2020-5-4,0,0
2020-5-5,0,0
2020-5-6,0,0
2020-5-7,0,0
2020-5-8,4389,4389
2020-5-9,4389,4389
2020-5-10,4389,4389
2020-5-11,4389,4389
2020-5-12,4389,4389
2020-5-13,4389,4389
2020-5-14,4389,4389
2020-5-15,4389,4389
2020-5-16,4389,4389
2020-5-17,4389,4389
2020-5-18,4389,4389
2020-5-19,4389,4389
2020-5-20,4389,4389
2020-5-21,4389,4389
2020-5-22,5285,5285
2020-5-23,5285,5285
2020-5-24,5285,5285
2020-5-25,5285,5285
2020-5-26,5285,5285
2020-5-27,5285,5285
2020-5-28,5285,5285
2020-5-29,5285,5285
2020-5-30,5285,5285
2020-5-31,5285,5285
2020-6-1,5860,5860
2020-6-2,5902,5902
2020-6-3,5952,5952
2020-6-4,5999,5999
2020-6-5,6053,6053
2020-6-6,6091,6091
2020-6-7,6136,6136
2020-6-8,6179,6179
2020-6-9,6225,6225
2020-6-10,6261,6261
2020-6-11,6314,6314
2020-6-12,6349,6349
2020-6-13,6349,6349
2020-6-14,6419,6419
2020-6-15,6451,6451
2020-6-16,6481,6481
2020-6-17,6526,6526
2020-6-18,6589,6589
2020-6-19,6731,6731
2020-6-20,6755,6755
2020-6-21,6788,6788
2020-6-22,6819,6819
2020-6-23,6853,6853
2020-6-24,6883,6883
2020-6-25,6912,6912
2020-6-26,6944,6944
2020-6-27,6982,6982
2020-6-28,7003,7003
2020-6-29,7024,7024
2020-6-30,7065,7065
2020-7-1,7095,7095
2020-7-2,7139,7139
2020-7-3,7175,7175
2020-7-4,7216,7216
2020-7-5,7254,7254
2020-7-6,7285,7285
2020-7-7,7333,7333
2020-7-8,7365,7365
2020-7-9,7386,7386
2020-7-10,7458,7458
2020-7-11,7458,7458
2020-7-12,7527,7527
2020-7-13,7574,7574
2020-7-14,7633,7633
2020-7-15,7686,7686
2020-7-16,7747,7747
2020-7-17,7814,7814
2020-7-18,7861,7861
2020-7-19,7895,7895
2020-7-20,7941,7941
2020-7-21,7941,7941
2020-7-22,8020,8020
2020-7-23,8066,8066
2020-7-24,8128,8128
2020-7-25,8180,8180
2020-7-26,8401,8401
2020-7-27,8444,8444
2020-7-28,8505,8505
2020-7-29,8587,8587
2020-7-30,8667,8667
2020-7-31,8727,8727
2020-8-1,8781,8781
2020-8-2,8848,8848
2020-8-3,9004,9004
2020-8-4,9148,9148
2020-8-5,9148,9148
2020-8-6,9267,9267
2020-8-7,9354,9354
2020-8-8,9354,9354
2020-8-9,9354,9354
2020-8-10,9354,9354
2020-8-11,9599,9599
2020-8-12,9678,9678
2020-8-13,9678,9678
2020-8-14,9801,9801
2020-8-15,9872,9872
2020-8-16,9935,9935
2020-8-17,9973,9973
2020-8-18,10037,10037
2020-8-19,10090,10090
2020-8-20,10145,10145
2020-8-21,10132,10132
2020-8-22,10219,10219
2020-8-23,10281,10281
2020-8-24,10343,10343
2020-8-25,10417,10417
2020-8-26,10605,10605
2020-8-27,10747,10747
2020-8-28,10818,10818
2020-8-29,10839,10839
2020-8-30,10843,10843
2020-8-31,11043,11043
2020-9-1,11094,11094
2020-9-2,11143,11143
2020-9-3,11196,11196
2020-9-4,11265,11265
2020-9-5,11318,11318
