Date,KSDATA.Hosp,KSDATA.HospCum
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,27,27
2020-3-28,27,27
2020-3-29,55,55
2020-3-30,66,66
2020-3-31,79,79
2020-4-1,114,114
2020-4-2,138,138
2020-4-3,151,151
2020-4-4,172,172
2020-4-5,183,183
2020-4-6,198,198
2020-4-7,223,223
2020-4-8,223,223
2020-4-9,263,263
2020-4-10,274,274
2020-4-11,293,293
2020-4-12,298,298
2020-4-13,309,309
2020-4-14,327,327
2020-4-15,342,342
2020-4-16,359,359
2020-4-17,375,375
2020-4-18,383,383
2020-4-19,390,390
2020-4-20,405,405
2020-4-21,419,419
2020-4-22,432,432
2020-4-23,442,442
2020-4-24,457,457
2020-4-25,474,474
2020-4-26,485,485
2020-4-27,496,496
2020-4-28,504,504
2020-4-29,515,515
2020-4-30,523,523
2020-5-1,534,534
2020-5-2,541,541
2020-5-3,547,547
2020-5-4,553,553
2020-5-5,566,566
2020-5-6,571,571
2020-5-7,587,587
2020-5-8,608,608
2020-5-9,635,635
2020-5-10,657,657
2020-5-11,660,660
2020-5-12,660,660
2020-5-13,704,704
2020-5-14,704,704
2020-5-15,724,724
2020-5-16,724,724
2020-5-17,724,724
2020-5-18,740,740
2020-5-19,740,740
2020-5-20,760,760
2020-5-21,760,760
2020-5-22,787,787
2020-5-23,787,787
2020-5-24,787,787
2020-5-25,800,800
2020-5-26,800,800
2020-5-27,822,822
2020-5-28,822,822
2020-5-29,842,842
2020-5-30,842,842
2020-5-31,842,842
2020-6-1,842,842
2020-6-2,862,862
2020-6-3,890,890
2020-6-4,890,890
2020-6-5,917,917
2020-6-6,917,917
2020-6-7,917,917
2020-6-8,936,936
2020-6-9,936,936
2020-6-10,954,954
