Date,KYDATA.Hosp,KYDATA.HospCum
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,0,0
2020-4-10,459,459
2020-4-11,459,459
2020-4-12,459,459
2020-4-13,667,667
2020-4-14,673,673
2020-4-15,687,687
2020-4-16,807,807
2020-4-17,971,971
2020-4-18,1008,1008
2020-4-19,1059,1059
2020-4-20,1059,1059
2020-4-21,1059,1059
2020-4-22,1076,1076
2020-4-23,1105,1105
2020-4-24,1115,1115
2020-4-25,1143,1143
2020-4-26,1266,1266
2020-4-27,1274,1274
2020-4-28,1281,1281
2020-4-29,1331,1331
2020-4-30,1359,1359
2020-5-1,1375,1375
2020-5-2,1411,1411
2020-5-3,1411,1411
2020-5-4,1519,1519
2020-5-5,1529,1529
2020-5-6,1603,1603
2020-5-7,1616,1616
2020-5-8,1684,1684
2020-5-9,1696,1696
2020-5-10,1757,1757
2020-5-11,1757,1757
2020-5-12,1767,1767
2020-5-13,1825,1825
2020-5-14,1835,1835
2020-5-15,1887,1887
2020-5-16,1896,1896
2020-5-17,1896,1896
2020-5-18,1896,1896
2020-5-19,1980,1980
2020-5-20,2010,2010
2020-5-21,2016,2016
2020-5-22,2041,2041
2020-5-23,2076,2076
2020-5-24,2131,2131
2020-5-25,2131,2131
2020-5-26,2131,2131
2020-5-27,2136,2136
2020-5-28,2142,2142
2020-5-29,2180,2180
2020-5-30,2266,2266
2020-5-31,2272,2272
2020-6-1,2274,2274
2020-6-2,2307,2307
