Date,MADATA.Hosp,MADATA.HospCum
2020-1-22,0,0
2020-1-23,0,0
2020-1-24,0,0
2020-1-25,0,0
2020-1-26,0,0
2020-1-27,0,0
2020-1-28,0,0
2020-1-29,0,0
2020-1-30,0,0
2020-1-31,0,0
2020-2-1,0,0
2020-2-2,0,0
2020-2-3,0,0
2020-2-4,0,0
2020-2-5,0,0
2020-2-6,0,0
2020-2-7,0,0
2020-2-8,0,0
2020-2-9,0,0
2020-2-10,0,0
2020-2-11,0,0
2020-2-12,0,0
2020-2-13,0,0
2020-2-14,0,0
2020-2-15,0,0
2020-2-16,0,0
2020-2-17,0,0
2020-2-18,0,0
2020-2-19,0,0
2020-2-20,0,0
2020-2-21,0,0
2020-2-22,0,0
2020-2-23,0,0
2020-2-24,0,0
2020-2-25,0,0
2020-2-26,0,0
2020-2-27,0,0
2020-2-28,0,0
2020-2-29,0,0
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,61,61
2020-3-22,71,71
2020-3-23,79,79
2020-3-24,94,94
2020-3-25,103,103
2020-3-26,219,219
2020-3-27,219,219
2020-3-28,350,350
2020-3-29,399,399
2020-3-30,453,453
2020-3-31,562,562
2020-4-1,682,682
2020-4-2,813,813
2020-4-3,966,966
2020-4-4,1370,1370
2020-4-5,1632,1632
2020-4-6,1667,1667
2020-4-7,1831,1831
2020-4-8,2119,2119
2020-4-9,2302,2302
2020-4-10,2435,2435
2020-4-11,2507,2507
2020-4-12,2514,2514
2020-4-13,3485,3485
2020-4-14,3616,3616
2020-4-15,3637,3637
2020-4-16,3726,3726
2020-4-17,3756,3756
2020-4-18,3728,3728
2020-4-19,3789,3789
2020-4-20,3872,3872
2020-4-21,4009,4009
2020-4-22,4256,4256
2020-4-23,4493,4493
2020-4-24,4752,4752
2020-4-25,4965,4965
2020-4-26,5104,5104
2020-4-27,5237,5237
2020-4-28,5515,5515
2020-4-29,5758,5758
2020-4-30,5942,5942
2020-5-1,6169,6169
2020-5-2,6378,6378
2020-5-3,6507,6507
2020-5-4,6622,6622
2020-5-5,6831,6831
2020-5-6,7080,7080
2020-5-7,7237,7237
2020-5-8,7434,7434
2020-5-9,7551,7551
2020-5-10,7617,7617
2020-5-11,7732,7732
2020-5-12,7842,7842
2020-5-13,8032,8032
2020-5-14,8207,8207
2020-5-15,8314,8314
2020-5-16,8456,8456
2020-5-17,8539,8539
2020-5-18,8621,8621
2020-5-19,8766,8766
2020-5-20,8897,8897
2020-5-21,9040,9040
2020-5-22,9162,9162
2020-5-23,9260,9260
2020-5-24,9308,9308
2020-5-25,9339,9339
2020-5-26,9388,9388
2020-5-27,9492,9492
2020-5-28,9618,9618
2020-5-29,9725,9725
2020-5-30,9789,9789
2020-5-31,9823,9823
2020-6-1,9952,9952
2020-6-2,10063,10063
2020-6-3,10151,10151
2020-6-4,10238,10238
2020-6-5,10303,10303
2020-6-6,10369,10369
2020-6-7,10393,10393
2020-6-8,10425,10425
2020-6-9,10507,10507
2020-6-10,10582,10582
2020-6-11,10654,10654
2020-6-12,10726,10726
2020-6-13,10772,10772
2020-6-14,10802,10802
2020-6-15,10817,10817
2020-6-16,10867,10867
2020-6-17,10925,10925
2020-6-18,10985,10985
2020-6-19,11036,11036
2020-6-20,11076,11076
2020-6-21,11085,11085
2020-6-22,11094,11094
2020-6-23,11157,11157
2020-6-24,11219,11219
2020-6-25,11252,11252
2020-6-26,11291,11291
2020-6-27,11310,11310
2020-6-28,11319,11319
2020-6-29,11345,11345
2020-6-30,11337,11337
2020-7-1,11352,11352
2020-7-2,11392,11392
2020-7-3,11436,11436
2020-7-4,11461,11461
2020-7-5,11463,11463
2020-7-6,11469,11469
2020-7-7,11489,11489
2020-7-8,11517,11517
2020-7-9,11559,11559
2020-7-10,11582,11582
2020-7-11,11600,11600
2020-7-12,11608,11608
2020-7-13,11611,11611
2020-7-14,11625,11625
2020-7-15,11651,11651
2020-7-16,11663,11663
2020-7-17,11691,11691
2020-7-18,11709,11709
2020-7-19,11717,11717
2020-7-20,11722,11722
2020-7-21,11746,11746
2020-7-22,11761,11761
2020-7-23,11770,11770
2020-7-24,11785,11785
2020-7-25,11813,11813
2020-7-26,11828,11828
2020-7-27,11833,11833
2020-7-28,11855,11855
2020-7-29,11876,11876
2020-7-30,11893,11893
2020-7-31,11908,11908
2020-8-1,11930,11930
2020-8-2,11936,11936
2020-8-3,11942,11942
2020-8-4,11973,11973
2020-8-5,11993,11993
2020-8-6,12007,12007
2020-8-7,12022,12022
2020-8-8,12044,12044
2020-8-9,12054,12054
2020-8-10,12062,12062
2020-8-11,12089,12089
2020-8-12,12109,12109
2020-8-13,12131,12131
2020-8-14,12150,12150
2020-8-15,12170,12170
2020-8-16,12173,12173
2020-8-17,12178,12178
2020-8-18,12192,12192
2020-8-19,12213,12213
2020-8-20,12225,12225
2020-8-21,12245,12245
2020-8-22,12256,12256
2020-8-23,12256,12256
2020-8-24,12268,12268
2020-8-25,12279,12279
2020-8-26,12299,12299
2020-8-27,12318,12318
2020-8-28,12334,12334
2020-8-29,12358,12358
2020-8-30,12361,12361
2020-8-31,12364,12364
2020-9-1,12386,12386
2020-9-2,12295,12295
2020-9-3,12325,12325
2020-9-4,12335,12335
2020-9-5,12347,12347
2020-9-6,12350,12350
2020-9-7,12357,12357
2020-9-8,12368,12368
2020-9-9,12387,12387
2020-9-10,12401,12401
2020-9-11,12411,12411
2020-9-12,12426,12426
2020-9-13,12431,12431
2020-9-14,12442,12442
2020-9-15,12462,12462
2020-9-16,12478,12478
2020-9-17,12496,12496
2020-9-18,12514,12514
2020-9-19,12537,12537
2020-9-20,12545,12545
2020-9-21,12553,12553
2020-9-22,12571,12571
2020-9-23,12592,12592
2020-9-24,12606,12606
2020-9-25,12619,12619
2020-9-26,12637,12637
2020-9-27,12645,12645
2020-9-28,12648,12648
2020-9-29,12667,12667
2020-9-30,12686,12686
2020-10-1,12715,12715
2020-10-2,12733,12733
2020-10-3,12745,12745
2020-10-4,12749,12749
2020-10-5,12755,12755
2020-10-6,12775,12775
2020-10-7,12807,12807
2020-10-8,12830,12830
2020-10-9,12846,12846
2020-10-10,12861,12861
2020-10-11,12871,12871
2020-10-12,12882,12882
2020-10-13,12899,12899
2020-10-14,12933,12933
2020-10-15,12946,12946
2020-10-16,12971,12971
2020-10-17,12990,12990
2020-10-18,13001,13001
2020-10-19,13009,13009
2020-10-20,13021,13021
2020-10-21,13056,13056
2020-10-22,13082,13082
2020-10-23,13106,13106
2020-10-24,13126,13126
2020-10-25,13142,13142
2020-10-26,13160,13160
2020-10-27,13160,13160
