Date,MDDATA.Hosp,MDDATA.HospCum
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,132,132
2020-3-27,173,173
2020-3-28,226,226
2020-3-29,277,277
2020-3-30,353,353
2020-3-31,429,429
2020-4-1,522,522
2020-4-2,582,582
2020-4-3,664,664
2020-4-4,821,821
2020-4-5,936,936
2020-4-6,1059,1059
2020-4-7,1106,1106
2020-4-8,1210,1210
2020-4-9,1348,1348
2020-4-10,1413,1413
2020-4-11,1709,1709
2020-4-12,1860,1860
2020-4-13,1975,1975
2020-4-14,2122,2122
2020-4-15,2231,2231
2020-4-16,2451,2451
2020-4-17,2612,2612
2020-4-18,2757,2757
2020-4-19,2886,2886
2020-4-20,3014,3014
2020-4-21,3158,3158
2020-4-22,3325,3325
2020-4-23,3477,3477
2020-4-24,3618,3618
2020-4-25,3760,3760
2020-4-26,3962,3962
2020-4-27,4101,4101
2020-4-28,4268,4268
2020-4-29,4402,4402
2020-4-30,4559,4559
2020-5-1,4718,4718
2020-5-2,4910,4910
2020-5-3,5051,5051
2020-5-4,5199,5199
2020-5-5,5337,5337
2020-5-6,5497,5497
2020-5-7,5663,5663
2020-5-8,5811,5811
2020-5-9,5932,5932
2020-5-10,5955,5955
2020-5-11,6183,6183
2020-5-12,6287,6287
2020-5-13,6404,6404
2020-5-14,6553,6553
2020-5-15,6679,6679
2020-5-16,6755,6755
2020-5-17,6993,6993
2020-5-18,7086,7086
2020-5-19,7199,7199
2020-5-20,7393,7393
2020-5-21,7485,7485
2020-5-22,7634,7634
2020-5-23,7825,7825
2020-5-24,7939,7939
2020-5-25,8092,8092
2020-5-26,8179,8179
2020-5-27,8281,8281
2020-5-28,8392,8392
2020-5-29,8479,8479
2020-5-30,8619,8619
2020-5-31,8738,8738
2020-6-1,8886,8886
2020-6-2,8957,8957
2020-6-3,9111,9111
2020-6-4,9217,9217
2020-6-5,9346,9346
2020-6-6,9451,9451
2020-6-7,9546,9546
2020-6-8,9629,9629
2020-6-9,9676,9676
2020-6-10,9755,9755
2020-6-11,9789,9789
2020-6-12,9923,9923
2020-6-13,10053,10053
2020-6-14,10165,10165
2020-6-15,10222,10222
2020-6-16,10262,10262
2020-6-17,10309,10309
2020-6-18,10357,10357
2020-6-19,10447,10447
2020-6-20,10497,10497
2020-6-21,10544,10544
2020-6-22,10572,10572
2020-6-23,10611,10611
2020-6-24,10648,10648
2020-6-25,10683,10683
2020-6-26,10725,10725
2020-6-27,10751,10751
2020-6-28,10793,10793
2020-6-29,10822,10822
2020-6-30,10844,10844
2020-7-1,10902,10902
2020-7-2,10939,10939
2020-7-3,10973,10973
2020-7-4,11034,11034
2020-7-5,11071,11071
2020-7-6,11096,11096
2020-7-7,11111,11111
2020-7-8,11184,11184
2020-7-9,11221,11221
2020-7-10,11300,11300
2020-7-11,11353,11353
2020-7-12,11420,11420
2020-7-13,11467,11467
2020-7-14,11485,11485
2020-7-15,11625,11625
2020-7-16,11687,11687
2020-7-17,11728,11728
2020-7-18,11788,11788
2020-7-19,11841,11841
2020-7-20,11897,11897
2020-7-21,11949,11949
2020-7-22,11997,11997
2020-7-23,12037,12037
2020-7-24,12119,12119
2020-7-25,12188,12188
2020-7-26,12283,12283
2020-7-27,12339,12339
2020-7-28,12389,12389
2020-7-29,12448,12448
2020-7-30,12500,12500
2020-7-31,12593,12593
2020-8-1,12672,12672
2020-8-2,12746,12746
2020-8-3,12832,12832
2020-8-4,12888,12888
2020-8-5,12922,12922
2020-8-6,12978,12978
2020-8-7,13047,13047
2020-8-8,13105,13105
2020-8-9,13177,13177
2020-8-10,13247,13247
2020-8-11,13266,13266
2020-8-12,13348,13348
2020-8-13,13463,13463
2020-8-14,13508,13508
2020-8-15,13556,13556
2020-8-16,13614,13614
2020-8-17,13658,13658
2020-8-18,13698,13698
2020-8-19,13744,13744
2020-8-20,13785,13785
2020-8-21,13823,13823
2020-8-22,13864,13864
2020-8-23,13956,13956
2020-8-24,14007,14007
2020-8-25,14051,14051
2020-8-26,14090,14090
2020-8-27,14141,14141
2020-8-28,14184,14184
2020-8-29,14217,14217
2020-8-30,14255,14255
2020-8-31,14303,14303
2020-9-1,14337,14337
2020-9-2,14351,14351
2020-9-3,14427,14427
2020-9-4,14473,14473
2020-9-5,14516,14516
2020-9-6,14573,14573
2020-9-7,14603,14603
2020-9-8,14636,14636
2020-9-9,14672,14672
2020-9-10,14706,14706
2020-9-11,14756,14756
2020-9-12,14796,14796
2020-9-13,14851,14851
2020-9-14,14884,14884
2020-9-15,14918,14918
2020-9-16,14959,14959
2020-9-17,15008,15008
2020-9-18,15070,15070
2020-9-19,15119,15119
2020-9-20,15119,15119
2020-9-21,15171,15171
2020-9-22,15237,15237
2020-9-23,15268,15268
2020-9-24,15299,15299
2020-9-25,15328,15328
2020-9-26,15382,15382
2020-9-27,15398,15398
2020-9-28,15428,15428
2020-9-29,15460,15460
2020-9-30,15530,15530
2020-10-1,15542,15542
2020-10-2,15574,15574
2020-10-3,15670,15670
2020-10-4,15705,15705
2020-10-5,15745,15745
2020-10-6,15791,15791
2020-10-7,15843,15843
2020-10-8,15898,15898
2020-10-9,15956,15956
2020-10-10,16006,16006
2020-10-11,16058,16058
2020-10-12,16107,16107
2020-10-13,16150,16150
2020-10-14,16215,16215
2020-10-15,16255,16255
2020-10-16,16288,16288
2020-10-17,16352,16352
2020-10-18,16435,16435
2020-10-19,16475,16475
2020-10-20,16516,16516
2020-10-21,16549,16549
2020-10-22,16603,16603
2020-10-23,16650,16650
2020-10-24,16705,16705
2020-10-25,16757,16757
2020-10-26,16819,16819
2020-10-27,16859,16859
2020-10-28,16910,16910
2020-10-29,16971,16971
2020-10-30,17023,17023
2020-10-31,17093,17093
2020-11-1,17178,17178
2020-11-2,17252,17252
2020-11-3,17312,17312
2020-11-4,17363,17363
2020-11-5,17435,17435
2020-11-6,17537,17537
2020-11-7,17627,17627
2020-11-8,17730,17730
2020-11-9,17833,17833
2020-11-10,17914,17914
2020-11-11,18012,18012
2020-11-12,18139,18139
2020-11-13,18281,18281
2020-11-14,18458,18458
2020-11-15,18576,18576
2020-11-16,18688,18688
2020-11-17,18812,18812
2020-11-18,18959,18959
2020-11-19,19134,19134
2020-11-20,19282,19282
2020-11-21,19434,19434
