Date,MEDATA.Hosp,MEDATA.HospCum
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,49,49
2020-3-31,57,57
2020-4-1,63,63
2020-4-2,68,68
2020-4-3,75,75
2020-4-4,83,83
2020-4-5,86,86
2020-4-6,92,92
2020-4-7,99,99
2020-4-8,101,101
2020-4-9,105,105
2020-4-10,111,111
2020-4-11,114,114
2020-4-12,120,120
2020-4-13,124,124
2020-4-14,124,124
2020-4-15,126,126
2020-4-16,130,130
2020-4-17,133,133
2020-4-18,136,136
2020-4-19,136,136
2020-4-20,138,138
2020-4-21,139,139
2020-4-22,144,144
2020-4-23,150,150
2020-4-24,152,152
2020-4-25,156,156
2020-4-26,159,159
2020-4-27,161,161
2020-4-28,163,163
2020-4-29,166,166
2020-4-30,170,170
2020-5-1,177,177
2020-5-2,181,181
2020-5-3,183,183
2020-5-4,186,186
2020-5-5,187,187
2020-5-6,191,191
2020-5-7,192,192
2020-5-8,194,194
2020-5-9,198,198
2020-5-10,199,199
2020-5-11,200,200
2020-5-12,202,202
2020-5-13,204,204
2020-5-14,207,207
2020-5-15,211,211
2020-5-16,214,214
2020-5-17,216,216
2020-5-18,223,223
2020-5-19,225,225
2020-5-20,231,231
2020-5-21,235,235
2020-5-22,240,240
2020-5-23,243,243
2020-5-24,252,252
2020-5-25,257,257
2020-5-26,258,258
2020-5-27,260,260
2020-5-28,264,264
2020-5-29,270,270
2020-5-30,272,272
2020-5-31,283,283
2020-6-1,284,284
2020-6-2,287,287
2020-6-3,285,285
2020-6-4,291,291
2020-6-5,293,293
2020-6-6,296,296
2020-6-7,298,298
2020-6-8,301,301
2020-6-9,302,302
2020-6-10,303,303
2020-6-11,308,308
2020-6-12,308,308
2020-6-13,313,313
2020-6-14,314,314
2020-6-15,317,317
2020-6-16,321,321
2020-6-17,323,323
2020-6-18,323,323
2020-6-19,328,328
2020-6-20,333,333
2020-6-21,336,336
2020-6-22,336,336
2020-6-23,339,339
2020-6-24,339,339
2020-6-25,343,343
2020-6-26,343,343
2020-6-27,345,345
2020-6-28,346,346
2020-6-29,347,347
2020-6-30,348,348
2020-7-1,351,351
2020-7-2,354,354
2020-7-3,358,358
2020-7-4,358,358
2020-7-5,359,359
2020-7-6,359,359
2020-7-7,360,360
2020-7-8,363,363
2020-7-9,365,365
2020-7-10,366,366
2020-7-11,368,368
2020-7-12,371,371
2020-7-13,372,372
2020-7-14,373,373
2020-7-15,373,373
2020-7-16,374,374
2020-7-17,375,375
2020-7-18,375,375
2020-7-19,375,375
2020-7-20,375,375
2020-7-21,377,377
2020-7-22,377,377
2020-7-23,378,378
2020-7-24,378,378
2020-7-25,379,379
2020-7-26,381,381
2020-7-27,383,383
2020-7-28,384,384
2020-7-29,385,385
2020-7-30,386,386
2020-7-31,388,388
2020-8-1,388,388
2020-8-2,388,388
2020-8-3,389,389
2020-8-4,388,388
2020-8-5,390,390
2020-8-6,390,390
2020-8-7,393,393
2020-8-8,393,393
2020-8-9,393,393
2020-8-10,393,393
2020-8-11,394,394
2020-8-12,394,394
2020-8-13,395,395
2020-8-14,399,399
2020-8-15,399,399
2020-8-16,400,400
2020-8-17,399,399
2020-8-18,401,401
2020-8-19,403,403
2020-8-20,405,405
2020-8-21,407,407
2020-8-22,407,407
2020-8-23,408,408
2020-8-24,409,409
2020-8-25,410,410
2020-8-26,412,412
2020-8-27,415,415
2020-8-28,417,417
2020-8-29,418,418
2020-8-30,420,420
2020-8-31,420,420
2020-9-1,421,421
2020-9-2,423,423
2020-9-3,424,424
2020-9-4,423,423
2020-9-5,424,424
2020-9-6,424,424
2020-9-7,427,427
2020-9-8,429,429
2020-9-9,429,429
2020-9-10,431,431
2020-9-11,432,432
2020-9-12,431,431
2020-9-13,431,431
2020-9-14,431,431
2020-9-15,432,432
2020-9-16,433,433
2020-9-17,436,436
2020-9-18,437,437
2020-9-19,439,439
2020-9-20,439,439
2020-9-21,440,440
2020-9-22,442,442
2020-9-23,441,441
2020-9-24,442,442
2020-9-25,442,442
2020-9-26,443,443
2020-9-27,445,445
2020-9-28,446,446
2020-9-29,447,447
2020-9-30,449,449
2020-10-1,451,451
2020-10-2,452,452
2020-10-3,454,454
2020-10-4,454,454
2020-10-5,454,454
2020-10-6,457,457
2020-10-7,459,459
2020-10-8,459,459
2020-10-9,460,460
2020-10-10,462,462
2020-10-11,463,463
2020-10-12,463,463
2020-10-13,463,463
2020-10-14,463,463
2020-10-15,464,464
2020-10-16,466,466
2020-10-17,467,467
2020-10-18,468,468
2020-10-19,469,469
2020-10-20,469,469
2020-10-21,470,470
2020-10-22,473,473
2020-10-23,473,473
2020-10-24,473,473
2020-10-25,475,475
2020-10-26,477,477
2020-10-27,479,479
2020-10-28,484,484
2020-10-29,483,483
2020-10-30,486,486
2020-10-31,486,486
2020-11-1,488,488
2020-11-2,495,495
2020-11-3,502,502
2020-11-4,507,507
2020-11-5,510,510
2020-11-6,513,513
2020-11-7,523,523
2020-11-8,525,525
2020-11-9,532,532
2020-11-10,538,538
2020-11-11,545,545
2020-11-12,553,553
2020-11-13,566,566
2020-11-14,572,572
2020-11-15,574,574
2020-11-16,577,577
2020-11-17,589,589
2020-11-18,600,600
2020-11-19,613,613
2020-11-20,628,628
2020-11-21,636,636
2020-11-22,642,642
2020-11-23,647,647
2020-11-24,662,662
2020-11-25,678,678
2020-11-26,687,687
2020-11-27,687,687
2020-11-28,689,689
2020-11-29,692,692
2020-11-30,699,699
2020-12-1,709,709
2020-12-2,725,725
2020-12-3,740,740
2020-12-4,751,751
2020-12-5,760,760
2020-12-6,768,768
2020-12-7,781,781
2020-12-8,803,803
2020-12-9,819,819
2020-12-10,834,834
2020-12-11,855,855
2020-12-12,871,871
2020-12-13,878,878
2020-12-14,893,893
2020-12-15,909,909
2020-12-16,934,934
2020-12-17,958,958
2020-12-18,965,965
2020-12-19,971,971
2020-12-20,979,979
2020-12-21,980,980
2020-12-22,985,985
2020-12-23,1000,1000
2020-12-24,1015,1015
2020-12-25,1020,1020
2020-12-26,1020,1020
2020-12-27,1024,1024
2020-12-28,1032,1032
2020-12-29,1041,1041
2020-12-30,1039,1039
2020-12-31,1065,1065
2021-1-1,1065,1065
2021-1-2,1091,1091
2021-1-3,1099,1099
2021-1-4,1107,1107
2021-1-5,1117,1117
2021-1-6,1124,1124
2021-1-7,1135,1135
2021-1-8,1150,1150
2021-1-9,1158,1158
2021-1-10,1158,1158
2021-1-11,1171,1171
2021-1-12,1189,1189
2021-1-13,1201,1201
2021-1-14,1217,1217
2021-1-15,1228,1228
2021-1-16,1242,1242
2021-1-17,1244,1244
2021-1-18,1254,1254
2021-1-19,1269,1269
2021-1-20,1287,1287
2021-1-21,1294,1294
2021-1-22,1309,1309
2021-1-23,1322,1322
2021-1-24,1322,1322
2021-1-25,1342,1342
2021-1-26,1357,1357
2021-1-27,1366,1366
2021-1-28,1375,1375
2021-1-29,1381,1381
2021-1-30,1386,1386
2021-1-31,1390,1390
2021-2-1,1394,1394
2021-2-2,1403,1403
2021-2-3,1410,1410
2021-2-4,1420,1420
2021-2-5,1431,1431
2021-2-6,1436,1436
2021-2-7,1442,1442
2021-2-8,1445,1445
2021-2-9,1450,1450
2021-2-10,1458,1458
2021-2-11,1464,1464
2021-2-12,1469,1469
2021-2-13,1476,1476
2021-2-14,1484,1484
2021-2-15,1484,1484
2021-2-16,1487,1487
2021-2-17,1490,1490
2021-2-18,1495,1495
2021-2-19,1503,1503
2021-2-20,1505,1505
2021-2-21,1506,1506
2021-2-22,1508,1508
2021-2-23,1511,1511
2021-2-24,1515,1515
2021-2-25,1521,1521
2021-2-26,1519,1519
