Date,MNDATA.Hosp,MNDATA.HospCum
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,12,12
2020-3-23,17,17
2020-3-24,21,21
2020-3-25,35,35
2020-3-26,41,41
2020-3-27,51,51
2020-3-28,57,57
2020-3-29,75,75
2020-3-30,92,92
2020-3-31,112,112
2020-4-1,122,122
2020-4-2,138,138
2020-4-3,156,156
2020-4-4,180,180
2020-4-5,202,202
2020-4-6,223,223
2020-4-7,242,242
2020-4-8,271,271
2020-4-9,293,293
2020-4-10,317,317
2020-4-11,340,340
2020-4-12,361,361
2020-4-13,361,361
2020-4-14,405,405
2020-4-15,445,445
2020-4-16,475,475
2020-4-17,518,518
2020-4-18,561,561
2020-4-19,574,574
2020-4-20,602,602
2020-4-21,629,629
2020-4-22,660,660
2020-4-23,712,712
2020-4-24,756,756
2020-4-25,797,797
2020-4-26,829,829
2020-4-27,861,861
2020-4-28,912,912
2020-4-29,950,950
2020-4-30,1044,1044
2020-5-1,1096,1096
2020-5-2,1159,1159
2020-5-3,1199,1199
2020-5-4,1271,1271
2020-5-5,1350,1350
2020-5-6,1405,1405
2020-5-7,1459,1459
2020-5-8,1549,1549
2020-5-9,1612,1612
2020-5-10,1657,1657
2020-5-11,1716,1716
2020-5-12,1799,1799
2020-5-13,1851,1851
2020-5-14,1915,1915
2020-5-15,1985,1985
2020-5-16,2039,2039
2020-5-17,2090,2090
2020-5-18,2128,2128
2020-5-19,2221,2221
2020-5-20,2308,2308
2020-5-21,2380,2380
2020-5-22,2432,2432
2020-5-23,2534,2534
2020-5-24,2588,2588
2020-5-25,2676,2676
2020-5-26,2709,2709
2020-5-27,2796,2796
2020-5-28,2880,2880
2020-5-29,2936,2936
2020-5-30,3011,3011
2020-5-31,3047,3047
2020-6-1,3086,3086
2020-6-2,3134,3134
2020-6-3,3203,3203
2020-6-4,3253,3253
