Date,MSDATA.Hosp,MSDATA.HospCum
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,33,33
2020-3-23,33,33
2020-3-24,86,86
2020-3-25,117,117
2020-3-26,150,150
2020-3-27,185,185
2020-3-28,219,219
2020-3-29,235,235
2020-3-30,195,195
2020-3-31,211,211
2020-4-1,332,332
2020-4-2,360,360
2020-4-3,420,420
2020-4-4,436,436
2020-4-5,475,475
2020-4-6,475,475
2020-4-7,377,377
2020-4-8,410,410
2020-4-9,441,441
2020-4-10,482,482
2020-4-11,528,528
2020-4-12,548,548
2020-4-13,549,549
2020-4-14,596,596
2020-4-15,645,645
2020-4-16,682,682
2020-4-17,736,736
2020-4-18,782,782
2020-4-19,808,808
2020-4-20,819,819
2020-4-21,858,858
2020-4-22,910,910
2020-4-23,946,946
2020-4-24,970,970
2020-4-25,996,996
2020-4-26,1001,1001
2020-4-27,1060,1060
2020-4-28,1088,1088
2020-4-29,1126,1126
2020-4-30,1175,1175
2020-5-1,1226,1226
2020-5-2,1265,1265
2020-5-3,1298,1298
2020-5-4,1316,1316
2020-5-5,1352,1352
2020-5-6,1392,1392
2020-5-7,1442,1442
2020-5-8,1478,1478
2020-5-9,1512,1512
2020-5-10,1531,1531
2020-5-11,1546,1546
2020-5-12,1582,1582
2020-5-13,1616,1616
2020-5-14,1667,1667
2020-5-15,1712,1712
2020-5-16,1748,1748
2020-5-17,1773,1773
2020-5-18,1805,1805
2020-5-19,1840,1840
2020-5-20,1901,1901
2020-5-21,1932,1932
2020-5-22,1966,1966
2020-5-23,1996,1996
2020-5-24,2023,2023
2020-5-25,2046,2046
2020-5-26,2070,2070
2020-5-27,2106,2106
2020-5-28,2147,2147
2020-5-29,2208,2208
2020-5-30,2240,2240
2020-5-31,2272,2272
2020-6-1,2296,2296
2020-6-2,2296,2296
2020-6-3,2340,2340
2020-6-4,2340,2340
2020-6-5,2475,2475
2020-6-6,2475,2475
2020-6-7,2522,2522
2020-6-8,2535,2535
2020-6-9,2535,2535
2020-6-10,2614,2614
2020-6-11,2614,2614
2020-6-12,2643,2643
2020-6-13,2644,2644
2020-6-14,2665,2665
2020-6-15,2680,2680
2020-6-16,2728,2728
2020-6-17,2767,2767
2020-6-18,2767,2767
2020-6-19,2767,2767
2020-6-20,2767,2767
2020-6-21,2767,2767
2020-6-22,2881,2881
2020-6-23,2915,2915
2020-6-24,2946,2946
2020-6-25,2998,2998
2020-6-26,3044,3044
2020-6-27,3078,3078
2020-6-28,3102,3102
2020-6-29,3115,3115
2020-6-30,3156,3156
2020-7-1,3177,3177
2020-7-2,3208,3208
2020-7-3,3208,3208
2020-7-4,3268,3268
2020-7-5,3268,3268
2020-7-6,3280,3280
2020-7-7,3315,3315
2020-7-8,3365,3365
2020-7-9,3414,3414
2020-7-10,3455,3455
2020-7-11,3495,3495
2020-7-12,3495,3495
2020-7-13,3530,3530
2020-7-14,3585,3585
2020-7-15,3629,3629
2020-7-16,3675,3675
2020-7-17,3712,3712
2020-7-18,3727,3727
2020-7-19,3727,3727
2020-7-20,3766,3766
2020-7-21,3797,3797
2020-7-22,3844,3844
2020-7-23,3878,3878
2020-7-24,3923,3923
2020-7-25,3982,3982
2020-7-26,3982,3982
2020-7-27,4032,4032
2020-7-28,4103,4103
2020-7-29,4152,4152
2020-7-30,4213,4213
2020-7-31,4276,4276
2020-8-1,4314,4314
2020-8-2,4314,4314
2020-8-3,4380,4380
2020-8-4,4424,4424
2020-8-5,4472,4472
2020-8-6,4511,4511
2020-8-7,4577,4577
2020-8-8,4606,4606
2020-8-9,4606,4606
2020-8-10,4680,4680
2020-8-11,4738,4738
2020-8-12,4794,4794
2020-8-13,4847,4847
2020-8-14,4873,4873
2020-8-15,4916,4916
2020-8-16,4916,4916
2020-8-17,4989,4989
2020-8-18,5025,5025
2020-8-19,5063,5063
2020-8-20,5097,5097
2020-8-21,5127,5127
2020-8-22,5149,5149
2020-8-23,5149,5149
2020-8-24,5179,5179
2020-8-25,5208,5208
2020-8-26,5234,5234
2020-8-27,5267,5267
2020-8-28,5279,5279
2020-8-29,5300,5300
2020-8-30,5300,5300
2020-8-31,5326,5326
2020-9-1,5326,5326
2020-9-2,5326,5326
2020-9-3,5326,5326
2020-9-4,5326,5326
2020-9-5,5326,5326
2020-9-6,5326,5326
2020-9-7,5326,5326
2020-9-8,5410,5410
2020-9-9,5410,5410
2020-9-10,5410,5410
2020-9-11,5410,5410
2020-9-12,5410,5410
2020-9-13,5410,5410
2020-9-14,5499,5499
2020-9-15,5499,5499
2020-9-16,5499,5499
2020-9-17,5499,5499
2020-9-18,5499,5499
2020-9-19,5499,5499
2020-9-20,5499,5499
2020-9-21,5607,5607
2020-9-22,5607,5607
2020-9-23,5607,5607
2020-9-24,5607,5607
2020-9-25,5607,5607
2020-9-26,5607,5607
2020-9-27,5607,5607
2020-9-28,5844,5844
2020-9-29,5844,5844
2020-9-30,5844,5844
2020-10-1,5975,5975
2020-10-2,5975,5975
2020-10-3,5975,5975
2020-10-4,5975,5975
2020-10-5,6053,6053
2020-10-6,6053,6053
2020-10-7,6053,6053
2020-10-8,6053,6053
2020-10-9,6053,6053
2020-10-10,6053,6053
2020-10-11,6053,6053
2020-10-12,6237,6237
2020-10-13,6237,6237
2020-10-14,6237,6237
2020-10-15,6237,6237
2020-10-16,6237,6237
2020-10-17,6237,6237
2020-10-18,6237,6237
2020-10-19,6380,6380
2020-10-20,6380,6380
2020-10-21,6380,6380
2020-10-22,6380,6380
2020-10-23,6380,6380
2020-10-24,6380,6380
2020-10-25,6380,6380
2020-10-26,6576,6576
2020-10-27,6576,6576
2020-10-28,6576,6576
2020-10-29,6576,6576
2020-10-30,6576,6576
2020-10-31,6576,6576
2020-11-1,6576,6576
2020-11-2,6728,6728
2020-11-3,6728,6728
2020-11-4,6728,6728
2020-11-5,6728,6728
2020-11-6,6728,6728
2020-11-7,6728,6728
2020-11-8,6728,6728
2020-11-9,6914,6914
2020-11-10,6914,6914
2020-11-11,6914,6914
2020-11-12,6914,6914
2020-11-13,6914,6914
2020-11-14,6914,6914
2020-11-15,6914,6914
2020-11-16,7091,7091
2020-11-17,7091,7091
2020-11-18,7091,7091
2020-11-19,7091,7091
2020-11-20,7091,7091
2020-11-21,7091,7091
2020-11-22,7091,7091
2020-11-23,7294,7294
2020-11-24,7294,7294
2020-11-25,7294,7294
2020-11-26,7294,7294
2020-11-27,7294,7294
2020-11-28,7294,7294
2020-11-29,7294,7294
2020-11-30,7486,7486
2020-12-1,7486,7486
2020-12-2,7486,7486
2020-12-3,7486,7486
2020-12-4,7486,7486
2020-12-5,7486,7486
2020-12-6,7486,7486
2020-12-7,7703,7703
2020-12-8,7703,7703
2020-12-9,7703,7703
2020-12-10,7703,7703
2020-12-11,7703,7703
2020-12-12,7703,7703
2020-12-13,7703,7703
2020-12-14,7901,7901
2020-12-15,7901,7901
2020-12-16,7901,7901
2020-12-17,7901,7901
2020-12-18,7901,7901
2020-12-19,7901,7901
2020-12-20,7901,7901
2020-12-21,8039,8039
2020-12-22,8039,8039
2020-12-23,8039,8039
2020-12-24,8039,8039
2020-12-25,8039,8039
2020-12-26,8039,8039
2020-12-27,8039,8039
2020-12-28,8145,8145
2020-12-29,8145,8145
2020-12-30,8145,8145
2020-12-31,8145,8145
2021-1-1,8145,8145
2021-1-2,8145,8145
2021-1-3,8145,8145
2021-1-4,8260,8260
2021-1-5,8260,8260
2021-1-6,8260,8260
2021-1-7,8260,8260
2021-1-8,8260,8260
2021-1-9,8260,8260
2021-1-10,8260,8260
2021-1-11,8425,8425
2021-1-12,8425,8425
2021-1-13,8425,8425
2021-1-14,8425,8425
2021-1-15,8425,8425
2021-1-16,8425,8425
2021-1-17,8425,8425
2021-1-18,8546,8546
2021-1-19,8546,8546
2021-1-20,8546,8546
