Date,MTDATA.Hosp,MTDATA.HospCum
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,1,1
2020-3-27,7,7
2020-3-28,7,7
2020-3-29,8,8
2020-3-30,10,10
2020-3-31,14,14
2020-4-1,17,17
2020-4-2,20,20
2020-4-3,24,24
2020-4-4,24,24
2020-4-5,24,24
2020-4-6,24,24
2020-4-7,28,28
2020-4-8,31,31
2020-4-9,36,36
2020-4-10,41,41
2020-4-11,46,46
2020-4-12,47,47
2020-4-13,47,47
2020-4-14,50,50
2020-4-15,51,51
2020-4-16,52,52
2020-4-17,54,54
2020-4-18,55,55
2020-4-19,55,55
2020-4-20,57,57
2020-4-21,59,59
2020-4-22,59,59
2020-4-23,59,59
2020-4-24,59,59
2020-4-25,61,61
2020-4-26,61,61
2020-4-27,61,61
2020-4-28,61,61
2020-4-29,61,61
2020-4-30,61,61
2020-5-1,61,61
2020-5-2,61,61
2020-5-3,61,61
2020-5-4,62,62
2020-5-5,62,62
2020-5-6,62,62
2020-5-7,62,62
2020-5-8,62,62
2020-5-9,62,62
2020-5-10,62,62
2020-5-11,62,62
2020-5-12,63,63
2020-5-13,63,63
2020-5-14,63,63
2020-5-15,63,63
2020-5-16,63,63
2020-5-17,63,63
2020-5-18,64,64
2020-5-19,65,65
2020-5-20,65,65
2020-5-21,65,65
2020-5-22,65,65
2020-5-23,65,65
2020-5-24,65,65
2020-5-25,65,65
2020-5-26,65,65
2020-5-27,66,66
2020-5-28,66,66
2020-5-29,67,67
2020-5-30,67,67
2020-5-31,67,67
2020-6-1,67,67
2020-6-2,67,67
2020-6-3,68,68
2020-6-4,68,68
2020-6-5,68,68
2020-6-6,68,68
2020-6-7,69,69
2020-6-8,69,69
2020-6-9,72,72
2020-6-10,74,74
2020-6-11,74,74
2020-6-12,77,77
2020-6-13,77,77
2020-6-14,77,77
2020-6-15,78,78
2020-6-16,79,79
2020-6-17,78,78
2020-6-18,81,81
2020-6-19,82,82
2020-6-20,85,85
2020-6-21,89,89
2020-6-22,90,90
2020-6-23,91,91
2020-6-24,93,93
2020-6-25,93,93
2020-6-26,95,95
2020-6-27,95,95
2020-6-28,97,97
2020-6-29,100,100
2020-6-30,101,101
2020-7-1,105,105
2020-7-2,106,106
2020-7-3,109,109
2020-7-4,112,112
2020-7-5,112,112
2020-7-6,112,112
2020-7-7,117,117
2020-7-8,117,117
2020-7-9,120,120
2020-7-10,123,123
2020-7-11,127,127
2020-7-12,128,128
2020-7-13,133,133
2020-7-14,136,136
2020-7-15,145,145
2020-7-16,150,150
2020-7-17,159,159
2020-7-18,164,164
2020-7-19,165,165
2020-7-20,167,167
2020-7-21,174,174
2020-7-22,179,179
2020-7-23,183,183
2020-7-24,191,191
2020-7-25,195,195
2020-7-26,199,199
2020-7-27,201,201
2020-7-28,205,205
2020-7-29,211,211
2020-7-30,221,221
2020-7-31,230,230
2020-8-1,230,230
2020-8-2,233,233
2020-8-3,236,236
2020-8-4,238,238
2020-8-5,248,248
2020-8-6,259,259
2020-8-7,264,264
2020-8-8,268,268
2020-8-9,272,272
2020-8-10,273,273
2020-8-11,276,276
2020-8-12,301,301
2020-8-13,315,315
2020-8-14,319,319
2020-8-15,324,324
2020-8-16,326,326
2020-8-17,330,330
2020-8-18,339,339
2020-8-19,348,348
2020-8-20,357,357
2020-8-21,363,363
2020-8-22,378,378
2020-8-23,379,379
2020-8-24,383,383
2020-8-25,394,394
2020-8-26,402,402
2020-8-27,412,412
2020-8-28,417,417
2020-8-29,429,429
2020-8-30,432,432
2020-8-31,436,436
2020-9-1,447,447
2020-9-2,461,461
2020-9-3,472,472
2020-9-4,474,474
2020-9-5,477,477
2020-9-6,486,486
2020-9-7,498,498
2020-9-8,502,502
2020-9-9,509,509
2020-9-10,512,512
2020-9-11,518,518
2020-9-12,521,521
2020-9-13,525,525
2020-9-14,531,531
2020-9-15,539,539
2020-9-16,543,543
2020-9-17,549,549
2020-9-18,555,555
2020-9-19,567,567
2020-9-20,570,570
2020-9-21,576,576
2020-9-22,584,584
2020-9-23,601,601
2020-9-24,650,650
2020-9-25,675,675
2020-9-26,684,684
2020-9-27,687,687
2020-9-28,698,698
2020-9-29,709,709
2020-9-30,717,717
2020-10-1,727,727
2020-10-2,729,729
2020-10-3,741,741
2020-10-4,744,744
2020-10-5,754,754
2020-10-6,773,773
2020-10-7,820,820
2020-10-8,851,851
2020-10-9,868,868
2020-10-10,885,885
2020-10-11,892,892
2020-10-12,904,904
2020-10-13,911,911
2020-10-14,920,920
2020-10-15,959,959
2020-10-16,986,986
2020-10-17,1001,1001
2020-10-18,1010,1010
2020-10-19,1020,1020
2020-10-20,1055,1055
2020-10-21,1068,1068
2020-10-22,1091,1091
2020-10-23,1170,1170
2020-10-24,1180,1180
2020-10-25,1229,1229
2020-10-26,1237,1237
2020-10-27,1245,1245
2020-10-28,1298,1298
2020-10-29,1312,1312
2020-10-30,1327,1327
2020-10-31,1350,1350
2020-11-1,1357,1357
2020-11-2,1373,1373
2020-11-3,1384,1384
2020-11-4,1402,1402
2020-11-5,1421,1421
2020-11-6,1447,1447
2020-11-7,1465,1465
2020-11-8,1477,1477
2020-11-9,1492,1492
2020-11-10,1510,1510
2020-11-11,1530,1530
2020-11-12,1541,1541
2020-11-13,1556,1556
2020-11-14,2042,2042
2020-11-15,2047,2047
2020-11-16,2066,2066
2020-11-17,2161,2161
2020-11-18,2202,2202
2020-11-19,2221,2221
2020-11-20,2252,2252
2020-11-21,2336,2336
2020-11-22,2350,2350
2020-11-23,2377,2377
2020-11-24,2420,2420
2020-11-25,2474,2474
2020-11-26,2534,2534
2020-11-27,2526,2526
2020-11-28,2569,2569
2020-11-29,2569,2569
2020-11-30,2622,2622
2020-12-1,2680,2680
2020-12-2,2733,2733
2020-12-3,2762,2762
2020-12-4,2810,2810
2020-12-5,2815,2815
2020-12-6,2836,2836
2020-12-7,2875,2875
2020-12-8,2909,2909
2020-12-9,2963,2963
2020-12-10,3003,3003
2020-12-11,3039,3039
2020-12-12,3072,3072
2020-12-13,3080,3080
2020-12-14,3080,3080
2020-12-15,3119,3119
2020-12-16,3153,3153
2020-12-17,3199,3199
2020-12-18,3226,3226
2020-12-19,3248,3248
2020-12-20,3261,3261
2020-12-21,3280,3280
2020-12-22,3332,3332
2020-12-23,3360,3360
2020-12-24,3406,3406
2020-12-25,3406,3406
2020-12-26,3429,3429
2020-12-27,3451,3451
2020-12-28,3464,3464
2020-12-29,3514,3514
2020-12-30,3553,3553
2020-12-31,3568,3568
2021-1-1,3568,3568
2021-1-2,3618,3618
2021-1-3,3631,3631
2021-1-4,3650,3650
2021-1-5,3686,3686
2021-1-6,3738,3738
2021-1-7,3782,3782
2021-1-8,3814,3814
2021-1-9,3837,3837
2021-1-10,3834,3834
2021-1-11,3853,3853
2021-1-12,3883,3883
2021-1-13,3903,3903
2021-1-14,3917,3917
2021-1-15,3940,3940
2021-1-16,3957,3957
2021-1-17,3962,3962
2021-1-18,3974,3974
2021-1-19,3992,3992
2021-1-20,4022,4022
2021-1-21,4049,4049
2021-1-22,4081,4081
2021-1-23,4112,4112
2021-1-24,4125,4125
2021-1-25,4128,4128
2021-1-26,4141,4141
2021-1-27,4177,4177
2021-1-28,4203,4203
2021-1-29,4217,4217
2021-1-30,4246,4246
2021-1-31,4245,4245
2021-2-1,4248,4248
2021-2-2,4273,4273
2021-2-3,4307,4307
2021-2-4,4327,4327
2021-2-5,4341,4341
2021-2-6,4350,4350
2021-2-7,4353,4353
2021-2-8,4356,4356
2021-2-9,4374,4374
2021-2-10,4400,4400
2021-2-11,4414,4414
2021-2-12,4432,4432
2021-2-13,4441,4441
2021-2-14,4439,4439
2021-2-15,4444,4444
