Date,NDDATA.Hosp,NDDATA.HospCum
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,3,3
2020-3-22,3,3
2020-3-23,4,4
2020-3-24,5,5
2020-3-25,8,8
2020-3-26,10,10
2020-3-27,13,13
2020-3-28,16,16
2020-3-29,17,17
2020-3-30,19,19
2020-3-31,21,21
2020-4-1,23,23
2020-4-2,28,28
2020-4-3,29,29
2020-4-4,30,30
2020-4-5,31,31
2020-4-6,32,32
2020-4-7,33,33
2020-4-8,34,34
2020-4-9,34,34
2020-4-10,36,36
2020-4-11,36,36
2020-4-12,39,39
2020-4-13,40,40
2020-4-14,42,42
2020-4-15,44,44
2020-4-16,45,45
2020-4-17,47,47
2020-4-18,47,47
2020-4-19,51,51
2020-4-20,53,53
2020-4-21,54,54
2020-4-22,62,62
2020-4-23,65,65
2020-4-24,67,67
2020-4-25,70,70
2020-4-26,71,71
2020-4-27,77,77
2020-4-28,79,79
2020-4-29,82,82
2020-4-30,85,85
2020-5-1,86,86
2020-5-2,90,90
2020-5-3,90,90
2020-5-4,94,94
2020-5-5,95,95
2020-5-6,97,97
2020-5-7,102,102
2020-5-8,104,104
2020-5-9,110,110
2020-5-10,110,110
2020-5-11,115,115
2020-5-12,122,122
2020-5-13,127,127
2020-5-14,129,129
2020-5-15,130,130
2020-5-16,130,130
2020-5-17,130,130
2020-5-18,133,133
2020-5-19,135,135
2020-5-20,142,142
2020-5-21,144,144
2020-5-22,147,147
2020-5-23,150,150
2020-5-24,152,152
2020-5-25,154,154
2020-5-26,156,156
2020-5-27,161,161
2020-5-28,161,161
2020-5-29,164,164
2020-5-30,165,165
2020-5-31,167,167
2020-6-1,169,169
2020-6-2,170,170
2020-6-3,172,172
2020-6-4,175,175
2020-6-5,180,180
2020-6-6,182,182
2020-6-7,183,183
2020-6-8,184,184
2020-6-9,189,189
2020-6-10,193,193
2020-6-11,193,193
2020-6-12,197,197
2020-6-13,197,197
2020-6-14,197,197
2020-6-15,197,197
2020-6-16,200,200
2020-6-17,201,201
2020-6-18,208,208
2020-6-19,210,210
2020-6-20,213,213
2020-6-21,216,216
2020-6-22,218,218
2020-6-23,218,218
2020-6-24,219,219
2020-6-25,222,222
2020-6-26,222,222
2020-6-27,225,225
2020-6-28,226,226
2020-6-29,227,227
2020-6-30,231,231
2020-7-1,234,234
2020-7-2,234,234
2020-7-3,237,237
2020-7-4,241,241
2020-7-5,242,242
2020-7-6,245,245
2020-7-7,248,248
2020-7-8,252,252
2020-7-9,257,257
2020-7-10,260,260
2020-7-11,263,263
2020-7-12,271,271
2020-7-13,277,277
2020-7-14,280,280
2020-7-15,284,284
2020-7-16,285,285
2020-7-17,290,290
2020-7-18,295,295
2020-7-19,302,302
2020-7-20,305,305
2020-7-21,309,309
2020-7-22,317,317
2020-7-23,322,322
2020-7-24,325,325
2020-7-25,328,328
2020-7-26,333,333
2020-7-27,337,337
2020-7-28,343,343
2020-7-29,351,351
2020-7-30,356,356
2020-7-31,364,364
2020-8-1,371,371
2020-8-2,371,371
2020-8-3,379,379
2020-8-4,389,389
2020-8-5,394,394
2020-8-6,400,400
2020-8-7,408,408
2020-8-8,414,414
2020-8-9,415,415
2020-8-10,417,417
2020-8-11,430,430
2020-8-12,440,440
2020-8-13,445,445
2020-8-14,455,455
2020-8-15,457,457
2020-8-16,459,459
2020-8-17,461,461
2020-8-18,469,469
2020-8-19,478,478
2020-8-20,478,478
2020-8-21,491,491
2020-8-22,499,499
2020-8-23,501,501
2020-8-24,505,505
2020-8-25,519,519
2020-8-26,525,525
2020-8-27,534,534
2020-8-28,550,550
2020-8-29,551,551
2020-8-30,554,554
2020-8-31,554,554
2020-9-1,564,564
2020-9-2,575,575
2020-9-3,583,583
2020-9-4,590,590
2020-9-5,596,596
2020-9-6,598,598
2020-9-7,602,602
2020-9-8,604,604
2020-9-9,611,611
2020-9-10,624,624
2020-9-11,630,630
2020-9-12,634,634
2020-9-13,643,643
2020-9-14,646,646
2020-9-15,657,657
2020-9-16,674,674
2020-9-17,691,691
2020-9-18,705,705
2020-9-19,716,716
2020-9-20,723,723
2020-9-21,730,730
2020-9-22,752,752
2020-9-23,763,763
2020-9-24,777,777
2020-9-25,789,789
2020-9-26,809,809
2020-9-27,815,815
2020-9-28,828,828
2020-9-29,848,848
2020-9-30,859,859
2020-10-1,884,884
2020-10-2,902,902
2020-10-3,912,912
2020-10-4,925,925
2020-10-5,939,939
2020-10-6,968,968
2020-10-7,995,995
2020-10-8,1016,1016
2020-10-9,1037,1037
2020-10-10,1062,1062
2020-10-11,1076,1076
2020-10-12,1099,1099
2020-10-13,1126,1126
2020-10-14,1159,1159
2020-10-15,1192,1192
2020-10-16,1221,1221
2020-10-17,1242,1242
2020-10-18,1253,1253
2020-10-19,1267,1267
2020-10-20,1301,1301
2020-10-21,1324,1324
2020-10-22,1351,1351
2020-10-23,1388,1388
2020-10-24,1405,1405
2020-10-25,1417,1417
2020-10-26,1437,1437
2020-10-27,1478,1478
2020-10-28,1519,1519
2020-10-29,1547,1547
2020-10-30,1586,1586
2020-10-31,1618,1618
2020-11-1,1634,1634
2020-11-2,1656,1656
2020-11-3,1702,1702
2020-11-4,1738,1738
2020-11-5,1776,1776
2020-11-6,1817,1817
2020-11-7,1858,1858
2020-11-8,1881,1881
2020-11-9,1906,1906
2020-11-10,1906,1906
2020-11-11,1967,1967
2020-11-12,2082,2082
2020-11-13,2120,2120
2020-11-14,2153,2153
2020-11-15,2178,2178
2020-11-16,2195,2195
2020-11-17,2261,2261
2020-11-18,2307,2307
2020-11-19,2338,2338
2020-11-20,2390,2390
2020-11-21,2424,2424
2020-11-22,2459,2459
2020-11-23,2481,2481
2020-11-24,2528,2528
2020-11-25,2587,2587
2020-11-26,2608,2608
2020-11-27,2620,2620
2020-11-28,2649,2649
2020-11-29,2667,2667
2020-11-30,2708,2708
2020-12-1,2751,2751
2020-12-2,2791,2791
2020-12-3,2813,2813
2020-12-4,2842,2842
2020-12-5,2868,2868
2020-12-6,2880,2880
2020-12-7,2896,2896
2020-12-8,2896,2896
2020-12-9,2984,2984
2020-12-10,2984,2984
2020-12-11,2984,2984
2020-12-12,2984,2984
2020-12-13,2984,2984
2020-12-14,3073,3073
2020-12-15,3073,3073
2020-12-16,3073,3073
2020-12-17,3073,3073
2020-12-18,3349,3349
2020-12-19,3387,3387
2020-12-20,3394,3394
2020-12-21,3400,3400
2020-12-22,3421,3421
2020-12-23,3436,3436
2020-12-24,3472,3472
2020-12-25,3472,3472
2020-12-26,3485,3485
2020-12-27,3495,3495
2020-12-28,3500,3500
2020-12-29,3533,3533
2020-12-30,3542,3542
2020-12-31,3552,3552
2021-1-1,3552,3552
2021-1-2,3561,3561
2021-1-3,3570,3570
2021-1-4,3576,3576
2021-1-5,3597,3597
2021-1-6,3610,3610
2021-1-7,3623,3623
2021-1-8,3642,3642
2021-1-9,3644,3644
2021-1-10,3651,3651
2021-1-11,3656,3656
2021-1-12,3667,3667
2021-1-13,3683,3683
2021-1-14,3689,3689
2021-1-15,3699,3699
2021-1-16,3704,3704
2021-1-17,3704,3704
2021-1-18,3710,3710
2021-1-19,3719,3719
2021-1-20,3723,3723
2021-1-21,3732,3732
2021-1-22,3736,3736
2021-1-23,3739,3739
2021-1-24,3741,3741
2021-1-25,3745,3745
2021-1-26,3752,3752
2021-1-27,3757,3757
2021-1-28,3766,3766
2021-1-29,3775,3775
2021-1-30,3778,3778
2021-1-31,3780,3780
2021-2-1,3782,3782
2021-2-2,3789,3789
2021-2-3,3794,3794
2021-2-4,3797,3797
2021-2-5,3797,3797
2021-2-6,3801,3801
2021-2-7,3805,3805
2021-2-8,3811,3811
2021-2-9,3814,3814
2021-2-10,3820,3820
2021-2-11,3827,3827
2021-2-12,3827,3827
2021-2-13,3828,3828
2021-2-14,3831,3831
