Date,NEDATA.Hosp,NEDATA.HospCum
2020-2-15,0,0
2020-2-16,0,0
2020-2-17,0,0
2020-2-18,0,0
2020-2-19,0,0
2020-2-20,0,0
2020-2-21,0,0
2020-2-22,0,0
2020-2-23,0,0
2020-2-24,0,0
2020-2-25,0,0
2020-2-26,0,0
2020-2-27,0,0
2020-2-28,0,0
2020-2-29,0,0
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,0,0
2020-4-10,0,0
2020-4-11,0,0
2020-4-12,0,0
2020-4-13,0,0
2020-4-14,0,0
2020-4-15,0,0
2020-4-16,0,0
2020-4-17,0,0
2020-4-18,0,0
2020-4-19,0,0
2020-4-20,0,0
2020-4-21,0,0
2020-4-22,0,0
2020-4-23,0,0
2020-4-24,0,0
2020-4-25,0,0
2020-4-26,0,0
2020-4-27,0,0
2020-4-28,0,0
2020-4-29,0,0
2020-4-30,0,0
2020-5-1,0,0
2020-5-2,0,0
2020-5-3,0,0
2020-5-4,0,0
2020-5-5,0,0
2020-5-6,0,0
2020-5-7,0,0
2020-5-8,0,0
2020-5-9,0,0
2020-5-10,0,0
2020-5-11,0,0
2020-5-12,0,0
2020-5-13,0,0
2020-5-14,0,0
2020-5-15,0,0
2020-5-16,0,0
2020-5-17,0,0
2020-5-18,0,0
2020-5-19,0,0
2020-5-20,0,0
2020-5-21,0,0
2020-5-22,0,0
2020-5-23,0,0
2020-5-24,0,0
2020-5-25,0,0
2020-5-26,0,0
2020-5-27,0,0
2020-5-28,0,0
2020-5-29,0,0
2020-5-30,0,0
2020-5-31,0,0
2020-6-1,0,0
2020-6-2,0,0
2020-6-3,851,851
2020-6-4,902,902
2020-6-5,905,905
2020-6-6,919,919
2020-6-7,928,928
2020-6-8,935,935
2020-6-9,967,967
2020-6-10,989,989
2020-6-11,1000,1000
2020-6-12,1029,1029
2020-6-13,1067,1067
2020-6-14,1070,1070
2020-6-15,1075,1075
2020-6-16,1088,1088
2020-6-17,1116,1116
2020-6-18,1141,1141
2020-6-19,1166,1166
2020-6-20,1200,1200
2020-6-21,1212,1212
2020-6-22,1212,1212
2020-6-23,1234,1234
2020-6-24,1257,1257
2020-6-25,1268,1268
2020-6-26,1294,1294
2020-6-27,1312,1312
2020-6-28,1315,1315
2020-6-29,1316,1316
2020-6-30,1330,1330
2020-7-1,1330,1330
2020-7-2,1343,1343
2020-7-3,1353,1353
2020-7-4,1365,1365
2020-7-5,1368,1368
2020-7-6,1369,1369
2020-7-7,1369,1369
2020-7-8,1398,1398
2020-7-9,1405,1405
2020-7-10,1419,1419
2020-7-11,1419,1419
2020-7-12,1421,1421
2020-7-13,1421,1421
2020-7-14,1431,1431
2020-7-15,1442,1442
2020-7-16,1453,1453
2020-7-17,1453,1453
2020-7-18,1480,1480
2020-7-19,1481,1481
2020-7-20,1482,1482
2020-7-21,1502,1502
2020-7-22,1508,1508
2020-7-23,1522,1522
2020-7-24,1548,1548
2020-7-25,1548,1548
2020-7-26,1567,1567
2020-7-27,1570,1570
2020-7-28,1587,1587
2020-7-29,1606,1606
2020-7-30,1610,1610
2020-7-31,1610,1610
2020-8-1,1622,1622
2020-8-2,1629,1629
2020-8-3,1630,1630
2020-8-4,1644,1644
2020-8-5,1644,1644
2020-8-6,1681,1681
2020-8-7,1688,1688
2020-8-8,1704,1704
2020-8-9,1715,1715
2020-8-10,1722,1722
2020-8-11,1741,1741
2020-8-12,1880,1880
2020-8-13,1880,1880
2020-8-14,1880,1880
2020-8-15,1880,1880
2020-8-16,1883,1883
2020-8-17,1883,1883
2020-8-18,1883,1883
2020-8-19,1835,1835
2020-8-20,1851,1851
2020-8-21,1877,1877
2020-8-22,1891,1891
2020-8-23,1907,1907
2020-8-24,1910,1910
2020-8-25,1930,1930
2020-8-26,1946,1946
2020-8-27,1954,1954
2020-8-28,1968,1968
2020-8-29,1982,1982
2020-8-30,1992,1992
2020-8-31,1994,1994
2020-9-1,2006,2006
2020-9-2,2014,2014
2020-9-3,2027,2027
2020-9-4,2033,2033
2020-9-5,2060,2060
2020-9-6,2065,2065
2020-9-7,2068,2068
2020-9-8,2079,2079
2020-9-9,2089,2089
2020-9-10,2108,2108
2020-9-11,2119,2119
2020-9-12,2131,2131
2020-9-13,2137,2137
2020-9-14,2139,2139
2020-9-15,2154,2154
2020-9-16,2167,2167
2020-9-17,2172,2172
2020-9-18,2181,2181
2020-9-19,2194,2194
2020-9-20,2194,2194
2020-9-21,2194,2194
2020-9-22,2208,2208
2020-9-23,2214,2214
2020-9-24,2247,2247
2020-9-25,2259,2259
2020-9-26,2276,2276
2020-9-27,2279,2279
2020-9-28,2280,2280
2020-9-29,2301,2301
2020-9-30,2315,2315
2020-10-1,2349,2349
2020-10-2,2356,2356
2020-10-3,2379,2379
2020-10-4,2388,2388
2020-10-5,2397,2397
2020-10-6,2407,2407
2020-10-7,2436,2436
2020-10-8,2468,2468
2020-10-9,2481,2481
2020-10-10,2499,2499
2020-10-11,2526,2526
2020-10-12,2526,2526
2020-10-13,2543,2543
2020-10-14,2555,2555
2020-10-15,2593,2593
2020-10-16,2631,2631
2020-10-17,2647,2647
2020-10-18,2650,2650
2020-10-19,2658,2658
2020-10-20,2680,2680
2020-10-21,2706,2706
2020-10-22,2741,2741
2020-10-23,2783,2783
2020-10-24,2817,2817
2020-10-25,2833,2833
2020-10-26,2846,2846
2020-10-27,2875,2875
2020-10-28,2905,2905
2020-10-29,2950,2950
2020-10-30,2977,2977
2020-10-31,3033,3033
2020-11-1,3042,3042
2020-11-2,3050,3050
2020-11-3,3076,3076
2020-11-4,3122,3122
2020-11-5,3148,3148
2020-11-6,3201,3201
2020-11-7,3246,3246
2020-11-8,3280,3280
2020-11-9,3289,3289
2020-11-10,3321,3321
2020-11-11,3366,3366
2020-11-12,3481,3481
2020-11-13,3460,3460
2020-11-14,3522,3522
2020-11-15,3551,3551
2020-11-16,3575,3575
2020-11-17,3651,3651
2020-11-18,3726,3726
2020-11-19,3726,3726
2020-11-20,3859,3859
2020-11-21,3915,3915
2020-11-22,3944,3944
2020-11-23,3963,3963
2020-11-24,4049,4049
2020-11-25,4126,4126
2020-11-26,4182,4182
2020-11-27,4192,4192
2020-11-28,4216,4216
2020-11-29,4246,4246
2020-11-30,4277,4277
2020-12-1,4316,4316
2020-12-2,4380,4380
2020-12-3,4425,4425
2020-12-4,4479,4479
2020-12-5,4506,4506
2020-12-6,4547,4547
2020-12-7,4562,4562
2020-12-8,4619,4619
2020-12-9,4664,4664
2020-12-10,4699,4699
2020-12-11,4734,4734
2020-12-12,4765,4765
2020-12-13,4784,4784
2020-12-14,4796,4796
2020-12-15,4831,4831
