Date,NHDATA.Hosp,NHDATA.HospCum
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,11,11
2020-3-24,13,13
2020-3-25,19,19
2020-3-26,25,25
2020-3-27,30,30
2020-3-28,33,33
2020-3-29,39,39
2020-3-30,45,45
2020-3-31,49,49
2020-4-1,58,58
2020-4-2,73,73
2020-4-3,80,80
2020-4-4,86,86
2020-4-5,92,92
2020-4-6,103,103
2020-4-7,108,108
2020-4-8,118,118
2020-4-9,124,124
2020-4-10,134,134
2020-4-11,146,146
2020-4-12,152,152
2020-4-13,152,152
2020-4-14,163,163
2020-4-15,178,178
2020-4-16,187,187
2020-4-17,190,190
2020-4-18,192,192
2020-4-19,198,198
2020-4-20,201,201
2020-4-21,206,206
2020-4-22,213,213
2020-4-23,218,218
2020-4-24,224,224
2020-4-25,238,238
2020-4-26,242,242
2020-4-27,246,246
2020-4-28,249,249
2020-4-29,259,259
2020-4-30,262,262
2020-5-1,270,270
2020-5-2,277,277
2020-5-3,282,282
2020-5-4,286,286
2020-5-5,295,295
2020-5-6,307,307
2020-5-7,308,308
2020-5-8,309,309
2020-5-9,313,313
2020-5-10,315,315
2020-5-11,318,318
2020-5-12,319,319
2020-5-13,326,326
2020-5-14,330,330
2020-5-15,335,335
2020-5-16,347,347
2020-5-17,359,359
2020-5-18,368,368
2020-5-19,383,383
2020-5-20,385,385
2020-5-21,393,393
2020-5-22,408,408
2020-5-23,419,419
2020-5-24,419,419
2020-5-25,420,420
2020-5-26,421,421
2020-5-27,426,426
2020-5-28,438,438
2020-5-29,440,440
2020-5-30,449,449
2020-5-31,451,451
2020-6-1,456,456
