Date,NJDATA.Hosp,NJDATA.HospCum
2020-2-10,0,0
2020-2-11,0,0
2020-2-12,0,0
2020-2-13,0,0
2020-2-14,0,0
2020-2-15,0,0
2020-2-16,0,0
2020-2-17,0,0
2020-2-18,0,0
2020-2-19,0,0
2020-2-20,0,0
2020-2-21,0,0
2020-2-22,0,0
2020-2-23,0,0
2020-2-24,0,0
2020-2-25,0,0
2020-2-26,0,0
2020-2-27,0,0
2020-2-28,0,0
2020-2-29,0,0
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,0,0
2020-4-10,0,0
2020-4-11,0,0
2020-4-12,0,0
2020-4-13,0,0
2020-4-14,0,0
2020-4-15,0,0
2020-4-16,0,0
2020-4-17,0,0
2020-4-18,0,0
2020-4-19,0,0
2020-4-20,0,0
2020-4-21,0,0
2020-4-22,0,0
2020-4-23,0,0
2020-4-24,0,0
2020-4-25,0,0
2020-4-26,0,0
2020-4-27,0,0
2020-4-28,0,0
2020-4-29,0,0
2020-4-30,0,0
2020-5-1,0,0
2020-5-2,0,0
2020-5-3,0,0
2020-5-4,0,0
2020-5-5,0,0
2020-5-6,0,0
2020-5-7,0,0
2020-5-8,0,0
2020-5-9,0,0
2020-5-10,0,0
2020-5-11,0,0
2020-5-12,0,0
2020-5-13,0,0
2020-5-14,0,0
2020-5-15,0,0
2020-5-16,0,0
2020-5-17,0,0
2020-5-18,0,0
2020-5-19,0,0
2020-5-20,0,0
2020-5-21,0,0
2020-5-22,0,0
2020-5-23,0,0
2020-5-24,0,0
2020-5-25,0,0
2020-5-26,16373,16373
2020-5-27,16597,16597
2020-5-28,16778,16778
2020-5-29,16960,16960
2020-5-30,17121,17121
2020-5-31,17197,17197
2020-6-1,17222,17222
2020-6-2,17390,17390
2020-6-3,17390,17390
2020-6-4,17604,17604
2020-6-5,17880,17880
2020-6-6,18023,18023
2020-6-7,18050,18050
2020-6-8,18050,18050
2020-6-9,18069,18069
2020-6-10,18223,18223
2020-6-11,18492,18492
2020-6-12,18607,18607
2020-6-13,18707,18707
2020-6-14,18737,18737
2020-6-15,18755,18755
2020-6-16,18879,18879
2020-6-17,19010,19010
2020-6-18,19010,19010
2020-6-19,19267,19267
2020-6-20,19267,19267
2020-6-21,19267,19267
2020-6-22,19401,19401
2020-6-23,19512,19512
2020-6-24,19598,19598
2020-6-25,19668,19668
2020-6-26,19752,19752
2020-6-27,19823,19823
2020-6-28,19841,19841
2020-6-29,19847,19847
2020-6-30,19847,19847
2020-7-1,20054,20054
2020-7-2,20141,20141
2020-7-3,20214,20214
2020-7-4,20233,20233
2020-7-5,20237,20237
2020-7-6,20237,20237
2020-7-7,20246,20246
2020-7-8,20426,20426
2020-7-9,20505,20505
2020-7-10,20567,20567
2020-7-11,20632,20632
2020-7-12,20632,20632
2020-7-13,20632,20632
2020-7-14,20632,20632
2020-7-15,20774,20774
2020-7-16,20774,20774
2020-7-17,21003,21003
2020-7-18,21064,21064
2020-7-19,21064,21064
2020-7-20,21058,21058
2020-7-21,21099,21099
2020-7-22,21184,21184
2020-7-23,21184,21184
2020-7-24,21184,21184
2020-7-25,21314,21314
2020-7-26,21314,21314
2020-7-27,21321,21321
2020-7-28,21321,21321
2020-7-29,21321,21321
2020-7-30,21565,21565
2020-7-31,21565,21565
2020-8-1,21565,21565
2020-8-2,21565,21565
2020-8-3,21565,21565
2020-8-4,21565,21565
2020-8-5,21565,21565
2020-8-6,21565,21565
2020-8-7,21949,21949
2020-8-8,21949,21949
2020-8-9,21992,21992
