Date,NMDATA.Hosp,NMDATA.HospCum
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,0,0
2020-4-10,0,0
2020-4-11,0,0
2020-4-12,0,0
2020-4-13,181,181
2020-4-14,181,181
2020-4-15,215,215
2020-4-16,230,230
2020-4-17,242,242
2020-4-18,258,258
2020-4-19,274,274
2020-4-20,291,291
2020-4-21,306,306
2020-4-22,331,331
2020-4-23,367,367
2020-4-24,412,412
2020-4-25,412,412
2020-4-26,412,412
2020-4-27,481,481
2020-4-28,509,509
2020-4-29,536,536
2020-4-30,536,536
2020-5-1,587,587
2020-5-2,587,587
2020-5-3,587,587
2020-5-4,667,667
2020-5-5,687,687
2020-5-6,687,687
2020-5-7,760,760
2020-5-8,789,789
2020-5-9,789,789
2020-5-10,789,789
2020-5-11,886,886
2020-5-12,886,886
2020-5-13,886,886
2020-5-14,886,886
2020-5-15,886,886
2020-5-16,886,886
2020-5-17,886,886
2020-5-18,886,886
2020-5-19,886,886
2020-5-20,1139,1139
2020-5-21,1139,1139
2020-5-22,1139,1139
2020-5-23,1139,1139
2020-5-24,1243,1243
2020-5-25,1264,1264
2020-5-26,1282,1282
2020-5-27,1282,1282
2020-5-28,1317,1317
2020-5-29,1317,1317
2020-5-30,1317,1317
2020-5-31,1317,1317
2020-6-1,1317,1317
2020-6-2,1416,1416
2020-6-3,1416,1416
2020-6-4,1416,1416
2020-6-5,1489,1489
2020-6-6,1489,1489
2020-6-7,1533,1533
2020-6-8,1558,1558
2020-6-9,1583,1583
2020-6-10,1583,1583
2020-6-11,1625,1625
2020-6-12,1625,1625
2020-6-13,1625,1625
2020-6-14,1625,1625
2020-6-15,1686,1686
2020-6-16,1698,1698
2020-6-17,1715,1715
2020-6-18,1726,1726
2020-6-19,1735,1735
2020-6-20,1740,1740
2020-6-21,1746,1746
2020-6-22,1754,1754
2020-6-23,1776,1776
2020-6-24,1793,1793
2020-6-25,1811,1811
2020-6-26,1828,1828
2020-6-27,1851,1851
2020-6-28,1865,1865
2020-6-29,1876,1876
2020-6-30,1902,1902
2020-7-1,1928,1928
2020-7-2,1945,1945
2020-7-3,1970,1970
2020-7-4,1988,1988
2020-7-5,2006,2006
2020-7-6,2033,2033
2020-7-7,2056,2056
2020-7-8,2101,2101
2020-7-9,2137,2137
2020-7-10,2161,2161
2020-7-11,2187,2187
2020-7-12,2204,2204
2020-7-13,2227,2227
2020-7-14,2261,2261
2020-7-15,2284,2284
2020-7-16,2312,2312
2020-7-17,2337,2337
2020-7-18,2364,2364
2020-7-19,2387,2387
2020-7-20,2399,2399
2020-7-21,2433,2433
2020-7-22,2470,2470
2020-7-23,2500,2500
2020-7-24,2525,2525
2020-7-25,2542,2542
2020-7-26,2560,2560
2020-7-27,2590,2590
2020-7-28,2614,2614
2020-7-29,2643,2643
2020-7-30,2667,2667
2020-7-31,2686,2686
2020-8-1,2703,2703
2020-8-2,2720,2720
2020-8-3,2730,2730
2020-8-4,2753,2753
2020-8-5,2781,2781
2020-8-6,2803,2803
2020-8-7,2819,2819
2020-8-8,2838,2838
2020-8-9,2851,2851
2020-8-10,2870,2870
2020-8-11,2897,2897
2020-8-12,2907,2907
2020-8-13,2928,2928
2020-8-14,2946,2946
2020-8-15,2957,2957
2020-8-16,2965,2965
2020-8-17,2984,2984
2020-8-18,2998,2998
2020-8-19,3002,3002
2020-8-20,3009,3009
2020-8-21,3018,3018
2020-8-22,3030,3030
2020-8-23,3031,3031
2020-8-24,3041,3041
2020-8-25,3050,3050
2020-8-26,3074,3074
2020-8-27,3091,3091
2020-8-28,3106,3106
2020-8-29,3116,3116
2020-8-30,3126,3126
2020-8-31,3134,3134
2020-9-1,3151,3151
2020-9-2,3159,3159
2020-9-3,3169,3169
2020-9-4,3171,3171
2020-9-5,3171,3171
2020-9-6,3186,3186
2020-9-7,3195,3195
2020-9-8,3202,3202
2020-9-9,3219,3219
2020-9-10,3238,3238
2020-9-11,3247,3247
2020-9-12,3263,3263
2020-9-13,3267,3267
2020-9-14,3274,3274
2020-9-15,3284,3284
2020-9-16,3294,3294
2020-9-17,3313,3313
2020-9-18,3320,3320
2020-9-19,3335,3335
2020-9-20,3341,3341
2020-9-21,3358,3358
2020-9-22,3371,3371
2020-9-23,3388,3388
2020-9-24,3402,3402
2020-9-25,3420,3420
2020-9-26,3435,3435
2020-9-27,3443,3443
2020-9-28,3463,3463
2020-9-29,3475,3475
2020-9-30,3495,3495
2020-10-1,3518,3518
2020-10-2,3534,3534
2020-10-3,3549,3549
2020-10-4,3561,3561
2020-10-5,3581,3581
2020-10-6,3609,3609
2020-10-7,3625,3625
2020-10-8,3652,3652
2020-10-9,3678,3678
2020-10-10,3704,3704
2020-10-11,3710,3710
2020-10-12,3735,3735
2020-10-13,3758,3758
2020-10-14,3789,3789
2020-10-15,3819,3819
2020-10-16,3861,3861
2020-10-17,3911,3911
2020-10-18,3940,3940
2020-10-19,3977,3977
2020-10-20,4030,4030
2020-10-21,4079,4079
2020-10-22,4128,4128
2020-10-23,4169,4169
2020-10-24,4239,4239
2020-10-25,4277,4277
2020-10-26,4321,4321
2020-10-27,4377,4377
2020-10-28,4429,4429
2020-10-29,4492,4492
2020-10-30,4553,4553
2020-10-31,4617,4617
2020-11-1,4673,4673
2020-11-2,4737,4737
2020-11-3,4837,4837
2020-11-4,4896,4896
2020-11-5,4969,4969
2020-11-6,5020,5020
2020-11-7,5091,5091
2020-11-8,5122,5122
2020-11-9,5204,5204
2020-11-10,5265,5265
2020-11-11,5356,5356
2020-11-12,5408,5408
2020-11-13,5472,5472
2020-11-14,5523,5523
2020-11-15,5570,5570
2020-11-16,5684,5684
2020-11-17,5786,5786
2020-11-18,5875,5875
2020-11-19,5965,5965
2020-11-20,6011,6011
2020-11-21,6072,6072
2020-11-22,6105,6105
2020-11-23,6229,6229
2020-11-24,6309,6309
2020-11-25,6381,6381
2020-11-26,6494,6494
2020-11-27,6542,6542
2020-11-28,6631,6631
