Date,OHDATA.Hosp,OHDATA.HospCum
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,58,58
2020-3-22,83,83
2020-3-23,104,104
2020-3-24,145,145
2020-3-25,182,182
2020-3-26,223,223
2020-3-27,276,276
2020-3-28,344,344
2020-3-29,403,403
2020-3-30,475,475
2020-3-31,585,585
2020-4-1,679,679
2020-4-2,802,802
2020-4-3,895,895
2020-4-4,1006,1006
2020-4-5,1104,1104
2020-4-6,1214,1214
2020-4-7,1354,1354
2020-4-8,1495,1495
2020-4-9,1612,1612
2020-4-10,1755,1755
2020-4-11,1859,1859
2020-4-12,1948,1948
2020-4-13,2033,2033
2020-4-14,2156,2156
2020-4-15,2237,2237
2020-4-16,2331,2331
2020-4-17,2424,2424
2020-4-18,2519,2519
2020-4-19,2565,2565
2020-4-20,2653,2653
2020-4-21,2779,2779
2020-4-22,2882,2882
2020-4-23,2960,2960
2020-4-24,3053,3053
2020-4-25,3115,3115
2020-4-26,3178,3178
2020-4-27,3232,3232
2020-4-28,3340,3340
2020-4-29,3421,3421
2020-4-30,3533,3533
2020-5-1,3634,3634
2020-5-2,3712,3712
2020-5-3,3769,3769
2020-5-4,3809,3809
2020-5-5,3956,3956
2020-5-6,4052,4052
2020-5-7,4140,4140
2020-5-8,4218,4218
2020-5-9,4300,4300
2020-5-10,4351,4351
2020-5-11,4413,4413
2020-5-12,4539,4539
2020-5-13,4618,4618
2020-5-14,4718,4718
2020-5-15,4791,4791
2020-5-16,4870,4870
2020-5-17,4921,4921
2020-5-18,4998,4998
2020-5-19,5117,5117
2020-5-20,5198,5198
2020-5-21,5295,5295
2020-5-22,5379,5379
2020-5-23,5437,5437
2020-5-24,5476,5476
2020-5-25,5511,5511
2020-5-26,5579,5579
2020-5-27,5700,5700
2020-5-28,5811,5811
2020-5-29,5947,5947
2020-5-30,6011,6011
2020-5-31,6049,6049
2020-6-1,6112,6112
2020-6-2,6176,6176
2020-6-3,6251,6251
2020-6-4,6312,6312
2020-6-5,6385,6385
2020-6-6,6460,6460
2020-6-7,6497,6497
2020-6-8,6550,6550
2020-6-9,6620,6620
2020-6-10,6693,6693
2020-6-11,6753,6753
2020-6-12,6814,6814
2020-6-13,6864,6864
2020-6-14,6895,6895
2020-6-15,6948,6948
2020-6-16,7007,7007
2020-6-17,7051,7051
2020-6-18,7104,7104
2020-6-19,7167,7167
2020-6-20,7201,7201
2020-6-21,7242,7242
2020-6-22,7292,7292
2020-6-23,7379,7379
2020-6-24,7447,7447
2020-6-25,7502,7502
2020-6-26,7570,7570
2020-6-27,7624,7624
2020-6-28,7681,7681
2020-6-29,7746,7746
2020-6-30,7839,7839
2020-7-1,7911,7911
2020-7-2,8038,8038
2020-7-3,8084,8084
2020-7-4,8111,8111
2020-7-5,8172,8172
2020-7-6,8249,8249
2020-7-7,8383,8383
2020-7-8,8489,8489
2020-7-9,8570,8570
2020-7-10,8701,8701
2020-7-11,8770,8770
2020-7-12,8842,8842
2020-7-13,8915,8915
2020-7-14,9049,9049
2020-7-15,9209,9209
2020-7-16,9324,9324
2020-7-17,9445,9445
2020-7-18,9513,9513
2020-7-19,9555,9555
2020-7-20,9610,9610
2020-7-21,9736,9736
2020-7-22,9864,9864
2020-7-23,9968,9968
2020-7-24,10072,10072
2020-7-25,10145,10145
2020-7-26,10199,10199
2020-7-27,10285,10285
2020-7-28,10425,10425
2020-7-29,10553,10553
2020-7-30,10678,10678
2020-7-31,10790,10790
2020-8-1,10857,10857
2020-8-2,10900,10900
2020-8-3,10992,10992
2020-8-4,11119,11119
2020-8-5,11231,11231
2020-8-6,11366,11366
2020-8-7,11447,11447
2020-8-8,11516,11516
2020-8-9,11565,11565
2020-8-10,11629,11629
2020-8-11,11760,11760
2020-8-12,11901,11901
2020-8-13,12023,12023
2020-8-14,12128,12128
2020-8-15,12210,12210
2020-8-16,12236,12236
2020-8-17,12319,12319
2020-8-18,12436,12436
2020-8-19,12529,12529
2020-8-20,12615,12615
2020-8-21,12719,12719
2020-8-22,12778,12778
2020-8-23,12800,12800
2020-8-24,12859,12859
2020-8-25,12956,12956
2020-8-26,13043,13043
2020-8-27,13150,13150
2020-8-28,13221,13221
2020-8-29,13288,13288
2020-8-30,13317,13317
2020-8-31,13376,13376
2020-9-1,13479,13479
2020-9-2,13574,13574
2020-9-3,13663,13663
2020-9-4,13731,13731
2020-9-5,13808,13808
2020-9-6,13841,13841
2020-9-7,13887,13887
2020-9-8,13967,13967
2020-9-9,14083,14083
2020-9-10,14164,14164
2020-9-11,14236,14236
2020-9-12,14284,14284
2020-9-13,14314,14314
2020-9-14,14378,14378
2020-9-15,14481,14481
2020-9-16,14560,14560
2020-9-17,14625,14625
2020-9-18,14687,14687
2020-9-19,14750,14750
2020-9-20,14773,14773
2020-9-21,14829,14829
2020-9-22,14899,14899
2020-9-23,14977,14977
2020-9-24,15051,15051
2020-9-25,15127,15127
2020-9-26,15185,15185
2020-9-27,15216,15216
2020-9-28,15307,15307
2020-9-29,15413,15413
2020-9-30,15516,15516
2020-10-1,15606,15606
2020-10-2,15688,15688
2020-10-3,15735,15735
2020-10-4,15767,15767
2020-10-5,15840,15840
2020-10-6,15972,15972
2020-10-7,16091,16091
2020-10-8,16200,16200
2020-10-9,16301,16301
2020-10-10,16355,16355
2020-10-11,16399,16399
2020-10-12,16442,16442
2020-10-13,16565,16565
2020-10-14,16716,16716
2020-10-15,16824,16824
2020-10-16,16910,16910
2020-10-17,17009,17009
2020-10-18,17061,17061
2020-10-19,17172,17172
2020-10-20,17388,17388
2020-10-21,17523,17523
2020-10-22,17682,17682
2020-10-23,17866,17866
2020-10-24,18006,18006
2020-10-25,18095,18095
2020-10-26,18235,18235
2020-10-27,18433,18433
2020-10-28,18606,18606
2020-10-29,18800,18800
2020-10-30,18969,18969
2020-10-31,19132,19132
2020-11-1,19220,19220
2020-11-2,19402,19402
2020-11-3,19615,19615
2020-11-4,19801,19801
2020-11-5,20015,20015
2020-11-6,20246,20246
2020-11-7,20395,20395
2020-11-8,20497,20497
2020-11-9,20651,20651
2020-11-10,21037,21037
2020-11-11,21290,21290
2020-11-12,21558,21558
2020-11-13,21856,21856
2020-11-14,22076,22076
2020-11-15,22265,22265
2020-11-16,22478,22478
2020-11-17,22846,22846
2020-11-18,23217,23217
2020-11-19,23560,23560
2020-11-20,23958,23958
2020-11-21,24218,24218
