Date,OKDATA.Hosp,OKDATA.HospCum
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,10,10
2020-3-22,11,11
2020-3-23,15,15
2020-3-24,25,25
2020-3-25,59,59
2020-3-26,86,86
2020-3-27,105,105
2020-3-28,126,126
2020-3-29,140,140
2020-3-30,153,153
2020-3-31,177,177
2020-4-1,219,219
2020-4-2,257,257
2020-4-3,289,289
2020-4-4,316,316
2020-4-5,330,330
2020-4-6,340,340
2020-4-7,376,376
2020-4-8,390,390
2020-4-9,415,415
2020-4-10,428,428
2020-4-11,446,446
2020-4-12,446,446
2020-4-13,457,457
2020-4-14,488,488
2020-4-15,510,510
2020-4-16,528,528
2020-4-17,528,528
2020-4-18,541,541
2020-4-19,541,541
2020-4-20,541,541
2020-4-21,561,561
2020-4-22,588,588
2020-4-23,622,622
2020-4-24,637,637
2020-4-25,637,637
2020-4-26,653,653
2020-4-27,656,656
2020-4-28,656,656
2020-4-29,693,693
2020-4-30,703,703
2020-5-1,715,715
2020-5-2,743,743
2020-5-3,743,743
2020-5-4,753,753
2020-5-5,773,773
2020-5-6,773,773
2020-5-7,805,805
2020-5-8,805,805
2020-5-9,822,822
2020-5-10,826,826
2020-5-11,828,828
2020-5-12,828,828
2020-5-13,848,848
2020-5-14,858,858
2020-5-15,863,863
2020-5-16,878,878
2020-5-17,880,880
2020-5-18,885,885
2020-5-19,897,897
2020-5-20,905,905
2020-5-21,917,917
2020-5-22,926,926
2020-5-23,926,926
2020-5-24,938,938
2020-5-25,938,938
2020-5-26,941,941
2020-5-27,941,941
2020-5-28,975,975
2020-5-29,982,982
2020-5-30,982,982
2020-5-31,985,985
2020-6-1,986,986
2020-6-2,994,994
2020-6-3,1003,1003
2020-6-4,1014,1014
2020-6-5,1014,1014
2020-6-6,1026,1026
2020-6-7,1026,1026
2020-6-8,1039,1039
2020-6-9,1061,1061
2020-6-10,1075,1075
2020-6-11,1092,1092
2020-6-12,1103,1103
2020-6-13,1111,1111
2020-6-14,1116,1116
2020-6-15,1117,1117
2020-6-16,1130,1130
2020-6-17,1146,1146
2020-6-18,1146,1146
2020-6-19,1209,1209
2020-6-20,1229,1229
2020-6-21,1243,1243
2020-6-22,1268,1268
2020-6-23,1288,1288
2020-6-24,1319,1319
2020-6-25,1336,1336
2020-6-26,1393,1393
2020-6-27,1440,1440
2020-6-28,1456,1456
2020-6-29,1489,1489
2020-6-30,1520,1520
2020-7-1,1553,1553
2020-7-2,1615,1615
2020-7-3,1661,1661
2020-7-4,1676,1676
2020-7-5,1685,1685
2020-7-6,1689,1689
2020-7-7,1741,1741
2020-7-8,1804,1804
2020-7-9,1893,1893
2020-7-10,1949,1949
2020-7-11,1992,1992
2020-7-12,2032,2032
2020-7-13,2063,2063
2020-7-14,2116,2116
2020-7-15,2170,2170
2020-7-16,2218,2218
2020-7-17,2289,2289
2020-7-18,2375,2375
2020-7-19,2388,2388
2020-7-20,2403,2403
2020-7-21,2403,2403
2020-7-22,2540,2540
2020-7-23,2596,2596
2020-7-24,2687,2687
2020-7-25,2768,2768
2020-7-26,2835,2835
2020-7-27,2872,2872
2020-7-28,2987,2987
2020-7-29,3041,3041
2020-7-30,3104,3104
2020-7-31,3161,3161
2020-8-1,3228,3228
2020-8-2,3241,3241
2020-8-3,3275,3275
2020-8-4,3375,3375
2020-8-5,3445,3445
2020-8-6,3497,3497
2020-8-7,3555,3555
2020-8-8,3594,3594
2020-8-9,3605,3605
2020-8-10,3625,3625
2020-8-11,3760,3760
2020-8-12,3842,3842
2020-8-13,3901,3901
2020-8-14,3953,3953
2020-8-15,3998,3998
2020-8-16,4013,4013
2020-8-17,4021,4021
2020-8-18,4115,4115
2020-8-19,4192,4192
2020-8-20,4268,4268
2020-8-21,4316,4316
2020-8-22,4368,4368
2020-8-23,4422,4422
2020-8-24,4431,4431
2020-8-25,4527,4527
2020-8-26,4609,4609
2020-8-27,4673,4673
2020-8-28,4719,4719
2020-8-29,4794,4794
2020-8-30,4814,4814
2020-8-31,4821,4821
2020-9-1,4903,4903
2020-9-2,4961,4961
2020-9-3,5013,5013
2020-9-4,5061,5061
2020-9-5,5105,5105
2020-9-6,5105,5105
2020-9-7,5113,5113
2020-9-8,5137,5137
2020-9-9,5253,5253
2020-9-10,5318,5318
2020-9-11,5369,5369
2020-9-12,5424,5424
2020-9-13,5451,5451
2020-9-14,5466,5466
2020-9-15,5562,5562
2020-9-16,5610,5610
2020-9-17,5698,5698
2020-9-18,5755,5755
2020-9-19,5843,5843
2020-9-20,5843,5843
2020-9-21,5896,5896
2020-9-22,5996,5996
2020-9-23,6057,6057
2020-9-24,6130,6130
2020-9-25,6192,6192
2020-9-26,6252,6252
2020-9-27,6252,6252
2020-9-28,6273,6273
2020-9-29,6366,6366
2020-9-30,6449,6449
2020-10-1,6510,6510
2020-10-2,6569,6569
2020-10-3,6570,6570
2020-10-4,6570,6570
2020-10-5,6674,6674
2020-10-6,6816,6816
2020-10-7,6929,6929
2020-10-8,7022,7022
2020-10-9,7124,7124
2020-10-10,7218,7218
2020-10-11,7238,7238
2020-10-12,7284,7284
2020-10-13,7265,7265
2020-10-14,7529,7529
2020-10-15,7601,7601
2020-10-16,7601,7601
2020-10-17,7770,7770
2020-10-18,7798,7798
2020-10-19,7815,7815
2020-10-20,7964,7964
2020-10-21,8077,8077
2020-10-22,8170,8170
2020-10-23,8265,8265
2020-10-24,8360,8360
2020-10-25,8386,8386
2020-10-26,8408,8408
2020-10-27,8540,8540
2020-10-28,8609,8609
2020-10-29,8688,8688
2020-10-30,8778,8778
2020-10-31,8889,8889
2020-11-1,8911,8911
2020-11-2,8934,8934
2020-11-3,9104,9104
2020-11-4,9219,9219
2020-11-5,9338,9338
2020-11-6,9438,9438
2020-11-7,9438,9438
2020-11-8,9570,9570
2020-11-9,9621,9621
2020-11-10,9682,9682
2020-11-11,9868,9868
2020-11-12,10030,10030
2020-11-13,10106,10106
2020-11-14,10271,10271
2020-11-15,10372,10372
2020-11-16,10417,10417
2020-11-17,10481,10481
2020-11-18,10687,10687
2020-11-19,10836,10836
2020-11-20,11020,11020
2020-11-21,11184,11184
2020-11-22,11333,11333
2020-11-23,11368,11368
2020-11-24,11445,11445
2020-11-25,11708,11708
2020-11-26,11708,11708
2020-11-27,11898,11898
2020-11-28,12080,12080
2020-11-29,12221,12221
2020-11-30,12258,12258
2020-12-1,12293,12293
2020-12-2,12578,12578
2020-12-3,12773,12773
2020-12-4,12949,12949
2020-12-5,13128,13128
2020-12-6,13119,13119
2020-12-7,13373,13373
2020-12-8,13392,13392
2020-12-9,13636,13636
2020-12-10,13782,13782
2020-12-11,13972,13972
2020-12-12,14170,14170
2020-12-13,14328,14328
2020-12-14,14362,14362
2020-12-15,14408,14408
2020-12-16,14665,14665
2020-12-17,14821,14821
2020-12-18,14970,14970
2020-12-19,15131,15131
2020-12-20,15309,15309
2020-12-21,15358,15358
2020-12-22,15404,15404
2020-12-23,15678,15678
2020-12-24,15912,15912
2020-12-25,15912,15912
2020-12-26,16122,16122
2020-12-27,16289,16289
2020-12-28,16336,16336
2020-12-29,16426,16426
2020-12-30,16813,16813
2020-12-31,17059,17059
2021-1-1,17059,17059
2021-1-2,17247,17247
2021-1-3,17441,17441
2021-1-4,17493,17493
2021-1-5,17554,17554
2021-1-6,17886,17886
2021-1-7,18193,18193
2021-1-8,18418,18418
2021-1-9,18638,18638
2021-1-10,18824,18824
2021-1-11,18885,18885
2021-1-12,18952,18952
2021-1-13,19199,19199
2021-1-14,19460,19460
2021-1-15,19616,19616
2021-1-16,19806,19806
2021-1-17,20036,20036
2021-1-18,20063,20063
2021-1-19,20095,20095
2021-1-20,20295,20295
2021-1-21,20505,20505
2021-1-22,20692,20692
2021-1-23,20849,20849
2021-1-24,21020,21020
2021-1-25,21053,21053
