Date,ORDATA.Hosp,ORDATA.HospCum
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,43,43
2020-3-24,56,56
2020-3-25,61,61
2020-3-26,61,61
2020-3-27,90,90
2020-3-28,102,102
2020-3-29,117,117
2020-3-30,129,129
2020-3-31,140,140
2020-4-1,154,154
2020-4-2,154,154
2020-4-3,188,188
2020-4-4,204,204
2020-4-5,239,239
2020-4-6,258,258
2020-4-7,258,258
2020-4-8,324,324
2020-4-9,324,324
2020-4-10,326,326
2020-4-11,326,326
2020-4-12,338,338
2020-4-13,359,359
2020-4-14,369,369
2020-4-15,381,381
2020-4-16,401,401
2020-4-17,414,414
2020-4-18,427,427
2020-4-19,449,449
2020-4-20,456,456
2020-4-21,465,465
2020-4-22,471,471
2020-4-23,488,488
2020-4-24,512,512
2020-4-25,520,520
2020-4-26,536,536
2020-4-27,546,546
2020-4-28,554,554
2020-4-29,554,554
2020-4-30,569,569
2020-5-1,578,578
2020-5-2,591,591
2020-5-3,595,595
2020-5-4,598,598
2020-5-5,608,608
2020-5-6,622,622
2020-5-7,641,641
2020-5-8,645,645
2020-5-9,659,659
2020-5-10,662,662
2020-5-11,670,670
2020-5-12,673,673
2020-5-13,673,673
2020-5-14,678,678
2020-5-15,685,685
2020-5-16,691,691
2020-5-17,699,699
2020-5-18,703,703
2020-5-19,708,708
2020-5-20,714,714
2020-5-21,723,723
2020-5-22,732,732
2020-5-23,737,737
2020-5-24,740,740
2020-5-25,742,742
2020-5-26,747,747
2020-5-27,752,752
2020-5-28,759,759
2020-5-29,768,768
2020-5-30,771,771
2020-5-31,778,778
2020-6-1,786,786
