Date,RIDATA.Hosp,RIDATA.HospCum
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,0,0
2020-4-10,0,0
2020-4-11,0,0
2020-4-12,0,0
2020-4-13,331,331
2020-4-14,331,331
2020-4-15,331,331
2020-4-16,331,331
2020-4-17,331,331
2020-4-18,578,578
2020-4-19,605,605
2020-4-20,629,629
2020-4-21,674,674
2020-4-22,717,717
2020-4-23,757,757
2020-4-24,576,576
2020-4-25,576,576
2020-4-26,691,691
2020-4-27,718,718
2020-4-28,732,732
2020-4-29,750,750
2020-4-30,896,896
2020-5-1,937,937
2020-5-2,977,977
2020-5-3,1013,1013
2020-5-4,1061,1061
2020-5-5,1092,1092
2020-5-6,1123,1123
2020-5-7,1153,1153
2020-5-8,1187,1187
2020-5-9,1218,1218
2020-5-10,1251,1251
2020-5-11,1280,1280
2020-5-12,1307,1307
2020-5-13,1328,1328
2020-5-14,1351,1351
2020-5-15,1372,1372
2020-5-16,1403,1403
2020-5-17,1418,1418
2020-5-18,1438,1438
2020-5-19,1464,1464
2020-5-20,1486,1486
2020-5-21,1506,1506
2020-5-22,1537,1537
2020-5-23,1557,1557
2020-5-24,1580,1580
2020-5-25,1580,1580
2020-5-26,1613,1613
2020-5-27,1624,1624
2020-5-28,1639,1639
2020-5-29,1660,1660
2020-5-30,1682,1682
2020-5-31,1701,1701
2020-6-1,1724,1724
2020-6-2,1743,1743
2020-6-3,1753,1753
2020-6-4,1765,1765
2020-6-5,1775,1775
2020-6-6,1775,1775
2020-6-7,1775,1775
2020-6-8,1807,1807
2020-6-9,1815,1815
2020-6-10,1828,1828
2020-6-11,1842,1842
2020-6-12,1853,1853
2020-6-13,1853,1853
2020-6-14,1853,1853
2020-6-15,1882,1882
2020-6-16,1889,1889
2020-6-17,1898,1898
2020-6-18,1911,1911
2020-6-19,1922,1922
2020-6-20,1922,1922
2020-6-21,1922,1922
2020-6-22,1950,1950
2020-6-23,1958,1958
2020-6-24,1967,1967
2020-6-25,1981,1981
2020-6-26,1984,1984
2020-6-27,1984,1984
2020-6-28,1984,1984
2020-6-29,1995,1995
2020-6-30,2001,2001
2020-7-1,2007,2007
2020-7-2,2011,2011
2020-7-3,2019,2019
2020-7-4,2019,2019
2020-7-5,2019,2019
2020-7-6,2019,2019
2020-7-7,2036,2036
2020-7-8,2043,2043
2020-7-9,2043,2043
2020-7-10,2051,2051
2020-7-11,2051,2051
2020-7-12,2051,2051
2020-7-13,2066,2066
2020-7-14,2070,2070
2020-7-15,2075,2075
2020-7-16,2084,2084
2020-7-17,2088,2088
2020-7-18,2088,2088
2020-7-19,2088,2088
2020-7-20,2110,2110
2020-7-21,2116,2116
2020-7-22,2127,2127
2020-7-23,2137,2137
2020-7-24,2146,2146
2020-7-25,2146,2146
2020-7-26,2146,2146
2020-7-27,2174,2174
2020-7-28,2182,2182
2020-7-29,2195,2195
2020-7-30,2202,2202
2020-7-31,2211,2211
2020-8-1,2211,2211
2020-8-2,2211,2211
2020-8-3,2231,2231
2020-8-4,2242,2242
2020-8-5,2248,2248
2020-8-6,2264,2264
2020-8-7,2276,2276
2020-8-8,2294,2294
2020-8-9,2311,2311
2020-8-10,2311,2311
2020-8-11,2317,2317
2020-8-12,2336,2336
2020-8-13,2341,2341
2020-8-14,2350,2350
2020-8-15,2375,2375
2020-8-16,2380,2380
2020-8-17,2380,2380
2020-8-18,2405,2405
2020-8-19,2419,2419
2020-8-20,2431,2431
2020-8-21,2438,2438
2020-8-22,2455,2455
2020-8-23,2460,2460
2020-8-24,2460,2460
