Date,SCDATA.Hosp,SCDATA.HospCum
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,102,102
2020-3-26,102,102
2020-3-27,102,102
2020-3-28,102,102
2020-3-29,102,102
2020-3-30,102,102
2020-3-31,102,102
2020-4-1,102,102
2020-4-2,241,241
2020-4-3,241,241
2020-4-4,241,241
2020-4-5,241,241
2020-4-6,241,241
2020-4-7,241,241
2020-4-8,241,241
2020-4-9,241,241
2020-4-10,496,496
2020-4-11,496,496
2020-4-12,496,496
2020-4-13,496,496
2020-4-14,675,675
2020-4-15,675,675
2020-4-16,675,675
2020-4-17,675,675
2020-4-18,776,776
2020-4-19,776,776
2020-4-20,776,776
2020-4-21,776,776
2020-4-22,837,837
2020-4-23,837,837
2020-4-24,837,837
2020-4-25,944,944
2020-4-26,944,944
2020-4-27,944,944
2020-4-28,944,944
2020-4-29,1000,1000
2020-4-30,1000,1000
2020-5-1,1110,1110
2020-5-2,1110,1110
2020-5-3,1110,1110
2020-5-4,1110,1110
2020-5-5,1110,1110
2020-5-6,1152,1152
2020-5-7,1152,1152
2020-5-8,1152,1152
2020-5-9,1252,1252
2020-5-10,1252,1252
2020-5-11,1252,1252
2020-5-12,1338,1338
2020-5-13,1338,1338
2020-5-14,1338,1338
2020-5-15,1421,1421
2020-5-16,1421,1421
2020-5-17,1421,1421
2020-5-18,1421,1421
2020-5-19,1444,1444
2020-5-20,1444,1444
2020-5-21,1444,1444
2020-5-22,1534,1534
2020-5-23,1534,1534
2020-5-24,1534,1534
2020-5-25,1534,1534
2020-5-26,1618,1618
2020-5-27,1618,1618
