Date,SDDATA.Hosp,SDDATA.HospCum
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,12,12
2020-4-1,12,12
2020-4-2,17,17
2020-4-3,17,17
2020-4-4,19,19
2020-4-5,22,22
2020-4-6,23,23
2020-4-7,23,23
2020-4-8,26,26
2020-4-9,27,27
2020-4-10,29,29
2020-4-11,33,33
2020-4-12,43,43
2020-4-13,44,44
2020-4-14,45,45
2020-4-15,51,51
2020-4-16,55,55
2020-4-17,63,63
2020-4-18,68,68
2020-4-19,74,74
2020-4-20,87,87
2020-4-21,100,100
2020-4-22,111,111
2020-4-23,119,119
2020-4-24,124,124
2020-4-25,128,128
2020-4-26,135,135
2020-4-27,150,150
2020-4-28,157,157
2020-4-29,165,165
2020-4-30,173,173
2020-5-1,179,179
2020-5-2,187,187
2020-5-3,197,197
2020-5-4,211,211
2020-5-5,220,220
2020-5-6,230,230
2020-5-7,236,236
2020-5-8,247,247
2020-5-9,253,253
2020-5-10,261,261
2020-5-11,263,263
2020-5-12,271,271
2020-5-13,281,281
2020-5-14,290,290
2020-5-15,296,296
2020-5-16,304,304
2020-5-17,312,312
2020-5-18,316,316
2020-5-19,327,327
2020-5-20,333,333
2020-5-21,342,342
2020-5-22,351,351
2020-5-23,358,358
2020-5-24,364,364
2020-5-25,370,370
2020-5-26,378,378
2020-5-27,391,391
2020-5-28,406,406
2020-5-29,418,418
2020-5-30,427,427
2020-5-31,432,432
2020-6-1,435,435
2020-6-2,443,443
2020-6-3,456,456
2020-6-4,464,464
2020-6-5,467,467
2020-6-6,474,474
2020-6-7,478,478
2020-6-8,482,482
2020-6-9,487,487
2020-6-10,503,503
2020-6-11,514,514
2020-6-12,525,525
2020-6-13,531,531
2020-6-14,539,539
2020-6-15,544,544
2020-6-16,562,562
2020-6-17,570,570
2020-6-18,585,585
2020-6-19,589,589
2020-6-20,598,598
2020-6-21,608,608
2020-6-22,616,616
2020-6-23,624,624
2020-6-24,629,629
2020-6-25,632,632
2020-6-26,639,639
2020-6-27,645,645
2020-6-28,652,652
2020-6-29,657,657
2020-6-30,666,666
2020-7-1,674,674
2020-7-2,683,683
2020-7-3,687,687
2020-7-4,689,689
2020-7-5,691,691
2020-7-6,692,692
2020-7-7,699,699
2020-7-8,709,709
2020-7-9,718,718
2020-7-10,726,726
2020-7-11,738,738
2020-7-12,738,738
2020-7-13,742,742
2020-7-14,744,744
2020-7-15,752,752
2020-7-16,757,757
2020-7-17,763,763
2020-7-18,771,771
2020-7-19,774,774
2020-7-20,774,774
2020-7-21,776,776
2020-7-22,790,790
2020-7-23,792,792
2020-7-24,796,796
2020-7-25,798,798
2020-7-26,801,801
2020-7-27,806,806
2020-7-28,808,808
2020-7-29,810,810
2020-7-30,815,815
2020-7-31,824,824
2020-8-1,832,832
2020-8-2,835,835
2020-8-3,838,838
2020-8-4,846,846
2020-8-5,856,856
2020-8-6,861,861
2020-8-7,866,866
2020-8-8,871,871
2020-8-9,876,876
2020-8-10,882,882
2020-8-11,887,887
2020-8-12,892,892
2020-8-13,896,896
2020-8-14,903,903
2020-8-15,913,913
2020-8-16,916,916
2020-8-17,921,921
2020-8-18,927,927
2020-8-19,935,935
2020-8-20,940,940
2020-8-21,948,948
2020-8-22,951,951
2020-8-23,959,959
2020-8-24,965,965
2020-8-25,974,974
2020-8-26,981,981
2020-8-27,983,983
2020-8-28,995,995
2020-8-29,1006,1006
2020-8-30,1017,1017
2020-8-31,1029,1029
2020-9-1,1036,1036
2020-9-2,1043,1043
2020-9-3,1052,1052
2020-9-4,1062,1062
2020-9-5,1068,1068
2020-9-6,1079,1079
2020-9-7,1084,1084
2020-9-8,1094,1094
2020-9-9,1109,1109
2020-9-10,1120,1120
2020-9-11,1138,1138
2020-9-12,1152,1152
2020-9-13,1165,1165
2020-9-14,1171,1171
2020-9-15,1195,1195
2020-9-16,1211,1211
2020-9-17,1231,1231
2020-9-18,1246,1246
2020-9-19,1268,1268
2020-9-20,1288,1288
2020-9-21,1297,1297
2020-9-22,1323,1323
2020-9-23,1367,1367
2020-9-24,1375,1375
2020-9-25,1400,1400
2020-9-26,1434,1434
2020-9-27,1473,1473
2020-9-28,1488,1488
2020-9-29,1511,1511
2020-9-30,1549,1549
2020-10-1,1578,1578
2020-10-2,1588,1588
2020-10-3,1615,1615
2020-10-4,1632,1632
2020-10-5,1642,1642
2020-10-6,1670,1670
2020-10-7,1697,1697
2020-10-8,1717,1717
2020-10-9,1782,1782
2020-10-10,1829,1829
2020-10-11,1866,1866
2020-10-12,1886,1886
2020-10-13,1911,1911
2020-10-14,1963,1963
2020-10-15,2000,2000
2020-10-16,2044,2044
2020-10-17,2077,2077
2020-10-18,2119,2119
2020-10-19,2146,2146
2020-10-20,2193,2193
2020-10-21,2239,2239
2020-10-22,2277,2277
2020-10-23,2336,2336
2020-10-24,2378,2378
2020-10-25,2436,2436
2020-10-26,2453,2453
2020-10-27,2483,2483
2020-10-28,2545,2545
2020-10-29,2602,2602
2020-10-30,2660,2660
2020-10-31,2683,2683
2020-11-1,2721,2721
2020-11-2,2755,2755
2020-11-3,2824,2824
2020-11-4,2873,2873
2020-11-5,2955,2955
2020-11-6,3023,3023
2020-11-7,3108,3108
2020-11-8,3184,3184
2020-11-9,3227,3227
2020-11-10,3277,3277
2020-11-11,3389,3389
2020-11-12,3455,3455
2020-11-13,3540,3540
2020-11-14,3598,3598
2020-11-15,3644,3644
2020-11-16,3698,3698
2020-11-17,3769,3769
2020-11-18,3864,3864
2020-11-19,3922,3922
2020-11-20,3993,3993
2020-11-21,4052,4052
2020-11-22,4094,4094
2020-11-23,4107,4107
2020-11-24,4193,4193
2020-11-25,4243,4243
2020-11-26,4243,4243
2020-11-27,4353,4353
2020-11-28,4400,4400
2020-11-29,4468,4468
2020-11-30,4502,4502
2020-12-1,4572,4572
2020-12-2,4626,4626
2020-12-3,4696,4696
2020-12-4,4748,4748
2020-12-5,4793,4793
2020-12-6,4835,4835
2020-12-7,4872,4872
2020-12-8,4921,4921
2020-12-9,4974,4974
2020-12-10,5025,5025
2020-12-11,5086,5086
2020-12-12,5125,5125
2020-12-13,5174,5174
2020-12-14,5200,5200
2020-12-15,5242,5242
2020-12-16,5265,5265
2020-12-17,5317,5317
2020-12-18,5348,5348
2020-12-19,5385,5385
2020-12-20,5411,5411
2020-12-21,5429,5429
2020-12-22,5461,5461
2020-12-23,5492,5492
2020-12-24,5503,5503
2020-12-25,5503,5503
2020-12-26,5533,5533
2020-12-27,5561,5561
2020-12-28,5583,5583
2020-12-29,5605,5605
2020-12-30,5639,5639
2020-12-31,5672,5672
2021-1-1,5672,5672
2021-1-2,5702,5702
2021-1-3,5732,5732
2021-1-4,5742,5742
2021-1-5,5764,5764
2021-1-6,5805,5805
2021-1-7,5829,5829
2021-1-8,5851,5851
2021-1-9,5871,5871
2021-1-10,5904,5904
2021-1-11,5917,5917
2021-1-12,5943,5943
2021-1-13,5978,5978
2021-1-14,5998,5998
2021-1-15,6023,6023
2021-1-16,6039,6039
2021-1-17,6063,6063
2021-1-18,6082,6082
2021-1-19,6092,6092
2021-1-20,6109,6109
2021-1-21,6133,6133
2021-1-22,6159,6159
2021-1-23,6177,6177
2021-1-24,6193,6193
2021-1-25,6201,6201
2021-1-26,6216,6216
2021-1-27,6242,6242
2021-1-28,6264,6264
2021-1-29,6272,6272
2021-1-30,6286,6286
2021-1-31,6290,6290
2021-2-1,6294,6294
2021-2-2,6304,6304
2021-2-3,6321,6321
2021-2-4,6334,6334
2021-2-5,6346,6346
2021-2-6,6359,6359
2021-2-7,6370,6370
2021-2-8,6377,6377
