Date,TNDATA.Hosp,TNDATA.HospCum
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,53,53
2020-3-26,76,76
2020-3-27,103,103
2020-3-28,118,118
2020-3-29,133,133
2020-3-30,148,148
2020-3-31,175,175
2020-4-1,200,200
2020-4-2,263,263
2020-4-3,293,293
2020-4-4,311,311
2020-4-5,328,328
2020-4-6,352,352
2020-4-7,408,408
2020-4-8,449,449
2020-4-9,505,505
2020-4-10,536,536
2020-4-11,556,556
2020-4-12,567,567
2020-4-13,579,579
2020-4-14,633,633
2020-4-15,663,663
2020-4-16,691,691
2020-4-17,711,711
2020-4-18,719,719
2020-4-19,724,724
2020-4-20,730,730
2020-4-21,760,760
2020-4-22,775,775
2020-4-23,793,793
2020-4-24,808,808
2020-4-25,821,821
2020-4-26,828,828
2020-4-27,837,837
2020-4-28,894,894
2020-4-29,1013,1013
2020-4-30,1045,1045
2020-5-1,1113,1113
2020-5-2,1125,1125
2020-5-3,1135,1135
2020-5-4,1143,1143
2020-5-5,1156,1156
2020-5-6,1221,1221
2020-5-7,1266,1266
2020-5-8,1299,1299
2020-5-9,1319,1319
2020-5-10,1325,1325
2020-5-11,1344,1344
2020-5-12,1363,1363
2020-5-13,1388,1388
2020-5-14,1435,1435
2020-5-15,1454,1454
2020-5-16,1474,1474
2020-5-17,1482,1482
2020-5-18,1489,1489
2020-5-19,1498,1498
2020-5-20,1515,1515
2020-5-21,1539,1539
2020-5-22,1560,1560
2020-5-23,1573,1573
2020-5-24,1583,1583
2020-5-25,1594,1594
2020-5-26,1609,1609
2020-5-27,1647,1647
2020-5-28,1689,1689
2020-5-29,1710,1710
2020-5-30,1732,1732
2020-5-31,1750,1750
2020-6-1,1767,1767
2020-6-2,1792,1792
2020-6-3,1829,1829
2020-6-4,1855,1855
2020-6-5,1893,1893
2020-6-6,1923,1923
2020-6-7,1932,1932
2020-6-8,1948,1948
2020-6-9,1974,1974
2020-6-10,1990,1990
2020-6-11,2011,2011
2020-6-12,2049,2049
2020-6-13,2073,2073
2020-6-14,2087,2087
2020-6-15,2106,2106
2020-6-16,2146,2146
2020-6-17,2180,2180
2020-6-18,2209,2209
2020-6-19,2238,2238
2020-6-20,2266,2266
2020-6-21,2291,2291
2020-6-22,2301,2301
2020-6-23,2336,2336
2020-6-24,2386,2386
2020-6-25,2431,2431
2020-6-26,2498,2498
2020-6-27,2564,2564
2020-6-28,2564,2564
2020-6-29,2599,2599
2020-6-30,2665,2665
2020-7-1,2715,2715
2020-7-2,2775,2775
2020-7-3,2825,2825
2020-7-4,2860,2860
2020-7-5,2871,2871
2020-7-6,2897,2897
2020-7-7,2950,2950
2020-7-8,3023,3023
2020-7-9,3088,3088
2020-7-10,3146,3146
2020-7-11,3193,3193
2020-7-12,3250,3250
2020-7-13,3284,3284
2020-7-14,3378,3378
2020-7-15,3434,3434
2020-7-16,3497,3497
2020-7-17,3562,3562
2020-7-18,3649,3649
2020-7-19,3681,3681
2020-7-20,3712,3712
2020-7-21,3798,3798
2020-7-22,3907,3907
2020-7-23,4016,4016
2020-7-24,4120,4120
2020-7-25,4196,4196
2020-7-26,4244,4244
2020-7-27,4280,4280
2020-7-28,4280,4280
2020-7-29,4482,4482
2020-7-30,4572,4572
2020-7-31,4661,4661
2020-8-1,4724,4724
2020-8-2,4756,4756
2020-8-3,4808,4808
2020-8-4,4900,4900
2020-8-5,5001,5001
2020-8-6,5109,5109
2020-8-7,5190,5190
2020-8-8,5262,5262
2020-8-9,5304,5304
2020-8-10,5339,5339
2020-8-11,5464,5464
2020-8-12,5554,5554
2020-8-13,5648,5648
2020-8-14,5725,5725
2020-8-15,5813,5813
2020-8-16,5847,5847
2020-8-17,5881,5881
2020-8-18,5981,5981
2020-8-19,6069,6069
2020-8-20,6156,6156
2020-8-21,6255,6255
2020-8-22,6328,6328
2020-8-23,6378,6378
2020-8-24,6421,6421
2020-8-25,6515,6515
2020-8-26,6603,6603
2020-8-27,6677,6677
2020-8-28,6751,6751
2020-8-29,6751,6751
2020-8-30,6840,6840
2020-8-31,6878,6878
2020-9-1,6978,6978
2020-9-2,7061,7061
2020-9-3,7125,7125
2020-9-4,7206,7206
2020-9-5,7276,7276
2020-9-6,7296,7296
2020-9-7,7312,7312
2020-9-8,7355,7355
2020-9-9,7444,7444
2020-9-10,7549,7549
2020-9-11,7624,7624
2020-9-12,7679,7679
2020-9-13,7710,7710
2020-9-14,7766,7766
2020-9-15,7848,7848
2020-9-16,7922,7922
2020-9-17,7979,7979
2020-9-18,8063,8063
2020-9-19,8116,8116
2020-9-20,8159,8159
2020-9-21,8199,8199
2020-9-22,8263,8263
2020-9-23,8338,8338
2020-9-24,8413,8413
2020-9-25,8477,8477
2020-9-26,8528,8528
2020-9-27,8577,8577
2020-9-28,8619,8619
2020-9-29,8672,8672
2020-9-30,8733,8733
2020-10-1,8782,8782
2020-10-2,8827,8827
2020-10-3,8859,8859
2020-10-4,8883,8883
2020-10-5,8923,8923
2020-10-6,8976,8976
2020-10-7,9035,9035
2020-10-8,9094,9094
2020-10-9,9133,9133
2020-10-10,9180,9180
2020-10-11,9215,9215
2020-10-12,9248,9248
2020-10-13,9309,9309
2020-10-14,9371,9371
2020-10-15,9416,9416
2020-10-16,9489,9489
2020-10-17,9555,9555
2020-10-18,9577,9577
2020-10-19,9618,9618
2020-10-20,9681,9681
2020-10-21,9734,9734
2020-10-22,9802,9802
2020-10-23,9882,9882
2020-10-24,9926,9926
2020-10-25,9941,9941
2020-10-26,9985,9985
2020-10-27,10062,10062
2020-10-28,10140,10140
2020-10-29,10208,10208
2020-10-30,10264,10264
2020-10-31,10306,10306
2020-11-1,10307,10307
2020-11-2,10340,10340
2020-11-3,10407,10407
2020-11-4,10484,10484
2020-11-5,10546,10546
2020-11-6,10618,10618
2020-11-7,10645,10645
2020-11-8,10678,10678
2020-11-9,10732,10732
2020-11-10,10813,10813
2020-11-11,10895,10895
2020-11-12,10950,10950
2020-11-13,11055,11055
2020-11-14,11116,11116
2020-11-15,11141,11141
2020-11-16,11201,11201
2020-11-17,11255,11255
2020-11-18,11342,11342
2020-11-19,11422,11422
2020-11-20,11502,11502
2020-11-21,11539,11539
2020-11-22,11570,11570
2020-11-23,11628,11628
2020-11-24,11717,11717
