Date,UTDATA.Hosp,UTDATA.HospCum
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,73,73
2020-4-1,91,91
2020-4-2,100,100
2020-4-3,106,106
2020-4-4,117,117
2020-4-5,124,124
2020-4-6,138,138
2020-4-7,148,148
2020-4-8,158,158
2020-4-9,168,168
2020-4-10,183,183
2020-4-11,190,190
2020-4-12,195,195
2020-4-13,201,201
2020-4-14,213,213
2020-4-15,221,221
2020-4-16,238,238
2020-4-17,244,244
2020-4-18,251,251
2020-4-19,259,259
2020-4-20,268,268
2020-4-21,277,277
2020-4-22,288,288
2020-4-23,301,301
2020-4-24,315,315
2020-4-25,329,329
2020-4-26,345,345
2020-4-27,349,349
2020-4-28,370,370
2020-4-29,383,383
2020-4-30,390,390
2020-5-1,403,403
2020-5-2,418,418
2020-5-3,436,436
2020-5-4,441,441
2020-5-5,456,456
2020-5-6,464,464
2020-5-7,476,476
2020-5-8,488,488
2020-5-9,498,498
2020-5-10,512,512
2020-5-11,517,517
2020-5-12,535,535
2020-5-13,553,553
2020-5-14,558,558
2020-5-15,566,566
2020-5-16,578,578
2020-5-17,586,586
2020-5-18,595,595
2020-5-19,619,619
2020-5-20,631,631
2020-5-21,647,647
2020-5-22,660,660
2020-5-23,676,676
2020-5-24,688,688
2020-5-25,692,692
2020-5-26,696,696
2020-5-27,716,716
2020-5-28,734,734
2020-5-29,753,753
2020-5-30,763,763
2020-5-31,775,775
2020-6-1,789,789
2020-6-2,801,801
2020-6-3,829,829
2020-6-4,850,850
2020-6-5,870,870
2020-6-6,890,890
2020-6-7,900,900
2020-6-8,918,918
2020-6-9,931,931
2020-6-10,954,954
2020-6-11,968,968
2020-6-12,988,988
2020-6-13,1012,1012
2020-6-14,1028,1028
2020-6-15,1041,1041
2020-6-16,1073,1073
2020-6-17,1102,1102
2020-6-18,1120,1120
2020-6-19,1145,1145
2020-6-20,1161,1161
2020-6-21,1184,1184
2020-6-22,1192,1192
2020-6-23,1226,1226
2020-6-24,1256,1256
2020-6-25,1290,1290
2020-6-26,1321,1321
2020-6-27,1365,1365
2020-6-28,1396,1396
2020-6-29,1417,1417
2020-6-30,1444,1444
2020-7-1,1476,1476
2020-7-2,1505,1505
2020-7-3,1529,1529
2020-7-4,1565,1565
2020-7-5,1582,1582
2020-7-6,1604,1604
2020-7-7,1653,1653
2020-7-8,1678,1678
2020-7-9,1700,1700
2020-7-10,1748,1748
2020-7-11,1797,1797
2020-7-12,1824,1824
2020-7-13,1850,1850
2020-7-14,1888,1888
2020-7-15,1913,1913
2020-7-16,1956,1956
2020-7-17,1984,1984
2020-7-18,2014,2014
2020-7-19,2033,2033
2020-7-20,2066,2066
2020-7-21,2109,2109
2020-7-22,2135,2135
2020-7-23,2150,2150
2020-7-24,2188,2188
2020-7-25,2213,2213
2020-7-26,2234,2234
2020-7-27,2253,2253
2020-7-28,2295,2295
2020-7-29,2324,2324
2020-7-30,2346,2346
2020-7-31,2377,2377
2020-8-1,2412,2412
2020-8-2,2430,2430
2020-8-3,2450,2450
2020-8-4,2482,2482
2020-8-5,2519,2519
2020-8-6,2554,2554
2020-8-7,2578,2578
2020-8-8,2604,2604
2020-8-9,2620,2620
2020-8-10,2642,2642
2020-8-11,2677,2677
2020-8-12,2696,2696
2020-8-13,2721,2721
2020-8-14,2744,2744
2020-8-15,2760,2760
2020-8-16,2771,2771
2020-8-17,2782,2782
2020-8-18,2804,2804
2020-8-19,2832,2832
2020-8-20,2853,2853
2020-8-21,2870,2870
2020-8-22,2899,2899
2020-8-23,2926,2926
2020-8-24,2941,2941
2020-8-25,2969,2969
2020-8-26,2996,2996
2020-8-27,3015,3015
2020-8-28,3041,3041
2020-8-29,3057,3057
2020-8-30,3080,3080
2020-8-31,3093,3093
2020-9-1,3110,3110
2020-9-2,3134,3134
2020-9-3,3153,3153
2020-9-4,3172,3172
2020-9-5,3188,3188
2020-9-6,3207,3207
2020-9-7,3225,3225
2020-9-8,3242,3242
2020-9-9,3263,3263
2020-9-10,3273,3273
2020-9-11,3288,3288
2020-9-12,3311,3311
2020-9-13,3326,3326
2020-9-14,3338,3338
2020-9-15,3361,3361
2020-9-16,3381,3381
2020-9-17,3401,3401
2020-9-18,3444,3444
2020-9-19,3477,3477
2020-9-20,3494,3494
2020-9-21,3520,3520
2020-9-22,3550,3550
2020-9-23,3584,3584
2020-9-24,3619,3619
2020-9-25,3668,3668
2020-9-26,3702,3702
2020-9-27,3729,3729
2020-9-28,3757,3757
2020-9-29,3807,3807
2020-9-30,3847,3847
2020-10-1,3882,3882
2020-10-2,3916,3916
2020-10-3,3956,3956
2020-10-4,3980,3980
2020-10-5,4019,4019
2020-10-6,4058,4058
2020-10-7,4113,4113
2020-10-8,4167,4167
2020-10-9,4220,4220
2020-10-10,4275,4275
2020-10-11,4306,4306
2020-10-12,4331,4331
2020-10-13,4383,4383
2020-10-14,4460,4460
2020-10-15,4511,4511
2020-10-16,4559,4559
2020-10-17,4610,4610
2020-10-18,4656,4656
2020-10-19,4688,4688
2020-10-20,4753,4753
2020-10-21,4807,4807
2020-10-22,4880,4880
2020-10-23,4939,4939
2020-10-24,4997,4997
2020-10-25,5049,5049
2020-10-26,5102,5102
2020-10-27,5169,5169
2020-10-28,5247,5247
2020-10-29,5319,5319
2020-10-30,5395,5395
2020-10-31,5463,5463
2020-11-1,5526,5526
2020-11-2,5576,5576
2020-11-3,5665,5665
2020-11-4,5755,5755
2020-11-5,5830,5830
2020-11-6,5922,5922
2020-11-7,6020,6020
2020-11-8,6084,6084
2020-11-9,6162,6162
2020-11-10,6284,6284
2020-11-11,6395,6395
2020-11-12,6487,6487
2020-11-13,6591,6591
2020-11-14,6676,6676
2020-11-15,6769,6769
2020-11-16,6859,6859
2020-11-17,6988,6988
2020-11-18,7107,7107
2020-11-19,7215,7215
2020-11-20,7350,7350
2020-11-21,7458,7458
2020-11-22,7532,7532
2020-11-23,7602,7602
2020-11-24,7702,7702
2020-11-25,7785,7785
2020-11-26,7785,7785
2020-11-27,7948,7948
2020-11-28,8029,8029
2020-11-29,8076,8076
2020-11-30,8135,8135
2020-12-1,8279,8279
2020-12-2,8423,8423
2020-12-3,8548,8548
2020-12-4,8652,8652
2020-12-5,8765,8765
2020-12-6,8822,8822
2020-12-7,8896,8896
2020-12-8,9003,9003
2020-12-9,9105,9105
2020-12-10,9187,9187
2020-12-11,9269,9269
2020-12-12,9351,9351
2020-12-13,9421,9421
2020-12-14,9486,9486
2020-12-15,9585,9585
2020-12-16,9692,9692
2020-12-17,9791,9791
2020-12-18,9883,9883
2020-12-19,9968,9968
2020-12-20,10039,10039
2020-12-21,10102,10102
2020-12-22,10218,10218
2020-12-23,10327,10327
2020-12-24,10406,10406
2020-12-25,10406,10406
2020-12-26,10522,10522
2020-12-27,10584,10584
2020-12-28,10643,10643
2020-12-29,10763,10763
2020-12-30,10873,10873
2020-12-31,10956,10956
2021-1-1,10956,10956
2021-1-2,11101,11101
2021-1-3,11159,11159
2021-1-4,11240,11240
2021-1-5,11356,11356
2021-1-6,11463,11463
2021-1-7,11578,11578
2021-1-8,11679,11679
2021-1-9,11778,11778
2021-1-10,11866,11866
2021-1-11,11940,11940
2021-1-12,12059,12059
2021-1-13,12160,12160
2021-1-14,12249,12249
2021-1-15,12351,12351
2021-1-16,12452,12452
2021-1-17,12518,12518
2021-1-18,12576,12576
2021-1-19,12645,12645
2021-1-20,12729,12729
2021-1-21,12803,12803
2021-1-22,12884,12884
2021-1-23,12948,12948
2021-1-24,13016,13016
2021-1-25,13054,13054
2021-1-26,13137,13137
2021-1-27,13217,13217
