Date,VADATA.Hosp,VADATA.HospCum
2020-1-27,0,0
2020-1-28,0,0
2020-1-29,0,0
2020-1-30,0,0
2020-1-31,0,0
2020-2-1,0,0
2020-2-2,0,0
2020-2-3,0,0
2020-2-4,0,0
2020-2-5,0,0
2020-2-6,0,0
2020-2-7,0,0
2020-2-8,0,0
2020-2-9,0,0
2020-2-10,0,0
2020-2-11,0,0
2020-2-12,0,0
2020-2-13,0,0
2020-2-14,0,0
2020-2-15,0,0
2020-2-16,0,0
2020-2-17,0,0
2020-2-18,0,0
2020-2-19,0,0
2020-2-20,0,0
2020-2-21,0,0
2020-2-22,0,0
2020-2-23,0,0
2020-2-24,0,0
2020-2-25,0,0
2020-2-26,0,0
2020-2-27,0,0
2020-2-28,0,0
2020-2-29,0,0
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,19,19
2020-3-21,20,20
2020-3-22,25,25
2020-3-23,32,32
2020-3-24,38,38
2020-3-25,45,45
2020-3-26,59,59
2020-3-27,65,65
2020-3-28,83,83
2020-3-29,99,99
2020-3-30,112,112
2020-3-31,136,136
2020-4-1,165,165
2020-4-2,208,208
2020-4-3,246,246
2020-4-4,312,312
2020-4-5,390,390
2020-4-6,431,431
2020-4-7,497,497
2020-4-8,563,563
2020-4-9,563,563
2020-4-10,685,685
2020-4-11,772,772
2020-4-12,837,837
2020-4-13,872,872
2020-4-14,903,903
2020-4-15,978,978
2020-4-16,1048,1048
2020-4-17,1114,1114
2020-4-18,1221,1221
2020-4-19,1296,1296
2020-4-20,1422,1422
2020-4-21,1500,1500
2020-4-22,1581,1581
2020-4-23,1659,1659
2020-4-24,1753,1753
2020-4-25,1837,1837
2020-4-26,1942,1942
2020-4-27,2014,2014
2020-4-28,2066,2066
2020-4-29,2165,2165
2020-4-30,2259,2259
2020-5-1,2322,2322
2020-5-2,2416,2416
2020-5-3,2519,2519
2020-5-4,2627,2627
2020-5-5,2700,2700
2020-5-6,2773,2773
2020-5-7,2955,2955
2020-5-8,3059,3059
2020-5-9,3164,3164
2020-5-10,3211,3211
2020-5-11,3300,3300
2020-5-12,3395,3395
2020-5-13,3520,3520
2020-5-14,3592,3592
2020-5-15,3657,3657
2020-5-16,3724,3724
2020-5-17,3775,3775
2020-5-18,3822,3822
2020-5-19,3904,3904
2020-5-20,3979,3979
2020-5-21,4093,4093
2020-5-22,4145,4145
2020-5-23,4181,4181
2020-5-24,4214,4214
2020-5-25,4269,4269
2020-5-26,4325,4325
2020-5-27,4385,4385
2020-5-28,4442,4442
2020-5-29,4529,4529
2020-5-30,4601,4601
2020-5-31,4643,4643
2020-6-1,4694,4694
2020-6-2,4770,4770
2020-6-3,4884,4884
2020-6-4,4957,4957
2020-6-5,5008,5008
2020-6-6,5054,5054
2020-6-7,5106,5106
2020-6-8,5143,5143
2020-6-9,5203,5203
2020-6-10,5272,5272
2020-6-11,5360,5360
2020-6-12,5445,5445
2020-6-13,5511,5511
2020-6-14,5536,5536
2020-6-15,5588,5588
2020-6-16,5643,5643
2020-6-17,5692,5692
2020-6-18,5744,5744
2020-6-19,5797,5797
2020-6-20,5807,5807
2020-6-21,5840,5840
2020-6-22,5869,5869
2020-6-23,5913,5913
2020-6-24,5955,5955
2020-6-25,5995,5995
2020-6-26,6071,6071
2020-6-27,6120,6120
2020-6-28,6136,6136
2020-6-29,6164,6164
2020-6-30,6203,6203
2020-7-1,6262,6262
2020-7-2,6333,6333
2020-7-3,6382,6382
2020-7-4,6405,6405
2020-7-5,6418,6418
2020-7-6,6435,6435
2020-7-7,6512,6512
2020-7-8,6577,6577
2020-7-9,6625,6625
2020-7-10,6675,6675
2020-7-11,6707,6707
2020-7-12,6744,6744
2020-7-13,6765,6765
2020-7-14,6817,6817
2020-7-15,6905,6905
2020-7-16,7020,7020
2020-7-17,7087,7087
2020-7-18,7147,7147
2020-7-19,7165,7165
2020-7-20,7201,7201
2020-7-21,7267,7267
2020-7-22,7351,7351
2020-7-23,7437,7437
2020-7-24,7515,7515
2020-7-25,7570,7570
2020-7-26,7593,7593
2020-7-27,7647,7647
2020-7-28,7686,7686
2020-7-29,7738,7738
2020-7-30,7786,7786
2020-7-31,7866,7866
2020-8-1,7910,7910
2020-8-2,7955,7955
2020-8-3,8018,8018
2020-8-4,8085,8085
2020-8-5,8126,8126
2020-8-6,8183,8183
2020-8-7,8281,8281
2020-8-8,8332,8332
2020-8-9,8369,8369
2020-8-10,8391,8391
2020-8-11,8458,8458
2020-8-12,8532,8532
2020-8-13,8592,8592
2020-8-14,8650,8650
2020-8-15,8701,8701
2020-8-16,8737,8737
2020-8-17,8767,8767
2020-8-18,8849,8849
2020-8-19,8925,8925
2020-8-20,8998,8998
2020-8-21,9071,9071
2020-8-22,9139,9139
2020-8-23,9176,9176
2020-8-24,9207,9207
2020-8-25,9259,9259
2020-8-26,9326,9326
2020-8-27,9391,9391
2020-8-28,9460,9460
2020-8-29,9512,9512
2020-8-30,9555,9555
2020-8-31,9569,9569
2020-9-1,9621,9621
2020-9-2,9678,9678
2020-9-3,9741,9741
2020-9-4,9798,9798
2020-9-5,9849,9849
2020-9-6,9881,9881
2020-9-7,9902,9902
2020-9-8,9932,9932
2020-9-9,10008,10008
2020-9-10,10085,10085
2020-9-11,10155,10155
2020-9-12,10218,10218
2020-9-13,10244,10244
2020-9-14,10293,10293
2020-9-15,10337,10337
2020-9-16,10389,10389
2020-9-17,10464,10464
2020-9-18,10520,10520
2020-9-19,10562,10562
2020-9-20,10591,10591
2020-9-21,10613,10613
2020-9-22,10675,10675
2020-9-23,10718,10718
2020-9-24,10769,10769
2020-9-25,10806,10806
2020-9-26,10863,10863
2020-9-27,10889,10889
2020-9-28,10916,10916
2020-9-29,10978,10978
2020-9-30,11041,11041
2020-10-1,11092,11092
2020-10-2,11140,11140
2020-10-3,11191,11191
2020-10-4,11221,11221
2020-10-5,11259,11259
2020-10-6,11316,11316
2020-10-7,11345,11345
2020-10-8,11393,11393
2020-10-9,11447,11447
2020-10-10,11501,11501
2020-10-11,11519,11519
2020-10-12,11553,11553
2020-10-13,11598,11598
2020-10-14,11628,11628
2020-10-15,11704,11704
2020-10-16,11780,11780
2020-10-17,11831,11831
2020-10-18,11861,11861
2020-10-19,11882,11882
2020-10-20,11955,11955
2020-10-21,12010,12010
2020-10-22,12073,12073
2020-10-23,12140,12140
2020-10-24,12198,12198
2020-10-25,12233,12233
2020-10-26,12260,12260
2020-10-27,12320,12320
2020-10-28,12384,12384
2020-10-29,12454,12454
2020-10-30,12511,12511
2020-10-31,12604,12604
2020-11-1,12647,12647
2020-11-2,12674,12674
2020-11-3,12739,12739
2020-11-4,12797,12797
2020-11-5,12865,12865
2020-11-6,12936,12936
2020-11-7,13022,13022
2020-11-8,13064,13064
2020-11-9,13116,13116
2020-11-10,13183,13183
2020-11-11,13273,13273
2020-11-12,13339,13339
2020-11-13,13408,13408
2020-11-14,13480,13480
2020-11-15,13504,13504
2020-11-16,13552,13552
2020-11-17,13608,13608
2020-11-18,13707,13707
2020-11-19,13815,13815
2020-11-20,13914,13914
2020-11-21,14017,14017
2020-11-22,14046,14046
2020-11-23,14096,14096
2020-11-24,14212,14212
2020-11-25,14312,14312
2020-11-26,14417,14417
2020-11-27,14451,14451
2020-11-28,14516,14516
2020-11-29,14572,14572
2020-11-30,14619,14619
2020-12-1,14725,14725
2020-12-2,14883,14883
2020-12-3,15014,15014
2020-12-4,15116,15116
2020-12-5,15255,15255
2020-12-6,15295,15295
2020-12-7,15356,15356
2020-12-8,15467,15467
2020-12-9,15592,15592
2020-12-10,15723,15723
2020-12-11,15864,15864
2020-12-12,15967,15967
2020-12-13,16014,16014
2020-12-14,16073,16073
2020-12-15,16187,16187
2020-12-16,16353,16353
2020-12-17,16503,16503
2020-12-18,16684,16684
2020-12-19,16824,16824
2020-12-20,16878,16878
2020-12-21,16948,16948
2020-12-22,17083,17083
2020-12-23,17271,17271
2020-12-24,17389,17389
2020-12-25,17450,17450
2020-12-26,17464,17464
2020-12-27,17548,17548
2020-12-28,17605,17605
2020-12-29,17782,17782
2020-12-30,17910,17910
2020-12-31,18041,18041
2021-1-1,18166,18166
2021-1-2,18240,18240
2021-1-3,18310,18310
2021-1-4,18387,18387
2021-1-5,18526,18526
2021-1-6,18636,18636
2021-1-7,18790,18790
2021-1-8,18918,18918
2021-1-9,19025,19025
2021-1-10,19095,19095
2021-1-11,19182,19182
2021-1-12,19326,19326
2021-1-13,19470,19470
2021-1-14,19595,19595
2021-1-15,19741,19741
2021-1-16,19846,19846
2021-1-17,19913,19913
2021-1-18,19982,19982
2021-1-19,20066,20066
2021-1-20,20231,20231
2021-1-21,20405,20405
2021-1-22,20544,20544
2021-1-23,20654,20654
2021-1-24,20712,20712
2021-1-25,20764,20764
2021-1-26,20860,20860
2021-1-27,20986,20986
2021-1-28,21113,21113
2021-1-29,21241,21241
2021-1-30,21377,21377
2021-1-31,21409,21409
2021-2-1,21444,21444
2021-2-2,21516,21516
2021-2-3,21638,21638
2021-2-4,21749,21749
2021-2-5,21893,21893
2021-2-6,22035,22035
2021-2-7,22102,22102
2021-2-8,22167,22167
2021-2-9,22339,22339
2021-2-10,22470,22470
2021-2-11,22615,22615
2021-2-12,22718,22718
2021-2-13,22846,22846
2021-2-14,22906,22906
2021-2-15,22944,22944
2021-2-16,23042,23042
2021-2-17,23179,23179
2021-2-18,23268,23268
2021-2-19,23369,23369
2021-2-20,23436,23436
2021-2-21,23481,23481
2021-2-22,23530,23530
2021-2-23,23698,23698
2021-2-24,23798,23798
2021-2-25,23871,23871
2021-2-26,23978,23978
2021-2-27,24091,24091
2021-2-28,24115,24115
2021-3-1,24158,24158
2021-3-2,24258,24258
2021-3-3,24354,24354
2021-3-4,24414,24414
2021-3-5,24514,24514
2021-3-6,24637,24637
2021-3-7,24661,24661
