Date,WIDATA.Hosp,WIDATA.HospCum
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,337,337
2020-4-1,398,398
2020-4-2,461,461
2020-4-3,487,487
2020-4-4,588,588
2020-4-5,624,624
2020-4-6,668,668
2020-4-7,745,745
2020-4-8,790,790
2020-4-9,843,843
2020-4-10,904,904
2020-4-11,950,950
2020-4-12,974,974
2020-4-13,993,993
2020-4-14,1049,1049
2020-4-15,1091,1091
2020-4-16,1121,1121
2020-4-17,1153,1153
2020-4-18,1176,1176
2020-4-19,1190,1190
2020-4-20,1211,1211
2020-4-21,1252,1252
2020-4-22,1302,1302
2020-4-23,1318,1318
2020-4-24,1353,1353
2020-4-25,1376,1376
2020-4-26,1397,1397
2020-4-27,1415,1415
2020-4-28,1456,1456
2020-4-29,1489,1489
2020-4-30,1512,1512
2020-5-1,1544,1544
2020-5-2,1591,1591
2020-5-3,1608,1608
2020-5-4,1621,1621
2020-5-5,1663,1663
2020-5-6,1694,1694
2020-5-7,1732,1732
2020-5-8,1767,1767
2020-5-9,1806,1806
2020-5-10,1820,1820
2020-5-11,1846,1846
2020-5-12,1877,1877
2020-5-13,1908,1908
2020-5-14,1939,1939
2020-5-15,1977,1977
2020-5-16,2018,2018
2020-5-17,2038,2038
2020-5-18,2068,2068
2020-5-19,2110,2110
2020-5-20,2161,2161
2020-5-21,2218,2218
2020-5-22,2259,2259
2020-5-23,2292,2292
2020-5-24,2315,2315
2020-5-25,2339,2339
2020-5-26,2362,2362
2020-5-27,2411,2411
2020-5-28,2452,2452
2020-5-29,2499,2499
2020-5-30,2563,2563
2020-5-31,2583,2583
2020-6-1,2603,2603
2020-6-2,2643,2643
2020-6-3,2700,2700
2020-6-4,2739,2739
2020-6-5,2791,2791
2020-6-6,2832,2832
2020-6-7,2848,2848
2020-6-8,2860,2860
2020-6-9,2904,2904
2020-6-10,2943,2943
2020-6-11,2976,2976
2020-6-12,3003,3003
2020-6-13,3035,3035
2020-6-14,3049,3049
2020-6-15,3061,3061
2020-6-16,3096,3096
2020-6-17,3128,3128
2020-6-18,3160,3160
2020-6-19,3177,3177
2020-6-20,3203,3203
2020-6-21,3220,3220
2020-6-22,3231,3231
2020-6-23,3268,3268
2020-6-24,3299,3299
2020-6-25,3326,3326
2020-6-26,3351,3351
2020-6-27,3382,3382
2020-6-28,3393,3393
2020-6-29,3407,3407
2020-6-30,3446,3446
2020-7-1,3482,3482
2020-7-2,3519,3519
2020-7-3,3555,3555
2020-7-4,3574,3574
2020-7-5,3586,3586
2020-7-6,3602,3602
2020-7-7,3639,3639
2020-7-8,3683,3683
2020-7-9,3726,3726
2020-7-10,3766,3766
2020-7-11,3797,3797
2020-7-12,3824,3824
2020-7-13,3850,3850
2020-7-14,3892,3892
2020-7-15,3923,3923
2020-7-16,3968,3968
2020-7-17,4031,4031
2020-7-18,4082,4082
2020-7-19,4107,4107
2020-7-20,4129,4129
2020-7-21,4194,4194
2020-7-22,4225,4225
2020-7-23,4273,4273
2020-7-24,4327,4327
2020-7-25,4368,4368
2020-7-26,4394,4394
2020-7-27,4420,4420
2020-7-28,4493,4493
2020-7-29,4539,4539
2020-7-30,4590,4590
2020-7-31,4637,4637
2020-8-1,4681,4681
2020-8-2,4717,4717
2020-8-3,4732,4732
2020-8-4,4783,4783
2020-8-5,4826,4826
2020-8-6,4881,4881
2020-8-7,4930,4930
2020-8-8,4980,4980
2020-8-9,5000,5000
2020-8-10,5031,5031
2020-8-11,5092,5092
2020-8-12,5125,5125
2020-8-13,5170,5170
2020-8-14,5235,5235
2020-8-15,5275,5275
2020-8-16,5304,5304
2020-8-17,5327,5327
2020-8-18,5380,5380
2020-8-19,5430,5430
2020-8-20,5469,5469
2020-8-21,5505,5505
2020-8-22,5545,5545
2020-8-23,5558,5558
2020-8-24,5573,5573
2020-8-25,5610,5610
2020-8-26,5651,5651
2020-8-27,5684,5684
2020-8-28,5736,5736
2020-8-29,5775,5775
2020-8-30,5804,5804
2020-8-31,5817,5817
2020-9-1,5878,5878
2020-9-2,5916,5916
2020-9-3,5946,5946
2020-9-4,5998,5998
2020-9-5,6048,6048
2020-9-6,6070,6070
2020-9-7,6089,6089
2020-9-8,6118,6118
2020-9-9,6173,6173
2020-9-10,6222,6222
2020-9-11,6263,6263
2020-9-12,6309,6309
2020-9-13,6332,6332
2020-9-14,6350,6350
2020-9-15,6406,6406
2020-9-16,6454,6454
2020-9-17,6522,6522
2020-9-18,6569,6569
2020-9-19,6619,6619
2020-9-20,6653,6653
2020-9-21,6692,6692
2020-9-22,6765,6765
2020-9-23,6821,6821
2020-9-24,6897,6897
2020-9-25,6962,6962
2020-9-26,7041,7041
2020-9-27,7095,7095
2020-9-28,7142,7142
2020-9-29,7209,7209
2020-9-30,7300,7300
2020-10-1,7409,7409
2020-10-2,7506,7506
2020-10-3,7588,7588
2020-10-4,7646,7646
2020-10-5,7702,7702
2020-10-6,7810,7810
2020-10-7,7951,7951
2020-10-8,8061,8061
2020-10-9,8199,8199
2020-10-10,8319,8319
2020-10-11,8398,8398
2020-10-12,8454,8454
2020-10-13,8601,8601
2020-10-14,8754,8754
2020-10-15,8892,8892
2020-10-16,9027,9027
2020-10-17,9027,9027
2020-10-18,9027,9027
2020-10-19,9319,9319
2020-10-20,9537,9537
2020-10-21,9704,9704
2020-10-22,9855,9855
2020-10-23,10038,10038
2020-10-24,10237,10237
2020-10-25,10332,10332
2020-10-26,10416,10416
2020-10-27,10636,10636
2020-10-28,10810,10810
2020-10-29,11003,11003
2020-10-30,11145,11145
2020-10-31,11374,11374
2020-11-1,11497,11497
2020-11-2,11597,11597
2020-11-3,11844,11844
2020-11-4,12087,12087
2020-11-5,12310,12310
2020-11-6,12554,12554
2020-11-7,12727,12727
2020-11-8,12839,12839
2020-11-9,12939,12939
2020-11-10,13230,13230
2020-11-11,13507,13507
2020-11-12,13771,13771
2020-11-13,14045,14045
2020-11-14,14226,14226
2020-11-15,14381,14381
2020-11-16,14499,14499
2020-11-17,14817,14817
2020-11-18,15100,15100
2020-11-19,15336,15336
2020-11-20,15526,15526
2020-11-21,15734,15734
2020-11-22,15823,15823
2020-11-23,15930,15930
2020-11-24,16209,16209
2020-11-25,16457,16457
2020-11-26,16658,16658
2020-11-27,16715,16715
2020-11-28,16882,16882
2020-11-29,16999,16999
2020-11-30,17095,17095
2020-12-1,17372,17372
2020-12-2,17569,17569
2020-12-3,17741,17741
2020-12-4,17943,17943
2020-12-5,18126,18126
2020-12-6,18216,18216
2020-12-7,18286,18286
2020-12-8,18500,18500
2020-12-9,18715,18715
2020-12-10,18875,18875
2020-12-11,19020,19020
2020-12-12,19162,19162
2020-12-13,19249,19249
2020-12-14,19326,19326
2020-12-15,19510,19510
2020-12-16,19656,19656
2020-12-17,19785,19785
2020-12-18,19930,19930
2020-12-19,20052,20052
2020-12-20,20120,20120
2020-12-21,20168,20168
2020-12-22,20355,20355
2020-12-23,20519,20519
2020-12-24,20647,20647
2020-12-25,20703,20703
2020-12-26,20734,20734
2020-12-27,20829,20829
2020-12-28,20911,20911
2020-12-29,21081,21081
2020-12-30,21207,21207
2020-12-31,21350,21350
2021-1-1,21400,21400
2021-1-2,21449,21449
2021-1-3,21529,21529
2021-1-4,21580,21580
2021-1-5,21796,21796
2021-1-6,21971,21971
2021-1-7,22070,22070
2021-1-8,22206,22206
2021-1-9,22326,22326
2021-1-10,22378,22378
2021-1-11,22434,22434
2021-1-12,22583,22583
2021-1-13,22705,22705
2021-1-14,22804,22804
2021-1-15,22923,22923
2021-1-16,23026,23026
2021-1-17,23076,23076
2021-1-18,23130,23130
2021-1-19,23244,23244
2021-1-20,23363,23363
2021-1-21,23445,23445
2021-1-22,23536,23536
2021-1-23,23625,23625
2021-1-24,23692,23692
2021-1-25,23748,23748
2021-1-26,23883,23883
2021-1-27,23976,23976
2021-1-28,24063,24063
2021-1-29,24154,24154
2021-1-30,24243,24243
2021-1-31,24298,24298
2021-2-1,24337,24337
