Date,WYDATA.Hosp,WYDATA.HospCum
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,11,11
2020-3-28,14,14
2020-3-29,15,15
2020-3-30,17,17
2020-3-31,17,17
2020-4-1,18,18
2020-4-2,19,19
2020-4-3,21,21
2020-4-4,23,23
2020-4-5,23,23
2020-4-6,23,23
2020-4-7,33,33
2020-4-8,33,33
2020-4-9,34,34
2020-4-10,37,37
2020-4-11,37,37
2020-4-12,40,40
2020-4-13,41,41
2020-4-14,43,43
2020-4-15,43,43
2020-4-16,43,43
2020-4-17,43,43
2020-4-18,50,50
2020-4-19,50,50
2020-4-20,51,51
2020-4-21,52,52
2020-4-22,52,52
2020-4-23,52,52
2020-4-24,54,54
2020-4-25,54,54
2020-4-26,54,54
2020-4-27,54,54
2020-4-28,56,56
2020-4-29,56,56
2020-4-30,56,56
2020-5-1,56,56
2020-5-2,58,58
2020-5-3,60,60
2020-5-4,60,60
2020-5-5,60,60
2020-5-6,60,60
2020-5-7,59,59
2020-5-8,60,60
2020-5-9,64,64
2020-5-10,65,65
2020-5-11,66,66
2020-5-12,67,67
2020-5-13,67,67
2020-5-14,67,67
2020-5-15,68,68
2020-5-16,69,69
2020-5-17,70,70
2020-5-18,73,73
2020-5-19,73,73
2020-5-20,74,74
2020-5-21,75,75
2020-5-22,76,76
2020-5-23,77,77
2020-5-24,78,78
2020-5-25,79,79
2020-5-26,82,82
2020-5-27,82,82
2020-5-28,82,82
2020-5-29,84,84
2020-5-30,85,85
2020-5-31,85,85
2020-6-1,86,86
2020-6-2,86,86
2020-6-3,87,87
2020-6-4,87,87
2020-6-5,90,90
2020-6-6,90,90
2020-6-7,90,90
2020-6-8,91,91
2020-6-9,91,91
2020-6-10,92,92
2020-6-11,92,92
2020-6-12,92,92
2020-6-13,93,93
2020-6-14,93,93
2020-6-15,93,93
2020-6-16,96,96
2020-6-17,97,97
2020-6-18,97,97
2020-6-19,98,98
2020-6-20,98,98
2020-6-21,100,100
2020-6-22,105,105
2020-6-23,109,109
2020-6-24,109,109
2020-6-25,111,111
2020-6-26,112,112
2020-6-27,111,111
2020-6-28,112,112
2020-6-29,112,112
2020-6-30,117,117
2020-7-1,117,117
2020-7-2,119,119
2020-7-3,119,119
2020-7-4,119,119
2020-7-5,119,119
2020-7-6,119,119
2020-7-7,119,119
2020-7-8,120,120
2020-7-9,121,121
2020-7-10,121,121
2020-7-11,123,123
2020-7-12,124,124
2020-7-13,124,124
2020-7-14,128,128
2020-7-15,131,131
2020-7-16,131,131
2020-7-17,140,140
2020-7-18,142,142
2020-7-19,143,143
2020-7-20,144,144
2020-7-21,146,146
2020-7-22,152,152
2020-7-23,153,153
2020-7-24,155,155
2020-7-25,158,158
2020-7-26,158,158
2020-7-27,158,158
2020-7-28,162,162
2020-7-29,165,165
2020-7-30,166,166
2020-7-31,166,166
2020-8-1,167,167
2020-8-2,167,167
2020-8-3,167,167
2020-8-4,169,169
2020-8-5,169,169
2020-8-6,171,171
2020-8-7,176,176
2020-8-8,177,177
2020-8-9,177,177
2020-8-10,179,179
2020-8-11,183,183
2020-8-12,187,187
2020-8-13,189,189
2020-8-14,191,191
2020-8-15,191,191
2020-8-16,191,191
2020-8-17,195,195
2020-8-18,193,193
2020-8-19,197,197
2020-8-20,202,202
2020-8-21,203,203
2020-8-22,203,203
2020-8-23,207,207
2020-8-24,211,211
2020-8-25,213,213
2020-8-26,213,213
2020-8-27,215,215
2020-8-28,215,215
2020-8-29,215,215
2020-8-30,215,215
2020-8-31,215,215
2020-9-1,219,219
2020-9-2,221,221
2020-9-3,223,223
2020-9-4,223,223
2020-9-5,223,223
2020-9-6,219,219
2020-9-7,219,219
2020-9-8,219,219
2020-9-9,221,221
2020-9-10,224,224
2020-9-11,227,227
2020-9-12,287,287
2020-9-13,228,228
2020-9-14,230,230
