Date,ALDATA.InIcuCum,ALDATA.InIcuCurr
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,0,0
2020-4-10,0,0
2020-4-11,177,0
2020-4-12,189,0
2020-4-13,189,0
2020-4-14,210,0
2020-4-15,219,0
2020-4-16,227,0
2020-4-17,247,0
2020-4-18,247,0
2020-4-19,260,0
2020-4-20,260,0
2020-4-21,260,0
2020-4-22,288,0
2020-4-23,288,0
2020-4-24,288,0
2020-4-25,288,0
2020-4-26,288,0
2020-4-27,335,0
2020-4-28,335,0
2020-4-29,335,0
2020-4-30,335,0
2020-5-1,335,0
2020-5-2,335,0
2020-5-3,403,0
2020-5-4,411,0
2020-5-5,428,0
2020-5-6,442,0
2020-5-7,448,0
2020-5-8,454,0
2020-5-9,459,0
2020-5-10,460,0
2020-5-11,463,0
2020-5-12,468,0
2020-5-13,477,0
2020-5-14,489,0
2020-5-15,497,0
2020-5-16,501,0
2020-5-17,504,0
2020-5-18,512,0
2020-5-19,517,0
2020-5-20,524,0
2020-5-21,526,0
2020-5-22,531,0
2020-5-23,538,0
2020-5-24,537,0
2020-5-25,543,0
2020-5-26,551,0
2020-5-27,560,0
2020-5-28,566,0
2020-5-29,577,0
2020-5-30,583,0
2020-5-31,589,0
2020-6-1,591,0
2020-6-2,591,0
2020-6-3,591,0
2020-6-4,601,0
2020-6-5,603,0
2020-6-6,612,0
2020-6-7,615,0
2020-6-8,623,0
2020-6-9,631,0
2020-6-10,646,0
2020-6-11,650,0
2020-6-12,658,0
2020-6-13,672,0
2020-6-14,675,0
2020-6-15,676,0
2020-6-16,682,0
2020-6-17,687,0
2020-6-18,695,0
2020-6-19,710,0
2020-6-20,717,0
2020-6-21,721,0
2020-6-22,725,0
2020-6-23,737,0
2020-6-24,749,0
2020-6-25,761,0
2020-6-26,772,0
2020-6-27,789,0
2020-6-28,790,0
2020-6-29,801,0
2020-6-30,806,0
2020-7-1,814,0
2020-7-2,826,0
2020-7-3,838,0
2020-7-4,843,0
2020-7-5,843,0
2020-7-6,843,0
2020-7-7,858,0
2020-7-8,871,0
2020-7-9,877,0
2020-7-10,888,0
2020-7-11,904,0
2020-7-12,911,0
2020-7-13,919,0
2020-7-14,931,0
2020-7-15,941,0
2020-7-16,950,0
2020-7-17,967,0
2020-7-18,982,0
2020-7-19,988,0
2020-7-20,994,0
2020-7-21,1009,0
2020-7-22,1018,0
2020-7-23,1043,0
2020-7-24,1058,0
2020-7-25,1069,0
2020-7-26,1076,0
2020-7-27,1081,0
2020-7-28,1094,0
2020-7-29,1109,0
2020-7-30,1129,0
2020-7-31,1144,0
2020-8-1,1150,0
2020-8-2,1151,0
2020-8-3,1153,0
2020-8-4,1173,0
2020-8-5,1200,0
2020-8-6,1211,0
2020-8-7,1219,0
2020-8-8,1228,0
2020-8-9,1242,0
2020-8-10,1249,0
2020-8-11,1270,0
2020-8-12,1282,0
2020-8-13,1292,0
2020-8-14,1305,0
2020-8-15,1313,0
2020-8-16,1316,0
2020-8-17,1319,0
2020-8-18,1329,0
2020-8-19,1336,0
2020-8-20,1348,0
2020-8-21,1348,0
2020-8-22,1348,0
2020-8-23,1348,0
2020-8-24,1391,0
2020-8-25,1399,0
2020-8-26,1412,0
2020-8-27,1430,0
2020-8-28,1450,0
2020-8-29,1459,0
2020-8-30,1467,0
2020-8-31,1474,0
2020-9-1,1487,0
2020-9-2,1501,0
2020-9-3,1511,0
2020-9-4,1525,0
2020-9-5,1537,0
2020-9-6,1537,0
2020-9-7,1537,0
2020-9-8,1538,0
2020-9-9,1551,0
2020-9-10,1572,0
2020-9-11,1593,0
2020-9-12,1608,0
2020-9-13,1610,0
2020-9-14,1611,0
2020-9-15,1622,0
2020-9-16,1629,0
2020-9-17,1631,0
2020-9-18,1638,0
2020-9-19,1642,0
2020-9-20,1643,0
2020-9-21,1645,0
2020-9-22,1659,0
2020-9-23,1669,0
2020-9-24,1679,0
2020-9-25,1782,0
2020-9-26,1791,0
2020-9-27,1791,0
2020-9-28,1798,0
2020-9-29,1802,0
2020-9-30,1815,0
2020-10-1,1832,0
2020-10-2,1840,0
2020-10-3,1843,0
2020-10-4,1845,0
2020-10-5,1847,0
2020-10-6,1862,0
2020-10-7,1867,0
2020-10-8,1876,0
2020-10-9,1884,0
2020-10-10,1889,0
2020-10-11,1890,0
2020-10-12,1892,0
2020-10-13,1896,0
2020-10-14,1907,0
2020-10-15,1914,0
2020-10-16,1926,0
2020-10-17,1933,0
2020-10-18,1934,0
2020-10-19,1939,0
2020-10-20,1954,0
2020-10-21,1967,0
2020-10-22,1985,0
2020-10-23,2001,0
2020-10-24,2021,0
2020-10-25,2022,0
2020-10-26,2025,0
2020-10-27,2035,0
2020-10-28,2049,0
2020-10-29,2056,0
2020-10-30,2061,0
2020-10-31,2065,0
2020-11-1,2066,0
2020-11-2,2067,0
2020-11-3,2081,0
2020-11-4,2089,0
2020-11-5,2100,0
2020-11-6,2110,0
2020-11-7,2121,0
2020-11-8,2121,0
2020-11-9,2122,0
2020-11-10,2128,0
2020-11-11,2142,0
2020-11-12,2144,0
2020-11-13,2148,0
2020-11-14,2151,0
2020-11-15,2151,0
2020-11-16,2153,0
2020-11-17,2158,0
2020-11-18,2165,0
2020-11-19,2182,0
2020-11-20,2189,0
2020-11-21,2197,0
2020-11-22,2199,0
2020-11-23,2201,0
2020-11-24,2211,0
2020-11-25,2217,0
2020-11-26,2227,0
2020-11-27,2228,0
2020-11-28,2231,0
2020-11-29,2234,0
2020-11-30,2237,0
2020-12-1,2242,0
2020-12-2,2252,0
2020-12-3,2259,0
2020-12-4,2274,0
2020-12-5,2290,0
2020-12-6,2290,0
2020-12-7,2290,0
2020-12-8,2305,0
2020-12-9,2321,0
2020-12-10,2342,0
2020-12-11,2351,0
2020-12-12,2356,0
2020-12-13,2357,0
2020-12-14,2363,0
2020-12-15,2374,0
2020-12-16,2380,0
2020-12-17,2383,0
2020-12-18,2384,0
2020-12-19,2389,0
2020-12-20,2390,0
2020-12-21,2391,0
2020-12-22,2399,0
2020-12-23,2412,0
2020-12-24,2418,0
2020-12-25,2421,0
2020-12-26,2421,0
2020-12-27,2421,0
2020-12-28,2421,0
2020-12-29,2424,0
2020-12-30,2429,0
2020-12-31,2438,0
2021-1-1,2440,0
2021-1-2,2440,0
2021-1-3,2442,0
2021-1-4,2445,0
2021-1-5,2445,0
2021-1-6,2448,0
2021-1-7,2449,0
2021-1-8,2456,0
2021-1-9,2459,0
2021-1-10,2459,0
2021-1-11,2459,0
2021-1-12,2462,0
2021-1-13,2466,0
2021-1-14,2470,0
2021-1-15,2476,0
2021-1-16,2483,0
2021-1-17,2484,0
2021-1-18,2485,0
2021-1-19,2486,0
2021-1-20,2493,0
2021-1-21,2495,0
2021-1-22,2500,0
2021-1-23,2510,0
2021-1-24,2511,0
2021-1-25,2511,0
2021-1-26,2518,0
2021-1-27,2524,0
2021-1-28,2533,0
2021-1-29,2539,0
2021-1-30,2539,0
2021-1-31,2551,0
2021-2-1,2552,0
2021-2-2,2555,0
2021-2-3,2561,0
2021-2-4,2564,0
2021-2-5,2566,0
2021-2-6,2575,0
2021-2-7,2576,0
2021-2-8,2577,0
2021-2-9,2583,0
2021-2-10,2584,0
2021-2-11,2588,0
2021-2-12,2595,0
2021-2-13,2604,0
2021-2-14,2605,0
2021-2-15,2605,0
2021-2-16,2607,0
2021-2-17,2609,0
2021-2-18,2616,0
