Date,CADATA.InIcuCum,CADATA.InIcuCurr
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,200
2020-3-28,0,410
2020-3-29,0,410
2020-3-30,0,597
2020-3-31,0,657
2020-4-1,0,774
2020-4-2,0,816
2020-4-3,0,901
2020-4-4,0,1008
2020-4-5,0,1040
2020-4-6,0,1085
2020-4-7,0,1108
2020-4-8,0,1154
2020-4-9,0,1132
2020-4-10,0,1145
2020-4-11,0,1591
2020-4-12,0,1539
2020-4-13,0,1178
2020-4-14,0,1552
2020-4-15,0,1175
2020-4-16,0,1568
2020-4-17,0,1484
2020-4-18,0,1490
2020-4-19,0,1457
2020-4-20,0,1480
2020-4-21,0,1502
2020-4-22,0,1551
2020-4-23,0,1531
2020-4-24,0,1521
2020-4-25,0,1458
2020-4-26,0,1473
2020-4-27,0,1499
2020-4-28,0,1485
2020-4-29,0,1512
2020-4-30,0,1473
2020-5-1,0,1434
2020-5-2,0,1433
2020-5-3,0,1468
2020-5-4,0,1464
2020-5-5,0,1388
2020-5-6,0,1415
2020-5-7,0,1374
2020-5-8,0,1342
2020-5-9,0,1349
2020-5-10,0,1328
2020-5-11,0,1329
2020-5-12,0,1349
2020-5-13,0,1314
2020-5-14,0,1324
2020-5-15,0,1324
2020-5-16,0,1313
2020-5-17,0,1293
2020-5-18,0,1325
2020-5-19,0,1307
2020-5-20,0,1345
2020-5-21,0,1310
2020-5-22,0,1317
2020-5-23,0,1312
2020-5-24,0,1315
2020-5-25,0,1301
2020-5-26,0,1392
2020-5-27,0,1407
