Date,GADATA.InIcuCum,GADATA.InIcuCurr
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,0,0
2020-4-10,0,0
2020-4-11,0,0
2020-4-12,0,0
2020-4-13,0,0
2020-4-14,0,0
2020-4-15,0,0
2020-4-16,0,0
2020-4-17,0,0
2020-4-18,0,0
2020-4-19,0,0
2020-4-20,0,0
2020-4-21,0,0
2020-4-22,0,0
2020-4-23,0,0
2020-4-24,0,0
2020-4-25,0,0
2020-4-26,0,0
2020-4-27,1057,0
2020-4-28,1087,0
2020-4-29,1148,0
2020-4-30,1171,0
2020-5-1,1215,0
2020-5-2,1247,0
2020-5-3,1249,0
2020-5-4,1284,0
2020-5-5,1318,0
2020-5-6,1343,0
2020-5-7,1374,0
2020-5-8,1399,0
2020-5-9,1409,0
2020-5-10,1412,0
2020-5-11,1414,0
2020-5-12,1443,0
2020-5-13,1494,0
2020-5-14,1513,0
2020-5-15,1534,0
2020-5-16,1554,0
2020-5-17,1557,0
2020-5-18,1565,0
2020-5-19,1589,0
2020-5-20,1617,0
2020-5-21,1642,0
2020-5-22,1658,0
2020-5-23,1678,0
2020-5-24,1683,0
2020-5-25,1686,0
2020-5-26,1703,0
2020-5-27,1735,0
2020-5-28,1761,0
2020-5-29,1780,0
