Date,INDATA.InIcuCum,INDATA.InIcuCurr
2020-2-27,0,0
2020-2-28,0,0
2020-2-29,0,0
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,924
2020-4-7,0,924
2020-4-8,0,924
2020-4-9,0,924
2020-4-10,0,820
2020-4-11,0,820
2020-4-12,0,820
2020-4-13,0,740
2020-4-14,0,721
2020-4-15,0,737
2020-4-16,0,696
2020-4-17,0,638
2020-4-18,0,663
2020-4-19,0,649
2020-4-20,0,669
2020-4-21,0,676
2020-4-22,0,633
2020-4-23,0,652
2020-4-24,0,621
2020-4-25,0,598
2020-4-26,0,589
2020-4-27,0,581
2020-4-28,0,546
2020-4-29,0,570
2020-4-30,0,549
2020-5-1,0,514
2020-5-2,0,487
2020-5-3,0,476
2020-5-4,0,483
2020-5-5,0,480
2020-5-6,0,526
2020-5-7,0,487
2020-5-8,990,481
2020-5-9,990,458
2020-5-10,990,462
2020-5-11,990,452
2020-5-12,990,472
2020-5-13,990,481
2020-5-14,990,488
2020-5-15,990,492
2020-5-16,990,426
2020-5-17,990,441
2020-5-18,990,426
2020-5-19,990,421
2020-5-20,990,431
2020-5-21,990,409
2020-5-22,1166,416
2020-5-23,1166,403
2020-5-24,1166,396
2020-5-25,1166,365
2020-5-26,1166,365
2020-5-27,1166,400
2020-5-28,1166,411
2020-5-29,1166,412
2020-5-30,1166,412
2020-5-31,1248,372
2020-6-1,1255,366
2020-6-2,1261,358
2020-6-3,1282,358
2020-6-4,1286,372
2020-6-5,1293,368
2020-6-6,1304,344
2020-6-7,1317,335
2020-6-8,1325,346
2020-6-9,1330,307
2020-6-10,1334,307
2020-6-11,1345,331
2020-6-12,1354,329
2020-6-13,1354,316
2020-6-14,1360,301
2020-6-15,1368,305
2020-6-16,1383,313
2020-6-17,1384,238
2020-6-18,1389,236
2020-6-19,1465,259
2020-6-20,1444,231
2020-6-21,1450,226
2020-6-22,1452,283
2020-6-23,1447,297
2020-6-24,1446,263
2020-6-25,1452,276
2020-6-26,1458,281
2020-6-27,1461,257
2020-6-28,1468,266
2020-6-29,1469,265
2020-6-30,1477,272
2020-7-1,1483,232
2020-7-2,1493,221
2020-7-3,1506,217
2020-7-4,1516,218
2020-7-5,1526,218
2020-7-6,1526,229
2020-7-7,1540,213
2020-7-8,1551,217
2020-7-9,1556,226
2020-7-10,1577,217
2020-7-11,1577,237
2020-7-12,1592,237
2020-7-13,1601,255
2020-7-14,1620,266
2020-7-15,1634,284
2020-7-16,1643,292
2020-7-17,1658,258
2020-7-18,1667,245
2020-7-19,1675,244
2020-7-20,1691,248
2020-7-21,1691,267
2020-7-22,1703,327
2020-7-23,1708,327
2020-7-24,1725,313
2020-7-25,1736,281
2020-7-26,1758,282
2020-7-27,1767,291
2020-7-28,1772,304
2020-7-29,1796,279
2020-7-30,1808,301
2020-7-31,1825,280
2020-8-1,1836,322
2020-8-2,1852,322
2020-8-3,1871,310
2020-8-4,1894,375
2020-8-5,1894,308
2020-8-6,1923,301
2020-8-7,1927,295
2020-8-8,1927,284
2020-8-9,1927,289
2020-8-10,1927,305
2020-8-11,1961,327
2020-8-12,1975,294
2020-8-13,1975,290
2020-8-14,2007,291
2020-8-15,2032,267
2020-8-16,2035,265
2020-8-17,2033,262
2020-8-18,2052,251
2020-8-19,2059,249
2020-8-20,2069,257
2020-8-21,2051,252
2020-8-22,2067,235
2020-8-23,2076,252
2020-8-24,2085,248
2020-8-25,2099,276
2020-8-26,2121,283
2020-8-27,2156,279
2020-8-28,2158,281
2020-8-29,2167,278
2020-8-30,2163,267
2020-8-31,2217,222
2020-9-1,2230,239
2020-9-2,2237,247
2020-9-3,2242,257
2020-9-4,2246,262
2020-9-5,2260,249
2020-9-6,2271,232
2020-9-7,2278,236
2020-9-8,2284,246
2020-9-9,2304,229
2020-9-10,2310,239
2020-9-11,2315,225
2020-9-12,2327,234
2020-9-13,2338,219
2020-9-14,2353,230
2020-9-15,2363,230
2020-9-16,2363,237
