Date,KSDATA.InIcuCum,KSDATA.InIcuCurr
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,0,0
2020-4-10,0,0
2020-4-11,0,0
2020-4-12,0,0
2020-4-13,0,0
2020-4-14,0,0
2020-4-15,0,0
2020-4-16,0,0
2020-4-17,0,0
2020-4-18,0,0
2020-4-19,0,0
2020-4-20,0,0
2020-4-21,0,0
2020-4-22,0,0
2020-4-23,0,0
2020-4-24,0,0
2020-4-25,0,0
2020-4-26,0,0
2020-4-27,0,0
2020-4-28,0,0
2020-4-29,198,0
2020-4-30,201,0
2020-5-1,206,0
2020-5-2,206,0
2020-5-3,209,0
2020-5-4,209,0
2020-5-5,212,0
2020-5-6,213,0
2020-5-7,218,0
2020-5-8,223,0
2020-5-9,229,0
2020-5-10,231,0
2020-5-11,233,0
2020-5-12,233,0
2020-5-13,238,0
2020-5-14,238,0
2020-5-15,246,0
2020-5-16,246,0
2020-5-17,246,0
2020-5-18,250,0
2020-5-19,250,0
2020-5-20,258,0
2020-5-21,258,0
2020-5-22,269,0
2020-5-23,269,0
2020-5-24,269,0
2020-5-25,271,0
2020-5-26,271,0
2020-5-27,275,0
2020-5-28,275,0
2020-5-29,284,0
2020-5-30,284,0
2020-5-31,284,0
2020-6-1,284,0
2020-6-2,290,0
2020-6-3,302,0
2020-6-4,302,0
2020-6-5,306,0
2020-6-6,306,0
2020-6-7,306,0
2020-6-8,311,0
2020-6-9,311,0
2020-6-10,316,0
