Date,KYDATA.InIcuCum,KYDATA.InIcuCurr
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,0,0
2020-4-10,177,105
2020-4-11,177,105
2020-4-12,177,105
2020-4-13,256,136
2020-4-14,259,136
2020-4-15,263,137
2020-4-16,367,252
2020-4-17,506,333
2020-4-18,514,227
2020-4-19,534,155
2020-4-20,534,155
2020-4-21,582,147
2020-4-22,558,165
2020-4-23,564,161
2020-4-24,570,163
2020-4-25,575,164
2020-4-26,605,164
2020-4-27,608,166
2020-4-28,612,165
2020-4-29,625,170
2020-4-30,636,176
2020-5-1,642,178
2020-5-2,652,178
2020-5-3,652,178
2020-5-4,654,170
2020-5-5,659,174
2020-5-6,685,189
2020-5-7,693,190
2020-5-8,714,199
2020-5-9,723,210
2020-5-10,758,226
2020-5-11,758,226
2020-5-12,768,220
2020-5-13,783,215
2020-5-14,784,215
2020-5-15,794,220
2020-5-16,797,218
2020-5-17,797,218
2020-5-18,797,218
2020-5-19,866,277
2020-5-20,875,269
2020-5-21,879,98
2020-5-22,886,92
2020-5-23,889,90
2020-5-24,897,89
2020-5-25,897,89
2020-5-26,897,89
2020-5-27,897,78
2020-5-28,899,82
2020-5-29,937,88
2020-5-30,940,81
2020-5-31,940,87
2020-6-1,940,90
2020-6-2,941,85
2020-6-3,950,68
2020-6-4,954,67
2020-6-5,958,73
2020-6-6,958,75
2020-6-7,958,75
2020-6-8,958,76
2020-6-9,966,75
2020-6-10,966,68
