Date,MIDATA.InIcuCum,MIDATA.InIcuCurr
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,0,1628
2020-4-10,0,1663
2020-4-11,0,1582
2020-4-12,0,1582
2020-4-13,0,1570
2020-4-14,0,1497
2020-4-15,0,1468
2020-4-16,0,1447
2020-4-17,0,1428
2020-4-18,0,1423
2020-4-19,0,1344
2020-4-20,0,1346
2020-4-21,0,1346
2020-4-22,0,1350
2020-4-23,0,1148
2020-4-24,0,1176
2020-4-25,0,1164
2020-4-26,0,1099
2020-4-27,0,1059
2020-4-28,0,1027
2020-4-29,0,997
2020-4-30,0,966
2020-5-1,0,966
2020-5-2,0,850
2020-5-3,0,850
2020-5-4,0,839
2020-5-5,0,839
2020-5-6,0,794
2020-5-7,0,753
2020-5-8,0,725
2020-5-9,0,683
2020-5-10,0,674
2020-5-11,0,685
2020-5-12,0,693
2020-5-13,0,693
2020-5-14,0,653
2020-5-15,0,532
2020-5-16,0,532
2020-5-17,0,488
2020-5-18,0,473
2020-5-19,0,486
2020-5-20,0,492
2020-5-21,0,472
2020-5-22,0,470
2020-5-23,0,449
2020-5-24,0,449
2020-5-25,0,449
2020-5-26,0,449
2020-5-27,0,388
2020-5-28,0,405
2020-5-29,0,371
2020-5-30,0,371
2020-5-31,0,371
2020-6-1,0,346
2020-6-2,0,346
2020-6-3,0,328
2020-6-4,0,321
2020-6-5,0,321
2020-6-6,0,315
2020-6-7,0,315
2020-6-8,0,249
2020-6-9,0,249
2020-6-10,0,249
2020-6-11,0,249
2020-6-12,0,253
2020-6-13,0,253
2020-6-14,0,253
2020-6-15,0,210
2020-6-16,0,210
2020-6-17,0,210
2020-6-18,0,209
2020-6-19,0,209
2020-6-20,0,209
2020-6-21,0,209
2020-6-22,0,209
2020-6-23,0,209
2020-6-24,0,209
2020-6-25,0,193
2020-6-26,0,193
2020-6-27,0,193
2020-6-28,0,193
2020-6-29,0,193
2020-6-30,0,179
2020-7-1,0,179
2020-7-2,0,193
2020-7-3,0,193
2020-7-4,0,193
2020-7-5,0,193
2020-7-6,0,174
2020-7-7,0,174
2020-7-8,0,174
2020-7-9,0,174
2020-7-10,0,174
2020-7-11,0,174
2020-7-12,0,174
2020-7-13,0,184
2020-7-14,0,184
2020-7-15,0,184
2020-7-16,0,201
2020-7-17,0,201
2020-7-18,0,201
2020-7-19,0,201
2020-7-20,0,210
2020-7-21,0,210
2020-7-22,0,210
2020-7-23,0,210
2020-7-24,0,215
2020-7-25,0,215
2020-7-26,0,210
2020-7-27,0,195
2020-7-28,0,195
2020-7-29,0,195
2020-7-30,0,238
2020-7-31,0,238
2020-8-1,0,238
2020-8-2,0,238
2020-8-3,0,232
2020-8-4,0,232
2020-8-5,0,232
2020-8-6,0,232
2020-8-7,0,232
2020-8-8,0,232
2020-8-9,0,232
2020-8-10,0,185
2020-8-11,0,185
2020-8-12,0,185
2020-8-13,0,184
2020-8-14,0,184
2020-8-15,0,184
2020-8-16,0,184
2020-8-17,0,169
2020-8-18,0,169
2020-8-19,0,169
2020-8-20,0,173
2020-8-21,0,173
2020-8-22,0,173
2020-8-23,0,173
2020-8-24,0,186
2020-8-25,0,186
2020-8-26,0,186
2020-8-27,0,184
2020-8-28,0,184
2020-8-29,0,184
2020-8-30,0,184
2020-8-31,0,156
2020-9-1,0,156
2020-9-2,0,156
2020-9-3,0,158
2020-9-4,0,158
2020-9-5,0,158
2020-9-6,0,158
2020-9-7,0,158
2020-9-8,0,158
2020-9-9,0,158
2020-9-10,0,172
2020-9-11,0,172
