Date,MNDATA.InIcuCum,MNDATA.InIcuCurr
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,17,0
2020-3-28,17,0
2020-3-29,17,0
2020-3-30,24,24
2020-3-31,26,26
2020-4-1,27,27
2020-4-2,38,38
2020-4-3,40,40
2020-4-4,69,42
2020-4-5,77,48
2020-4-6,90,57
2020-4-7,100,64
2020-4-8,105,64
2020-4-9,119,63
2020-4-10,131,64
2020-4-11,138,69
2020-4-12,146,74
2020-4-13,146,74
2020-4-14,155,75
2020-4-15,175,93
2020-4-16,188,103
2020-4-17,202,106
2020-4-18,215,111
2020-4-19,226,116
2020-4-20,241,126
2020-4-21,253,117
2020-4-22,262,107
2020-4-23,274,104
2020-4-24,281,111
2020-4-25,291,109
2020-4-26,301,115
2020-4-27,316,122
2020-4-28,324,120
2020-4-29,337,119
2020-4-30,358,130
2020-5-1,380,118
2020-5-2,404,135
2020-5-3,426,155
2020-5-4,444,166
2020-5-5,475,182
2020-5-6,488,180
2020-5-7,512,182
2020-5-8,540,198
2020-5-9,556,180
2020-5-10,581,199
2020-5-11,600,194
2020-5-12,625,199
2020-5-13,647,199
2020-5-14,663,203
2020-5-15,679,200
2020-5-16,700,225
2020-5-17,716,221
2020-5-18,731,229
2020-5-19,750,229
2020-5-20,773,212
2020-5-21,787,229
2020-5-22,806,233
2020-5-23,832,215
2020-5-24,841,207
2020-5-25,869,248
2020-5-26,886,258
2020-5-27,902,260
2020-5-28,924,242
2020-5-29,938,259
2020-5-30,960,263
2020-5-31,971,257
2020-6-1,981,253
2020-6-2,1003,248
2020-6-3,1022,254
2020-6-4,1033,244
2020-6-5,1044,220
2020-6-6,1044,206
2020-6-7,1044,199
2020-6-8,1052,198
2020-6-9,1068,199
